Verkiezing;;Gemeenteraad Dronten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dronten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Meerpaal;De Meerpaal;Kantine Sportvereniging Reaal;Sportzaal De Beurs;Sportzaal De Beurs;Sportzaal De Beurs;Remise brandweerkazerne;Kerkcentrum De Ark;Ontmoetingskerk;Sportzaal De Landing;Sportzaal De Landing;Clubhuis Golfresidentie;Sportzaal De Stal;Sportzaal De Stal;Kerkcentrum De Voorhof;Kerkcentrum De Voorhof;Mimar Sinan Moskee;Dorpshuis De Steiger;Dorpshuis De Steiger;Kerkcentrum De Hoeksteen;De Meerpaal open op 14-03-2022;De Meerpaal open op 15-03-2022;Kerkcentrum De Voorhof open op 14-03-2022;Kerkcentrum De Voorhof open op 15-03-2022;Dorpshuis De Steiger open op 14-03-2022;Dorpshuis De Steiger open op 15-03-2022;Gemeentewerf Drive-in open op 14-03-2022;Gemeentewerf Drive-in open op 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
Postcode;;;;;8251 EX;8251 EX;8253 BA;8253 EA;8253 EA;8253 EA;8251 KP;8251 CV;8251 LD;8251 TJ;8251 TJ;8251 NS;8252 GW;8252 GW;8256 BK;8256 BK;8256 BX;8255 DM;8255 DM;8255 AA;8251 EX;8251 EX;8256 BK;8256 BK;8255 DM;8255 DM;8253 PW;8253 PW
;;24;Vedelaar, J.G.;3;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Weultjes-Bax, R.;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
;;26;Vahl, H.A.;35;1;2;0;0;2;3;0;7;0;4;0;0;5;5;0;0;0;0;0;0;1;5;0;0;0;0;0;0
;;27;Siepel, R.J.;26;0;0;4;0;2;2;0;0;2;0;3;0;4;1;2;0;1;0;0;0;0;2;0;0;0;1;0;2
;;28;Witteveen-Rigterink, M.A.;41;3;1;5;5;5;0;2;2;5;2;1;0;0;3;0;1;0;1;0;0;1;2;0;0;0;0;1;1
5;D66;;;1262;39;44;97;62;62;59;62;49;34;53;55;85;65;75;21;31;14;47;47;59;41;74;14;15;11;31;6;10
;;1;Hillebregt-de Valk, L.L.;767;23;25;54;34;31;28;29;26;22;33;29;53;32;35;12;15;8;42;42;50;30;49;5;11;11;29;5;4
;;2;van der Schans, R.E.;98;5;3;11;1;3;4;8;6;2;7;5;9;5;8;2;1;0;1;0;3;3;5;0;1;0;2;1;2
;;3;van der Ploeg, M;27;0;1;2;1;3;0;3;1;4;6;0;1;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;4;Molendijk, L.P.G.;60;1;3;4;1;4;0;7;3;3;0;5;6;4;6;0;1;1;0;1;2;2;5;0;0;0;0;0;1
;;5;van der Wal, L.D.;23;0;1;3;0;0;1;1;1;0;0;5;1;1;3;0;1;1;1;0;1;0;1;1;0;0;0;0;0
;;6;Hovestadt, F.C.;87;2;4;10;7;8;7;4;4;0;4;3;7;5;7;0;2;0;1;2;1;2;5;1;0;0;0;0;1
