Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau NME-gebouw;Stembureau IKC De Tamboerijn;Stembureau Centrum 4.0;Stembureau IKC De Carrousel;Stembureau Kantine Atletiekvereniging de Liemers;Stembureau OBS Het Kofschip;Stembureau Liemers College Zonegge;Stembureau Basisschool Lindenhage;Stembureau Liemers College Zonegge;Stembureau Partycentrum de Griethse Poort;Stembureau Het Musiater;Stembureau De Sterrenschool;Stembureau Brede School St. Martinus;Stembureau Kulturhus De Borg;Stembureau Centrum De Meent;Stembureau Dorpshuis Het Gebouw;Stembureau Hof van Giesbeek;Stembureau Clubgebouw GSV'38;Stembureau Het Gildehuis;Stembureau Basisschool de Tragellijn;Stembureau Dorpshuis De Spieker;Stembureau Dalton IKC De Overlaat;Stembureau Schuttersgebouw Claudius Civilis;Stembureau Dorpshuis De Cluse;Stembureau Dorpshuis Eensgezindheid;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau Partycentrum de Griethse Poort;Stembureau Hof van Giesbeek;Stembureau Het Gildehuis;Stembureau Schuttersgebouw Claudius Civilis;Stembureau Gemeentehuis, Turmac Cultuurfabriek;Stembureau Partycentrum de Griethse Poort;Stembureau Hof van Giesbeek;Stembureau Het Gildehuis;Stembureau Schuttersgebouw Claudius Civilis
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;101;111;118;120;124;201;211;218;220;224
Postcode;;;;;6901 AA;6901 BV;6904 EG;6905 BH;6904 KL;6904 GZ;6903 DK;6903 EP;6903 DK;6903 DK;6901 HK;6901 JZ;6901 KZ;6905 AR;6909 DW;6986 AP;6988 AG;6987 AB;6987 CM;6915 AD;6915 VT;6917 AM;6916 CD;6911 AJ;6914 AL;6913 AC;6901 AA;6901 HK;6987 AB;6915 AD;6911 AJ;6901 AA;6901 HK;6987 AB;6915 AD;6911 AJ
;;31;Witten, R.I.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;32;Gerritsen, L.K.W.;28;2;2;3;0;0;2;0;0;0;0;3;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;2;4;0;0;0;2;3;0;0;0
2;CDA;;;2753;93;60;86;26;32;82;100;30;38;29;116;70;58;117;308;141;21;52;33;59;40;74;65;175;120;86;84;98;27;40;45;90;118;28;37;75
;;1;de Nooij, J.;1210;55;36;63;17;23;54;66;21;27;17;68;52;41;69;62;34;13;34;25;14;7;5;17;28;20;15;59;73;14;15;11;44;69;16;14;12
;;2;Ariessen, G.T.H.J.;216;2;0;0;0;2;1;1;1;0;1;3;0;0;4;0;0;0;0;2;37;15;68;30;1;2;4;3;1;3;15;0;0;3;0;16;1
;;3;Jansen, F.H.F.;131;1;0;0;0;0;0;2;1;0;1;2;2;2;0;0;0;1;0;0;0;6;0;2;4;87;6;2;0;0;3;2;2;0;0;3;2
;;4;van Dinther, W.J.M.;284;3;5;2;1;0;3;4;0;0;0;6;2;1;6;222;0;0;1;0;1;0;1;0;0;4;3;1;2;1;3;0;4;6;0;1;1
;;5;Visser, H.T.W.;110;6;2;6;5;3;2;6;5;3;5;8;2;7;11;2;3;0;1;0;0;0;0;0;0;0;0;5;7;0;0;0;13;8;0;0;0
;;6;ten Have, W.L.J.;77;7;3;5;2;0;4;7;1;1;0;7;2;2;8;0;3;0;1;0;0;0;0;1;0;0;0;2;9;2;0;0;0;8;2;0;0
;;7;van de Beeten, R.H.;72;1;1;0;0;0;2;2;0;0;1;2;0;1;7;0;0;1;1;0;0;0;0;3;4;3;39;0;0;1;0;0;2;1;0;0;0
;;8;Evers, F.B.M.;212;3;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;112;1;5;0;0;1;0;28;3;1;1;0;50
;;9;Korthaus, R.C.;72;2;7;3;0;2;8;5;1;3;2;6;2;1;5;4;1;0;0;1;0;0;0;0;0;0;0;7;2;3;0;0;5;2;0;0;0
;;10;van Merwijk, C.H.M.;21;3;1;3;0;1;2;4;0;0;0;0;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;11;Meijer, A.M.;89;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;82;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
;;12;van der Kroon, B.J.F.M.;26;0;1;0;1;0;0;1;0;0;0;1;0;0;2;0;5;0;0;0;0;2;0;0;10;0;0;0;0;0;0;0;0;2;0;0;1
;;13;Snippe, B.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Thomassen, J.L.J.;16;0;0;0;0;0;0;1;0;0;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;0;0;0
;;15;Beekman, D.P.;10;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;4;0;0;0
;;16;van Lent, P.J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Nijland, G.J.M.;26;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;6;2;6;1;0;0;0;0;0;0;0;0;0;2;0;0;1;1;4;0;0
;;18;Wiendels, H.N.G.;11;0;2;0;0;0;0;0;0;2;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
;;19;van Schip, G.N.M.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;20;Bolt, D.H.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;5;1;1;0;0;0;0;2;0;0;0;0;0;0
;;21;Scheurer, C.;12;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;2;0;0;0;0;1;0;0;1;1;0;0;0;0
;;22;Buiting, A.B.M.;9;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;23;Reijmer, W.J.M.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;13;0;1;0;0;0;0;2;0;0;0;0;5
;;24;Reinders, B.;13;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Lensen, C.J.H.M.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;26;Pijnappel, H.L.A.M.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
;;27;Roording-Janssen, W.G.M.;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;28;van Schip, N.G.W.;7;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;29;de Vries, A.M.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
;;30;Lubbers-Bloemberg, M.H.B.;6;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;31;Lamers, J.A.M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;3;0;2;0;1;0;0;0;0;1;0;1;0;0
;;32;de Graaf-Koers, C.M.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
