Verkiezing;;Gemeenteraad Arnhem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Arnhem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Arnhem;Rozet;Loopvis;Buurtcentrum 't Huuske;Koepelgevangenis Arnhem;SIZA (het Dorp);Sionkerk - P.G. Filadelfia;Nederlands Watermuseum;Wijkcentrum De Bakermat;Plantsoen naast gymzaal Bauer;Gymzaal Witsen;Siza;SBO De Klaproos;Rode Kruisgebouw;Rijn IJssel (Vaksch Wageningen);Jan Ligthartschool;De Nieuwe Hommel;MFC Klarendal;Plaatsmaken;Dansschool Yasalsa;Nivon-De Wasserij;Jozef Sartoschool;Prot. Gemeente Nieuwe Kerk (vh. Opstandingskerk);Sportcentrum Valkenhuizen;MFC De  Wetering;Korfbalvereniging Oost-Arnhem;Woonzorgcentrum Vreedenhoff (Ingang Velperweg);De Parkschool;Kantine AV & AC Eendracht;Kantine HAN;Buurthuis De Overkant;MFC Presikhaven;Bethlehemkerk - C3 Rivers Church;Woonzorgcentrum Waalstaete;Wijkcentrum Symfonie;Plantsoen naast Kerkgebouw Gereformeerde Gemeente;Musis Sacrum;Bizar-Bazar in voormalige Lutherse kerk;Buurtcentrum De Lommerd;Stadskantoor;MFC De Spil;Kantine v.v. MASV;MFC De Malburcht;Kantine v.v. Arnhemia;Gymzaal Eimers/ Basisschool Mozaïek;Basisschool Het Mozaïek (gymzaal Fluitekruidstr.);Salvatorkerk;Kerkgebouw Apostolisch Genootschap Arnhem;Wijkaccommodatie Vredenburcht;SWOA De Petersborg;Jongerencentrum De Madser;Rijn IJssel Kronenburgsingel;Dorpshuis Ons Gebouw Elden;Wijkcentrum Elderveld;SWOA De Gaanderij;Wooncentrum Jan Hovingflat;Kerkgenootschap Leger des Heils;Brede School de Laar West;Sport-&Ontmoetingscentr De Laar-West;Basisschool De Laarhorst;Wijkcentrum Boerderij De Kroon;Basisschool De Lingelaar;Gemeenschapsruimte Rijkershof;Sportcentrum Rijkerswoerd;Boerderijcafé De Hooijmaat;Woongemeenschap Bloemenburcht;EBS De Rank;MFC De Salamander;MFC De Omnibus;Kantine v.v. Arnhemse Boys;MFC De Omnibus;Station, ontvangsthal Arnhem CS;Stembureau Trolleybus;Stadhuis Arnhem (maandag);SIZA (het Dorp) (maandag);Rode Kruisgebouw (maandag);Inloophuis Sint Marten (maandag);Sportcentrum Valkenhuizen (maandag);Bethlehemkerk - C3 Rivers Church (maandag);Kantine v.v. MASV (maandag);Salvatorkerk (maandag);Sport-&Ontmoetingscentr De Laar-West (maandag);Sportcentrum Rijkerswoerd (maandag);Kantine v.v. Arnhemse Boys (maandag);Stadhuis Arnhem (dinsdag);SIZA ( het Dorp ) (dinsdag);Rode Kruisgebouw (dinsdag);Sportcentrum Valkenhuizen (dinsdag);Bethlehemkerk - C3 River Church (dinsdag);Kantine v.v. MASV (dinsdag);Salvatorkerk (dinsdag);Sport-&Ontmoetingscentr De Laar-West (dinsdag);Sportcentrum Rijkerswoerd (dinsdag);Kantine v.v. Arnhemse Boys (dinsdag)
;;5;Spruijt, W.;145;4;5;3;0;2;0;1;0;2;2;1;0;0;1;1;4;2;3;1;1;1;3;2;0;2;0;3;2;0;0;0;1;1;1;0;2;2;1;6;4;1;0;0;6;0;1;0;1;1;1;3;0;1;1;1;0;3;1;11;0;0;8;0;2;3;6;0;4;3;1;2;3;2;2;0;1;0;0;2;0;0;4;0;0;4;0;0;0;0;0;1;0;0;1
;;6;Groot, B.M.L.;397;20;17;1;5;13;1;2;6;3;8;1;4;1;2;11;1;5;3;3;6;5;7;4;3;3;2;2;3;3;2;1;4;2;4;2;6;5;5;6;3;0;5;1;5;2;1;1;6;3;4;2;1;10;4;2;2;5;8;2;3;12;9;4;5;8;6;6;13;11;11;7;3;3;2;0;0;0;0;0;0;0;3;5;2;5;2;3;3;2;1;3;5;6;5
;;7;Meyer, T.P.A.;82;1;0;0;0;1;1;0;0;3;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;2;2;0;0;1;0;0;0;0;0;0;0;0;0;9;6;11;13;2;1;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0;0;2;1;0;8
;;8;Roders, M.S.;107;2;3;0;0;3;0;0;3;4;3;2;1;0;0;0;0;4;2;0;4;0;0;1;1;0;0;1;0;1;1;0;1;0;0;0;1;1;1;3;2;0;1;0;4;2;2;1;5;0;1;0;0;0;0;1;0;1;1;0;0;0;5;1;0;4;4;0;3;1;3;2;1;2;3;0;1;0;0;0;0;1;0;0;0;2;2;0;2;1;0;1;2;0;2
;;9;Rombouts, M.P.M.;93;16;6;0;0;1;1;0;8;5;0;2;0;0;0;1;0;4;0;1;0;3;0;2;1;0;2;1;0;1;0;0;2;0;0;0;2;1;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;5;2;0;5;0;0;0;0;0;1;0;0;0;0;6;0;0;2;0;0;0;0;0;0
;;10;Razza, H.;104;1;1;0;2;4;0;1;0;0;0;0;0;0;0;1;3;0;3;1;0;0;1;2;0;0;2;2;4;2;9;0;2;0;1;0;3;5;1;1;1;0;1;4;1;0;2;2;1;2;0;0;0;1;1;0;0;0;0;0;0;2;0;3;2;1;4;4;1;0;0;2;0;0;0;1;0;2;1;0;0;0;1;0;1;4;3;0;2;0;1;1;0;0;0
;;11;Velderman, H.J.G.;22;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;2;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;0
;;12;Kurtdaylar, Ş.;16;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
;;13;Op de Woert, A.I.M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Vos, J.C.;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Weltevreden-van Regteren, I.E.E.;56;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;2;1;0;0;0;0;0;0;1;0;1;1;1;2;1;0;0;1;0;1;0;1;1;1;0;0;0;4;0;1;0;0;0;4;1;1;0;1;2;0;1;1;1;0;1;1;0;0;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;1
;;16;van der Borg, P.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Kemper, J.M.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Kasteel, T.E.G.A;50;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;3;0;0;0;3;4;18;1;0;3;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0
;;19;Bongers, T.;47;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;1;1;0;1;0;2;2;1;1;1;1;1;0;2;1;0;1;1;0;3;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;1
;;20;de Jong, A.;22;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
;;21;Lentjes, P.G.J.T.;49;0;0;0;3;5;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;3;0;1;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;3;2;0;1;0;0;0;0;0;0;1;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;2
7;Partij voor de Dieren;;;5157;118;120;37;68;157;14;59;94;104;56;63;61;50;77;80;93;133;108;137;114;49;83;127;89;78;87;53;44;35;20;13;46;23;39;75;104;96;65;172;46;50;17;58;37;38;18;47;53;25;29;40;11;51;83;48;44;46;28;60;25;46;36;31;28;55;65;25;65;53;43;38;118;25;58;8;26;42;31;13;13;15;25;23;16;113;22;49;39;21;15;34;35;22;14
;;1;de Groot, L.C.M.;1750;30;20;10;17;43;5;15;17;42;18;20;32;26;24;27;28;32;33;35;29;18;27;49;35;35;41;23;23;17;7;4;18;11;13;27;25;22;15;40;11;17;6;19;18;17;6;15;19;8;10;19;5;29;35;24;17;24;9;27;9;22;14;18;17;19;28;14;19;19;13;10;26;6;12;4;10;12;16;7;5;10;12;12;5;39;7;14;16;9;3;8;13;8;6
;;2;Hogenhout, F.J.;2142;56;70;14;35;68;8;30;45;41;28;28;18;17;34;38;42;65;42;54;55;18;38;48;35;24;30;21;13;10;8;2;13;7;17;30;53;45;23;83;24;20;7;25;12;12;5;22;28;13;12;14;4;14;31;15;17;11;9;24;10;19;15;11;5;21;24;10;30;23;20;7;50;14;25;4;14;14;11;4;6;4;7;6;6;38;11;28;17;7;8;17;15;9;7
;;3;Eliëns, J.L.C.;98;3;1;0;6;6;0;3;6;4;2;0;1;2;1;0;1;2;2;4;2;1;0;2;5;2;1;1;0;0;0;1;0;0;1;2;0;0;1;3;0;0;0;0;1;3;2;0;0;0;0;1;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;1;1;0;0;3;0;0;0;1;0;0;0;6;0;0;2;0;0;3;0;0;0
;;4;Witberg, M.J.J.;65;2;1;0;0;2;0;1;0;1;2;1;1;0;3;1;0;3;1;0;1;2;4;4;0;2;2;1;0;2;0;0;0;0;0;0;1;1;0;1;1;2;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;2;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0
;;5;Lu, H.E.;211;3;6;4;1;10;0;1;8;4;0;0;0;1;7;3;3;5;6;7;4;4;2;3;2;3;0;3;1;2;1;1;2;2;1;3;5;6;7;3;3;1;2;2;0;0;0;1;2;2;0;0;0;1;2;3;1;1;0;1;1;2;0;0;3;4;0;0;3;0;1;6;7;0;5;0;0;7;1;0;0;0;2;3;2;9;1;1;1;1;2;1;0;1;1
;;6;Suijkerbuijk, T.;275;7;9;2;2;8;0;3;6;0;0;2;4;3;2;3;9;8;5;5;7;1;4;8;8;2;6;1;2;2;1;1;7;0;1;4;8;9;9;13;2;2;0;3;3;1;2;2;2;0;3;0;2;1;3;5;1;3;1;1;2;1;3;1;0;2;7;0;4;3;1;5;9;0;6;0;0;1;0;0;1;0;2;1;0;8;1;1;0;2;0;2;3;0;0
;;7;Hanoeman, R.R.;107;2;5;1;0;2;0;0;4;4;1;0;0;0;1;0;2;3;1;7;2;0;0;1;1;0;1;0;0;0;1;0;2;0;2;3;2;1;2;3;2;1;0;1;0;1;2;2;0;0;1;3;0;1;2;1;1;2;2;2;1;0;0;0;2;1;1;0;1;2;2;2;4;0;1;0;0;0;1;2;0;0;0;0;0;5;0;0;1;0;0;1;0;2;0
;;8;Blasweiler, J.;42;0;0;0;0;2;0;0;0;2;0;4;0;1;1;0;0;2;2;1;2;1;0;0;0;3;0;1;1;1;0;1;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;9;Janssen-van Halteren, E.;124;7;2;3;1;4;0;1;0;0;3;0;0;0;1;2;1;6;5;7;3;1;3;1;0;1;1;0;2;0;0;0;1;1;2;2;3;2;3;4;0;0;1;3;0;0;0;3;0;1;1;1;0;2;1;0;0;2;2;2;0;1;0;0;0;3;2;1;2;0;1;2;5;0;1;0;0;1;1;0;1;0;2;0;0;3;1;0;0;0;2;1;2;0;0
;;10;van Veldhuizen, G.;18;1;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;11;Schoen, A.S.;231;5;6;2;3;9;1;2;5;3;2;1;3;0;3;6;5;4;9;14;7;2;2;9;3;6;2;2;1;1;1;2;1;1;0;2;2;9;4;16;1;3;1;3;2;1;0;1;1;1;1;1;0;2;6;0;2;2;0;1;0;1;2;0;1;3;1;0;2;2;3;2;8;3;4;0;1;1;0;0;0;0;0;0;2;4;1;1;2;0;0;1;1;0;0
;;12;Hegge, M.H.;94;2;0;1;3;3;0;1;3;3;0;6;1;0;0;0;2;2;1;3;2;1;1;2;0;0;3;0;1;0;1;1;1;0;2;2;4;1;1;2;2;4;0;0;1;1;1;0;0;0;0;1;0;0;0;0;2;0;4;1;1;0;1;0;0;0;1;0;2;0;1;2;6;1;1;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;1;0;0
8;CDA;;;3420;44;31;20;20;53;22;21;33;63;57;68;62;35;46;48;19;33;27;14;28;63;62;100;50;38;95;74;70;27;31;11;36;19;33;16;34;31;20;24;16;33;15;31;34;13;17;29;53;15;17;33;10;113;75;30;38;40;27;52;29;41;45;30;37;44;56;31;82;72;60;65;39;15;28;24;19;8;15;21;5;20;27;21;25;53;22;22;25;16;11;41;32;34;36
;;1;Koorn, C.K.;2686;26;16;17;17;40;21;18;31;55;50;54;44;27;33;38;14;24;23;10;23;47;45;82;42;30;62;60;57;18;25;4;32;14;28;14;23;17;12;18;15;29;12;27;31;10;15;27;42;10;16;28;9;94;61;25;35;31;16;39;22;33;41;24;25;29;43;24;69;53;50;53;32;8;20;17;18;4;13;17;4;17;24;18;20;39;19;15;20;14;10;30;24;31;23
;;2;van den Broek, S.E.A.;188;4;3;2;1;2;0;2;1;4;1;0;3;1;2;5;1;1;2;0;2;7;3;6;5;4;3;4;2;1;0;1;1;2;0;1;3;5;4;2;0;2;0;1;1;0;0;0;6;0;0;2;0;6;6;1;1;4;1;3;2;2;1;3;2;3;7;2;3;4;3;1;3;2;2;2;0;3;1;1;0;0;2;0;2;0;1;2;1;0;0;3;2;1;2
;;3;Groot, L.G.J.;98;1;0;0;0;2;0;0;1;1;1;3;2;1;1;0;0;1;0;0;1;0;6;1;1;0;21;4;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;1;0;1;2;2;0;0;1;1;4;3;2;0;1;0;0;3;0;2;1;1;1;0;1;3;1;0;0;0;0;0;0;0;1;1;2;0;3;1;0;0;1;0;0;2
;;4;de Vries, D.D.J.;47;1;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;1;0;1;2;1;0;0;2;0;0;4;0;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;3;1;0;0;1;0;2;3;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0
;;5;Bangoer, S.;45;2;2;0;0;0;1;0;0;0;0;0;0;1;1;1;2;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;3;0;1;0;1;1;1;2;0;3;1;0;0;0;3;1;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0
;;6;Kooistra, S.S.;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;7;Muskee, M.T.;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;8;Bax, M.;37;0;0;1;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0;1;2;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;3;1;1;3;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1
;;9;Hutten, G.J.;26;0;2;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1;2
;;10;de Vries, R.J.;25;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1;0;2
;;11;Doek, H.A.;21;0;0;0;0;1;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
;;12;de Vries-Hoppe, A.;93;2;1;0;1;3;0;0;0;0;1;1;0;1;2;1;1;3;1;1;2;0;1;4;1;1;3;2;2;2;1;3;2;2;1;0;1;1;3;0;0;1;1;1;0;1;0;1;0;2;0;0;0;2;3;0;2;0;3;0;0;1;0;1;1;3;0;0;0;3;0;5;0;4;0;0;1;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0
;;13;Wander-Deelen, M.P.J.;57;5;2;0;0;0;0;0;0;0;0;1;2;2;3;0;0;1;0;0;0;1;0;1;0;0;1;0;2;1;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;2;2;0;3;1;0;1;0;1;0;0;0;0;2;0;0;0;1;1;2;1;1;1;1;0;2;0;0;2
;;14;Veldboer, M.L.;17;0;0;0;0;1;0;0;0;0;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
;;15;Haverkamp, G.W.M.;44;2;3;0;0;2;0;0;0;2;0;1;0;1;0;0;0;1;0;0;0;2;1;0;0;2;0;2;1;0;3;0;0;0;1;0;0;3;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;2;0;0;0;0;0;0;0;2;0;0;1;1;0;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0
9;PVV (Partij voor de Vrijheid);;;1683;22;14;3;10;19;1;4;10;13;4;9;17;12;12;8;6;14;13;28;20;13;19;22;18;41;17;15;31;23;6;7;26;20;29;21;15;10;12;13;9;27;20;37;21;25;19;22;34;13;29;40;9;48;36;49;21;29;21;51;17;26;30;17;18;39;40;23;30;20;17;19;10;3;13;2;10;6;8;5;4;19;15;13;7;13;1;7;14;7;15;15;19;14;10
;;1;Verheij, C.;1458;17;12;3;10;18;1;4;10;12;3;8;14;11;12;7;3;13;13;22;16;11;13;18;14;35;14;14;30;22;5;7;23;17;23;20;12;9;11;13;6;23;20;33;19;21;16;22;31;11;25;36;6;42;32;49;16;20;15;44;16;17;27;14;17;30;37;19;22;14;16;16;10;3;10;2;10;6;7;5;4;17;13;12;6;12;1;7;10;6;14;12;18;12;9
;;2;Henzen, P.C.C.;78;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;1;0;1;0;0;1;1;4;3;2;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;0;0;0;3;2;1;2;1;0;3;3;1;3;0;2;0;0;0;4;1;1;2;3;1;1;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;2;1;1;1;1;1;1
;;3;Engelaar, T.H.D.;67;5;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;2;3;1;1;1;0;2;0;0;0;0;0;0;0;1;2;0;2;0;0;0;1;1;0;2;2;3;0;0;2;2;0;2;0;1;1;0;2;4;2;0;0;2;0;0;0;2;2;0;3;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0
;;4;van der Kemp, G.B.;80;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;3;1;1;4;2;0;1;1;0;0;0;0;0;2;1;3;1;0;0;0;0;2;2;0;1;0;1;2;0;1;0;1;0;2;3;2;0;0;2;3;4;1;5;3;3;1;3;0;3;3;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;0
10;ChristenUnie;;;2337;26;20;10;11;47;19;30;39;46;27;27;35;35;42;24;13;25;26;23;27;30;28;39;41;17;21;40;30;19;5;17;28;30;11;15;28;13;17;17;4;40;9;22;44;13;13;34;77;26;18;26;7;35;67;48;38;41;21;44;19;47;40;18;10;42;45;40;42;24;20;42;28;5;23;14;7;4;6;17;0;23;8;10;11;24;15;21;13;10;3;23;18;15;25
;;1;Nede, N.N.;1537;15;11;9;9;29;15;16;22;38;16;21;21;21;28;14;8;17;15;10;15;22;18;28;23;15;15;31;23;10;5;14;21;16;7;9;16;10;12;15;3;22;4;15;29;6;9;23;49;14;9;20;2;22;45;34;27;28;15;34;14;19;24;9;5;29;30;29;22;18;14;26;12;4;18;9;7;2;3;13;0;15;7;5;6;21;11;17;8;9;3;18;17;11;12
;;2;Hutten-Kamminga, M.E.;314;4;2;1;0;10;2;6;9;5;4;4;7;2;7;7;0;3;4;1;6;3;6;6;7;1;2;4;3;3;0;2;2;2;2;3;6;2;1;2;0;9;2;0;4;0;0;3;12;7;4;3;1;9;8;8;5;2;1;2;2;6;3;1;1;11;8;3;8;1;1;8;4;0;1;2;0;1;2;2;0;4;1;4;4;1;2;2;2;0;0;1;0;4;3
;;3;Zijlstra, S.;77;2;2;0;0;1;0;0;1;0;1;0;0;0;1;2;2;1;1;1;6;1;1;1;0;1;0;1;0;2;0;0;0;1;1;1;2;1;0;0;0;0;1;1;1;0;0;0;5;1;1;2;0;2;0;4;2;3;0;0;0;1;3;0;0;0;0;2;1;3;0;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;2;0;0;1
;;4;Jansen, H.D.;89;2;1;0;0;0;1;3;1;2;0;0;0;1;0;1;0;2;3;10;0;0;2;0;0;0;3;1;0;1;0;0;1;2;0;0;0;0;2;0;0;2;0;1;2;2;4;0;1;2;0;1;0;0;1;1;1;2;1;1;0;6;0;2;0;0;2;3;1;0;0;0;3;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;3;0;0;0;0;0;2
;;5;Malda, D.;38;0;2;0;0;0;0;2;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;0;0;0;2;1;0;0;0;1;5;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Postmus, H.W.;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1
