Verkiezing;;Gemeenteraad Wageningen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wageningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0289;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Hotel de Wereld;Wijkcentrum Huis van de Nude;Vakschool Rijn IJssel;Gereformeerde Kerk Vrijgemaakt;Café onder de Linden;Wijkcentrum Pomhorst;Bevrijdingskerk;Speeltuinvereniging Tuindorp;Tafeltennisvereniging Shot;Immanuel Kerk;Sporthal De Vlinder;Parkflat Belmonte;Sporthal de Aanloop;Hotel Nol in 't Bosch;Sporthal Tarthorst;Voetbalvereniging WAVV;Grote Kerk Markt;Campus WUR Forumgebouw;De Vredehorst;Vakschool Rijn IJssel (maandag 14 maart);Vakschool Rijn IJssel (dinsdag 15 maart);Grote Kerk Markt (maandag 14 maart);Grote Kerk Markt (dinsdag 15 maart);De Vredehorst (maandag 14 maart);De Vredehorst (dinsdag 15 maart)
;;13;Hesen, F.P.H.;39;0;10;0;2;3;0;0;0;1;1;0;0;0;0;0;0;0;12;9;0;0;0;0;0;0;1
;;14;Gawrońska, K.;16;1;1;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;1;6;0;0;0;0;2;1;0
;;15;Hendricks, F.L.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
;;16;Lafeber, F.N.V.J.;18;0;2;1;0;0;2;0;1;0;0;0;0;2;0;0;0;0;5;1;2;0;0;1;1;0;0
;;17;van Bennekom, S.L.;23;0;2;0;0;2;1;1;0;1;0;2;2;0;1;1;0;0;3;0;1;0;1;0;2;3;0
;;18;Visschers, T.J.;12;1;0;0;2;0;0;0;0;1;0;0;2;0;1;0;0;2;1;1;0;0;1;0;0;0;0
;;19;van Malssen, L.A.;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0
;;20;Yau, D.C.H.;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Vis, P.D.;7;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;;22;van den Bosch, M.R.M.;12;0;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;4;2;0;0;0;0;0;0;0
;;23;Tuinstra, M.S.;6;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;24;Smits, D.W.M.J.;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;3;0;0;0;0;0;0;0
;;25;de Boer, J.P.;6;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;26;de Vries, L.T.;5;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;27;Vercruysse, L.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;28;Telders, A.C.B.;15;1;4;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;4;2;1;0;0;0;0;0;1
;;29;Wezenbeek, N.L.W.J.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;30;Jenniskens, M.J.;35;1;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;21;1;0;0;0;3;1;0;0
;;31;Lemain, C.M.;6;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
;;32;Quaak, J.M.W.;6;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;33;Smith, R.W.;5;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0
;;34;Manusama, K.C.M.;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0
;;35;Meijerink, M.F.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;36;Jones, Z.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;37;Klerks, L.;8;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;1;0;0;0;0;0
;;38;Kik, M.R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;39;Baltussen, G.L.A.;6;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0
;;40;van Schie, S.Z.;6;0;1;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;41;Ligthart, N.N.J.;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0
;;42;Golunska, P.D.;8;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0
;;43;Stijsiger, R.J.;7;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;0;0;1;0;0
;;44;Reijerman, M.P.;33;2;2;1;6;0;1;1;0;0;0;0;1;0;4;0;0;0;5;8;0;0;1;1;0;0;0
7;ChristenUnie;;;1156;28;64;23;64;83;41;26;18;47;8;41;74;51;89;48;16;32;70;42;56;18;15;33;49;56;64
;;1;Heger, M.C.;589;11;35;11;29;38;23;12;11;23;3;21;43;29;45;31;7;25;39;20;23;5;8;16;25;29;27
;;2;de Haan, P.;106;2;5;2;4;13;3;5;3;3;0;1;6;6;7;5;0;2;5;4;6;4;0;6;3;5;6
;;3;van Harten, J.;54;0;0;1;8;6;0;0;0;0;0;4;6;0;3;0;0;1;2;6;2;1;1;3;3;2;5
;;4;Hoek, P.D.;24;0;0;1;0;3;0;0;0;3;0;1;0;0;1;2;2;0;3;0;3;0;0;0;0;1;4
;;5;Zomer, J.Y.;71;7;4;2;4;3;3;1;0;3;1;4;0;3;3;2;3;1;5;5;3;1;2;1;5;4;1
;;6;Bos-van Gorkum, J.;24;0;3;0;1;2;0;0;0;2;0;0;0;1;1;0;0;3;2;0;1;0;0;4;1;1;2
;;7;de Vries, S.F.;23;0;2;0;0;1;0;1;0;0;1;3;3;2;2;1;1;0;0;0;3;0;0;1;0;0;2
;;8;Willemsen, A.;7;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0
;;9;Kaptijn, G.E.;27;2;2;2;4;3;1;1;0;0;0;2;0;0;0;0;0;0;2;2;3;0;0;0;0;1;2
;;10;van den Berg, R.C.;88;2;5;0;3;3;5;2;0;8;0;0;3;8;16;4;0;0;3;3;5;3;0;0;4;6;5
;;11;van Schaik, J.A.M.;13;1;0;0;0;0;0;0;2;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;3;0;2
;;12;van der Kolk, J.;4;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;13;Schenkel, L.;18;1;1;1;4;2;1;0;0;1;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;1;1
;;14;van Vliet, G.;15;0;2;0;5;3;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
;;15;Schot, S.;4;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Kars, M.;7;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;17;van Doorn, S.;6;0;2;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;18;Keuter, A.J.;15;0;0;0;0;1;0;2;0;0;0;0;0;0;4;0;0;0;1;0;1;1;0;0;0;3;2
;;19;van den Bergh, M.L.;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;de Visser, A.W.;12;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;1;4;0;2;0;0
;;21;van Eck-van Hell, L.;12;0;1;1;0;1;0;0;0;0;0;0;2;0;1;2;2;0;0;0;0;0;0;0;0;0;2
;;22;Arens, L.A.;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1
;;23;van der Lee, J.;5;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;24;van Schaik, J.W.;6;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1;0;0;0
;;25;Dijkstra, J.;17;0;0;0;1;1;2;0;0;1;0;0;3;0;2;0;0;0;2;0;5;0;0;0;0;0;0
8;CDA;;;716;17;47;21;45;37;24;15;13;27;4;25;49;47;46;38;11;10;50;18;35;25;17;32;22;25;16
;;1;Dijkstra, J G;405;11;25;10;25;21;18;10;8;17;0;19;29;22;31;24;8;4;26;7;21;12;11;18;9;15;4
;;2;Baas, R;53;1;4;3;9;2;2;0;0;0;2;2;1;1;1;2;0;1;3;6;4;2;1;2;1;1;2
;;3;Blokzijl, M A;104;0;10;1;7;7;0;1;3;6;2;2;7;3;7;6;0;2;10;1;3;6;2;7;1;4;6
;;4;Wagter, J D;13;0;0;0;0;3;1;0;0;1;0;0;2;3;0;1;0;0;0;0;0;0;0;0;0;1;1
;;5;van Diepen - van Schaijik, M A J;64;4;7;3;1;3;2;2;0;1;0;0;5;8;2;0;1;1;3;1;2;2;2;3;8;2;1
;;6;Hendrickx, W D I;7;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;1;0;0;1
;;7;Wijnveen, H;27;0;0;1;1;1;1;1;1;1;0;1;3;5;3;0;1;0;2;0;2;0;0;0;2;1;0
;;8;van Leijen - de Vries, H M;18;0;0;2;1;0;0;0;0;0;0;0;1;0;1;1;1;0;6;1;1;0;0;1;1;0;1
;;9;Bakker, J;9;0;0;0;1;0;0;0;1;0;0;0;0;2;1;0;0;0;0;1;1;1;0;0;0;1;0
;;10;Vos, A C;16;1;1;0;0;0;0;1;0;1;0;0;1;2;0;4;0;2;0;1;1;0;1;0;0;0;0
