Verkiezing;;Gemeenteraad Wijchen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Wijchen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Huis van de gemeente;Meander;Jeugdhuis Woezik;Paschalisschool sporthal;De Markies;Dorpshuis De Waaijershof;Wijkgebouw Wijchen Oost;Brede school Noorderlicht/Sporthal;Sporthal Zuid I;Sporthal Achterlo I;Wijkgebouw Wijchen West/ Sporthal;Sporthal Achterlo II;Basisschool Speelhoeve locatie Kraaijenberg;Sporthal Zuid II;Kulturhus de Zandloper;Dorpshuis de Mijlpaal;Dorpshuis 't Ballegooijke;De Batenburcht;LTV Vormer;Sporthal de Slingert;Wijkcentrum De Brink;Dorpshuis de Oase;Huis van de gemeente;Huis van de gemeente;Jeugdhuis Woezik;Jeugdhuis Woezik;Sporthal Zuid;Sporthal Zuid;Sporthal Achterlo;Sporthal Achterlo
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;25;26;27;28;29;30;31
Postcode;;;;;6602 DB;6601 AR;6604 CC;6604 AE;6603 CM;6606 AB;6603 AE;6601 DL;6605 HN;6601 XW;6602 WT;6601 XW;6601 RM;6605 HN;6617 BG;6616 AM;6613 AH;6634 AL;6602 NB;6605 DT;6603 JR;6603 CL;6602 DB;6602 DB;6604 CC;6604 CC;6605 HN;6605 HN;6601 XW;6601 XW
;;4;Krale, W.T.M.J.;36;1;1;4;2;3;0;1;0;2;0;3;1;1;2;0;0;0;0;0;1;0;0;6;6;0;0;0;0;0;2
;;5;Haerkens, T.A.A.J.;17;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;2;3;0;0;2;1;0;0;1;0;0
;;6;Engels, R.W.M.;53;3;2;3;1;3;0;0;1;1;2;2;0;1;1;1;1;11;1;2;5;0;0;7;3;0;0;0;0;0;2
;;7;Verploegen, L.R.;44;3;3;4;1;2;0;0;0;1;0;4;0;1;3;1;3;0;0;0;3;3;0;1;6;0;0;0;2;2;1
;;8;van Lent, J.J.A.M.;54;0;0;2;2;1;0;0;0;8;1;0;2;0;3;1;0;18;0;2;0;1;3;2;4;1;3;0;0;0;0
;;9;Kuling, S.G.C.L.;23;2;0;1;0;0;0;0;0;3;1;0;0;1;0;1;0;12;0;0;0;1;0;0;0;0;1;0;0;0;0
;;10;Visser, G.;30;1;0;0;0;0;1;0;0;0;0;0;1;0;0;23;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0
;;11;Schipper, C.;56;5;0;3;0;3;0;0;1;4;0;7;0;0;1;0;0;0;0;3;1;6;0;8;1;3;6;1;2;0;1
;;12;Hoogsteder-Jansen, M.H.C.;24;3;2;2;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;2;0;3;0;1;1;0;2;1;0;2
;;13;Sommerdijk, B.E.M.;14;6;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0
;;14;Borneman, W.A.M.;28;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Jansen, W.J.H.;39;8;2;0;2;0;0;0;1;4;0;4;2;0;4;0;0;0;2;1;0;0;0;3;1;0;0;1;4;0;0
;;16;de Wildt, M.G.L.;39;6;0;9;0;0;0;0;0;0;0;6;3;1;3;0;0;1;0;0;0;1;1;5;0;0;1;1;1;0;0
;;17;Christodoulides, P.;22;1;0;3;0;2;0;0;1;0;0;1;1;0;1;0;0;0;0;0;4;1;0;0;4;1;2;0;0;0;0
;;18;van Dam, A.M.;17;1;2;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;3;0;0;0;0
;;19;Viester-Rozeboom, K.M.A.;26;2;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;7;2;0;0;0;3;0;0;1
;;20;Coenen, A.;10;2;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1
;;21;van Roosmalen, F.J.I.M.;15;1;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
;;22;Boumans, R.J.L.;9;1;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;23;Hofman, K.;5;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
