Verkiezing;;Gemeenteraad Oldebroek 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oldebroek;;;;;;;;;;;;;;;;;;;;;
Nummer;;0269;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Heerdt;Luctorgebouw;Grinthuus;Pauluskerk;Kruiskerk;Sporthal Kamphal;Vredeskerk;De Brinkhof;De Bouwakker;De Zwikmeule;Erica Terpstrahal;Immanuëlkerk;Mobiel stembureau;Drive-through Gemeentewerf;Gemeentehuis maandag;Gemeentehuis dinsdag;Sporthal Kamphal maandag;Sporthal Kamphal dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;10;11;12;13;14;15;51;52;53;54;55;56
Postcode;;;;;8096 CP;8097 SE;8096 BR;8095 PX;8091 CK;8091 GA;8091 RC;8091 GR;8091 XS;8094 AM;8096 BB;8091 XA;8096 BE;8096 AX;8091 XX;8096 CP;8096 CP;8091 RC;8091 RC
;;10;van de Brink, B.J.;19;7;0;3;0;0;1;0;2;1;0;0;0;0;0;0;2;1;2;0
;;11;Hup, M.;13;1;0;0;3;0;5;3;0;0;0;0;0;0;0;0;0;0;0;1
;;12;Palland, A.;12;2;6;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1
;;13;Scholten, D.;6;0;0;0;0;1;2;0;0;1;1;0;1;0;0;0;0;0;0;0
;;14;Schuring, M.;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0
;;15;Kaiser, J.B.;14;2;0;0;0;0;7;0;3;1;0;0;0;0;0;0;0;1;0;0
;;16;Gerard, R.;22;1;1;0;0;4;2;6;0;1;0;0;2;0;0;0;0;0;2;3
4;CDA;;;1358;163;97;75;66;120;81;59;125;100;76;54;52;38;17;7;33;84;54;57
;;1;van der Horst, W.;648;63;42;37;33;65;31;33;64;51;43;19;24;18;9;3;13;47;27;26
;;2;Dijkstra, J.A.;132;2;2;0;3;13;28;11;18;24;8;0;7;0;0;0;1;0;9;6
;;3;Scholten, G.;83;4;1;0;2;10;11;6;13;9;3;1;3;0;0;3;0;2;7;8
;;4;ten Hove, N.;69;29;6;3;1;2;2;0;1;1;1;2;1;3;0;1;1;15;0;0
;;5;Spijkerboer, C.;91;18;8;21;5;2;1;0;3;1;0;9;2;6;1;0;5;3;1;5
;;6;Sie - Nagelhout, W.;131;29;3;8;9;9;2;7;10;9;7;8;3;4;1;0;4;8;4;6
;;7;Terpstra, F.P.;20;0;1;0;1;4;0;0;5;0;1;0;7;0;1;0;0;0;0;0
;;8;Dickhof, A.;25;7;5;0;1;2;0;0;0;1;0;4;0;2;0;0;0;2;0;1
;;9;Dokter, L.;8;0;4;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;10;Spronk, J.W.;28;1;0;0;5;7;0;1;2;0;2;2;0;0;1;0;0;0;4;3
;;11;van Ommen, K.;16;0;1;0;1;1;1;0;3;0;0;2;0;1;0;0;3;2;0;1
;;12;van de Streek, M.F.;11;1;0;0;0;0;1;0;1;2;3;0;1;0;0;0;2;0;0;0
