Verkiezing;;Gemeenteraad Ermelo 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ermelo;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0233;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Maranathakerk;Chr. Ger. Kerk;Gemeentehuis;Rehobothkerk;Sporthal Dindoa;De Baanveger;Weth. Balverszaal 1;Sportcentrum Calluna;De Oude School 's Heeren Loo;Ons Huis;RK Kerk;Weth. Balverszaal 2;Sporthal Triade;SmdB Speulderbrink;De Westerkerk;Proson, restaurant bon appétit;Gemeentehuis maandag;Gemeentehuis dinsdag;RK kerk maandag;RK kerk dinsdag;Westerkerk maandag;Westerkerk dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;20;21;22;23;24;25
Postcode;;;;;3851 XR;3851 XA;3851 NT;3851 LH;3853 PT;3851 CP;3853 PR;3851 BC;3853 HD;3853 LN;3852 XB;3853 PR;3852 ZX;3852 NH;3853 JK;3851 ZH;3851 NT;3851 NT;3852 XB;3852 XB;3853 JS;3853 XB
;;21;Bolhuis, H.G.;6;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;22;Mestrom, M.;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;23;de Vries, B.J.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;24;Engelsman, P.;6;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0
;;25;Tanis, M.;18;2;0;1;2;0;0;0;2;0;0;0;0;1;0;3;0;4;2;0;0;0;1
;;26;Klappe, A.L.;15;0;1;3;2;0;0;1;2;0;1;0;0;0;0;1;0;0;1;0;0;2;1
;;27;Kleijnen, A.J.M.;26;0;0;5;1;0;1;0;3;0;0;0;0;1;0;4;2;1;2;2;0;1;3
;;28;Knoppert-Ruiter, A.A.;22;2;0;1;1;3;0;1;4;0;0;0;0;4;0;3;1;0;1;0;0;1;0
3;ChristenUnie;;;1956;115;141;116;120;39;88;84;122;61;63;99;74;123;41;140;59;72;107;74;57;67;94
;;1;van Veen, H.R.;859;52;67;53;62;17;46;36;41;14;30;46;33;57;23;44;28;33;58;31;27;25;36
;;2;Urbach-Bakker, E.J.;523;31;40;25;32;12;26;23;30;19;18;25;13;37;9;45;16;19;27;23;15;18;20
;;3;Tillema, D.;119;4;10;6;7;3;4;5;12;5;2;8;6;6;1;8;0;2;5;5;5;7;8
;;4;van der Deure, J.;35;1;2;2;4;0;1;2;1;2;0;1;2;4;1;3;1;1;0;3;2;1;1
;;5;van den Broek, W.A.;24;6;0;0;1;0;0;2;0;3;2;1;2;1;0;1;0;0;2;0;0;2;1
;;6;Weigand-Timmer, H.A.C.;63;2;1;6;5;1;4;4;5;1;1;3;1;3;1;4;2;2;5;4;1;3;4
