Verkiezing;;Gemeenteraad Neder-Betuwe 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Neder-Betuwe;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1740;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Opheusden;Sporthal De Biezenwei;Sporthal De Biezenwei;Sporthal De Leede;Ons Dorpshuis Kesteren;Sporthal De Linie;Dorpshuis Ochten;Gerrit van Riemsdijkhuis;Dorpshuis De Hoge Hof Echteld;Sporthal De Eng;Sporthal De Eng;Sporthal De Leede;Gemeentehuis Opheusden;Dorpshuis Ochten;Ons Dorpshuis Kesteren;Sporthal De Eng;Gemeentehuis Opheusden;Dorpshuis Ochten;Ons Dorpshuis Kesteren;Sporthal De Eng
Gebiednummer;;;;;1;2;3;4;16;17;18;19;20;21;22;23;26;27;28;29;30;31;32;33
Postcode;;;;;4043 KM;4043 NM;4043 NM;4041 JB;4041 XE;4051 BP;4051 AX;4053 JN;4054 MX;6669 CE;6669 CE;4041 JB;4043 KM;4051 AX;4041 XE;6669 CE;4043 KM;4051 AX;4041 XE;6669 CE
;;6;van Essen, P.A.C.;16;0;0;0;0;0;4;3;0;0;0;1;0;0;2;0;0;0;6;0;0
;;7;Geluk, J.A.;101;2;1;1;0;3;6;3;0;0;39;22;0;0;0;0;8;0;1;1;14
;;8;Zomerdijk, H.J.;75;1;1;0;2;3;5;3;25;12;6;3;0;0;4;2;1;1;4;2;0
6;ChristenUnie;;;695;40;17;24;52;59;73;88;29;10;44;39;24;12;20;15;45;16;40;35;13
;;1;van Hattum, C.;397;19;8;12;31;33;29;39;19;3;35;28;12;8;9;11;37;9;28;19;8
;;2;van Os, N.J.;27;0;0;0;0;1;3;10;0;2;0;2;1;0;3;0;0;0;3;2;0
;;3;Vlastuin, T.;34;2;1;0;6;5;4;4;2;0;0;0;4;0;0;1;0;1;0;4;0
;;4;van Hal, A.M.;11;0;2;0;0;0;0;2;3;0;0;0;0;0;1;0;0;1;0;2;0
;;5;Hoogakker-van Doorn, C.;58;1;2;2;1;8;4;6;3;1;9;5;3;1;1;1;4;1;2;2;1
;;6;Drost, H.P.;20;1;0;0;2;0;4;2;0;0;0;3;0;0;1;0;1;0;1;2;3
;;7;van Esseveldt, L.C.;30;0;0;0;0;0;15;8;1;2;0;0;0;0;2;0;0;1;1;0;0
;;8;van Dijken, N.;45;16;4;7;7;3;1;0;1;0;0;0;1;1;0;1;0;1;0;2;0
;;9;Boer-Meijer, S.C.;12;0;0;2;2;5;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0
;;10;de Vogel, S.;4;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
;;11;van Veen-Twigt, A.J.H.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Verwoert-van Doorn, G.C.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;13;van Manen, R.;7;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;3;0;0
;;14;Brinkman, D.C.;16;0;0;0;1;0;5;7;0;0;0;0;0;0;0;1;0;0;1;1;0
;;15;van Lienden, J.;7;0;0;1;0;1;1;2;0;1;0;0;0;0;0;0;0;0;1;0;0
;;16;van Ommeren, W.G.A.;4;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;Schimmel, C.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Groot, P.N.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1
;;19;Angelino-Wiesenekker, G.;7;0;0;0;0;2;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0
;;20;Buijs, P.;4;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;21;van Veen, M.J.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Vóór Neder-Betuwe;;;964;104;93;80;45;78;85;74;40;39;45;47;35;16;21;19;18;37;38;34;16
;;1;Meijering, M.D.A.;435;52;44;41;17;22;23;30;15;24;36;22;16;10;5;7;12;26;6;16;11
;;2;Mauritz, A.J.C.;112;9;6;8;16;18;4;1;2;5;4;2;11;3;0;4;2;3;1;12;1
;;3;Bron, D.;207;7;6;4;6;23;39;34;17;7;1;7;3;2;13;6;1;1;28;1;1
;;4;van Noort, P.;27;7;4;5;0;0;2;2;0;0;0;3;0;0;2;0;0;1;0;0;1
;;5;Papilaja, S.;64;8;5;6;4;3;9;3;3;2;3;4;0;1;1;0;1;3;3;4;1
;;6;Meijer, G.H.;39;10;12;4;1;5;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0
;;7;Meijering, J.G.;24;5;3;6;0;3;1;0;0;0;0;3;1;0;0;0;0;1;0;0;1
;;8;Mauritz, G.M.;56;6;13;6;1;4;4;3;3;1;1;3;4;0;0;2;2;2;0;1;0
