Verkiezing;;Gemeenteraad Voorst 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorst;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0285;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Tennispark TC de Schaeck;Dorpshuis Voorst;Gymzaal Voorst 'De Wiekslag';Multifunctioneel Centrum 'De Pauw';Verenigingsgebouw Lawa Mena;Restaurant Bosgoed;Hof van Bussloo (Het Kleine Hof);Dorpshuis 'de Pompe';Voetbalvereniging Activia;Bibliotheek Twello;Gebouw PIGIKA;Dorpshuis 'op den Toega';Gymzaal Terwolde (ingang Schoolstraat);Dorpshuis 'de Arend';Stationskoffiehuis;Restaurant 'Korderijnk';Sportcafé Jachtlust;Trefpunt Duistervoorde;Dorpshuis Voorst;Dorpshuis Voorst;Gymzaal Terwolde (ingang Schoolstraat);Gymzaal Terwolde (ingang Schoolstraat);Sportcafé Jachtlust;Sportcafé Jachtlust
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Postcode;;;;;7391 TP;7383 CG;7383 XM;7382 CC;7391 KG;7384 DE;7383 RP;7384 BD;7391 JK;7391 DH;7391 AN;7395 PB;7396 NA;7397 NH;7391 EH;7391 EH;7391 BW;7391 AG;7383 CG;7383 CG;7396 NA;7396 NA;7391 BW;7391 BW
3;CDA;;;2006;124;40;63;154;70;91;47;39;53;125;179;79;63;109;102;122;94;142;13;26;15;20;101;135
;;1;Wolff van Wulfing, G.W.F.J.;980;40;22;27;88;36;55;29;25;12;68;76;51;25;46;56;58;44;67;7;16;11;9;56;56
;;2;Wormskamp, P.J.M.;135;8;0;2;2;4;3;3;0;4;11;13;0;4;6;7;17;9;27;0;0;0;1;2;12
;;3;Timmermans, T.H.J.;259;15;0;1;5;15;11;3;1;14;12;69;3;1;4;13;18;13;19;0;0;1;0;13;28
;;4;Wessels, J.M.;52;2;0;0;2;1;1;2;2;0;1;1;6;10;3;0;1;1;1;0;0;2;6;6;4
;;5;Assink, M.;95;11;0;3;0;3;2;2;0;5;5;5;4;2;0;5;10;11;12;0;0;0;1;5;9
;;6;Winterman, P.A.;67;12;1;2;5;4;3;0;3;3;5;1;1;5;5;2;3;1;1;0;0;0;2;4;4
;;7;Borst, J.J.;15;1;0;0;2;0;0;0;0;1;3;0;0;0;0;1;2;0;1;0;2;0;0;2;0
;;8;Booster, C.B.;42;13;0;0;0;1;0;3;0;0;3;3;1;0;1;3;1;1;5;0;0;0;0;3;4
;;9;Horstink, L.G.G.;89;7;2;4;5;5;5;3;0;5;5;5;7;6;4;6;6;4;4;1;0;0;0;0;5
;;10;van Oosterhout, H.J.J.;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Bokdam, G.J.;11;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;2;1;0;0;0;0;0;1
