Verkiezing;;Gemeenteraad Epe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Epe;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0232;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Buurthuis Vegtelarij;Voormalige basisschool Zuuk;Hervormde gemeente Goede Herderkerk;Regenboogkerk Epe;Buurthoeve;Eper Veste;S.V. Wissel;Wijkvereniging Burgerenk;Hervormde Gemeente Sionskerk;De Hezebrink;Verenigingsgebouw De Hoeksteen;Kulturhus Oene;Gereformeerde Tabernakel kerk;Zwem- en Sportcentrum De Koekoek;Clubgebouw c.s.v. VIOS;Dorpscentrum De Wieken;Evangeliecentrum Woord en Daad;Clubhuis Handbalvereniging C.V.O.;Kerkelijk Centrum De Rank;Clubhuis Korfbalvereniging Regio 72;Gemeentehuis;Gemeentehuis;Evangeliecentrum Woord en Daad;Evangeliecentrum Woord en Daad
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;8161 EE;8161 ZA;8161 RJ;8162 VW;8162 HA;8162 XC;8161 AG;8162 PR;8162 ZV;8161 VV;8166 AL;8166 AT;8167 NL;8171 EH;8171 VH;8172 CN;8171 CE;8171 AC;8171 NB;8171 CP;8171 NB;8161 EE;8161 EE;8171 AC;8171 AC
;;3;van den Berg, W.;123;1;1;2;0;5;0;0;0;0;5;19;15;10;5;7;4;9;20;0;8;2;1;4;3;2
;;4;Boon, H.;180;2;1;23;0;1;2;0;0;4;3;18;16;21;5;6;13;10;28;3;3;7;2;0;6;6
;;5;Kamp, W.M.;79;12;1;2;11;4;5;6;3;8;5;1;1;7;0;0;1;0;0;0;1;0;3;8;0;0
;;6;Keizer, J.;49;4;2;3;0;1;0;2;1;0;0;3;14;14;2;0;0;0;1;1;0;0;1;0;0;0
;;7;Pruim, S.C.;51;6;2;0;4;5;9;6;0;6;1;0;1;1;0;0;1;0;1;0;0;2;0;4;2;0
;;8;van Essen, W.M.;46;1;1;5;0;0;1;1;6;0;1;2;11;7;2;2;1;0;2;1;0;0;1;0;0;1
;;9;Bolt-Visser, A.;46;1;1;0;1;2;0;0;4;3;1;1;0;1;3;8;7;4;2;1;1;4;0;1;0;0
;;10;van de Vliert, M.;21;0;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;9;3;0;0;0;0;2;0
;;11;de Bruin, S.J.;15;0;0;0;0;0;1;0;3;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Essen, A.H.J.;9;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;2;1;0;0;0;0
;;13;Dijkstra, K.;16;0;0;0;0;0;0;0;0;0;1;1;0;11;0;0;0;1;1;0;0;1;0;0;0;0
;;14;Mulder, G.;6;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;2;0
;;15;Tekelenburg, A.E.;62;3;9;1;5;6;3;0;4;9;4;3;7;4;1;0;1;0;0;0;0;1;0;1;0;0
;;16;Keizer, H.P.;18;1;1;2;0;0;0;0;0;0;0;0;7;2;4;0;1;0;0;0;0;0;0;0;0;0
;;17;van 't Einde, W.J.;19;1;0;0;0;0;0;1;0;0;0;0;0;0;1;6;1;0;0;0;3;5;0;0;0;1
;;18;Overeem, A.C.;18;0;0;0;0;0;0;0;0;0;0;3;1;5;0;0;0;2;6;1;0;0;0;0;0;0
;;19;Vos-Mekelenkamp, M.G.;37;1;1;2;2;0;0;1;0;3;0;3;5;11;0;0;2;0;1;1;2;0;1;1;0;0
;;20;Riphagen, W.H.;40;2;0;1;0;0;2;0;0;0;2;1;1;29;0;0;0;0;2;0;0;0;0;0;0;0
5;D66;;;1973;194;116;41;62;100;89;174;127;113;59;88;33;59;63;75;55;49;59;26;26;58;105;140;30;32
;;1;de Goede, H.P.;558;51;28;9;15;30;19;53;29;31;17;31;15;16;23;17;19;19;19;5;13;9;39;34;8;9
;;2;van Loon, A.H.M.;917;103;50;23;30;58;49;86;79;54;28;40;15;27;22;29;13;15;13;4;9;26;49;75;9;11
;;3;Doorn, N.H.B.A.;114;12;10;2;4;5;5;12;3;10;2;6;0;4;3;4;1;2;3;0;0;6;8;9;2;1
;;4;Boermans, J.H.;35;6;2;1;5;3;2;4;1;1;0;0;0;2;1;1;0;0;0;0;1;1;3;1;0;0
;;5;van den Berg, S.;116;11;17;1;4;1;11;4;1;14;11;5;0;8;1;3;2;0;0;1;0;0;5;14;0;2
;;6;Timmer, M.J.;71;0;0;0;0;0;0;0;0;0;0;2;1;0;4;8;8;8;10;5;2;8;0;1;10;4
;;7;Oonk, C.Y.;39;7;2;1;4;2;2;2;5;2;0;1;1;2;0;0;0;0;1;2;0;1;0;3;0;1
;;8;Schilder, M.G.L.;72;2;1;1;0;0;0;0;1;0;0;2;0;0;7;12;10;5;11;6;1;7;1;2;1;2
;;9;Wijnsma, H.P.;10;1;4;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Visser, J.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
;;11;van Halem, P.J.;27;1;2;3;0;0;1;11;6;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;den Hartog, H.D.;10;0;0;0;0;0;0;1;0;0;0;1;1;0;2;0;2;0;0;3;0;0;0;0;0;0
6;GROENLINKS;;;904;87;40;22;43;26;58;39;35;57;36;33;25;30;41;46;35;36;33;12;20;25;50;42;15;18
;;1;Baltus, W.;574;52;26;14;27;15;44;22;26;35;24;23;16;21;29;31;21;26;17;3;10;10;33;25;12;12
;;2;van der Baan, J.W.;73;7;4;3;3;6;9;3;2;8;2;4;0;1;0;1;1;2;0;1;3;1;6;5;0;1
;;3;Schutter, J.M.;29;5;1;0;1;0;0;0;0;0;0;0;0;0;4;4;1;2;2;3;2;2;1;0;1;0
;;4;Meijer, M.;64;4;1;1;1;0;1;1;0;0;4;2;2;1;5;7;6;4;5;2;3;7;1;4;0;2
;;5;Muijs, J.;12;1;0;0;1;0;0;0;1;0;0;1;5;0;0;0;0;1;0;0;1;1;0;0;0;0
;;6;Boomsluiter, J.W.;78;11;2;3;5;2;4;11;4;9;1;3;0;3;0;2;1;0;2;3;0;1;4;5;0;2
;;7;Goldenbeld, J.;25;3;1;0;0;1;0;2;0;2;1;0;0;2;2;1;1;1;1;0;1;2;3;1;0;0
;;8;Brummelman, G.;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;de Graaf, J.;46;4;3;0;5;2;0;0;2;3;4;0;2;2;1;0;4;0;6;0;0;1;2;2;2;1
7;Partij van de Arbeid (P.v.d.A.);;;1059;71;67;24;70;21;34;35;22;101;55;43;33;36;20;53;45;53;34;11;29;30;58;66;19;29
;;1;van Nuijs, J.N.;485;27;32;8;31;7;8;15;3;33;31;18;22;20;9;29;25;28;19;7;16;18;27;21;11;20
;;2;Boer-Bruin, H.R.;270;25;17;8;16;9;15;5;15;37;11;5;5;10;2;4;5;15;10;0;3;7;15;26;3;2
;;3;van der Straaten, J.W.;41;0;8;1;2;0;0;0;0;1;1;12;2;2;1;0;0;1;0;0;1;0;5;4;0;0
;;4;Teijssen - Sleeuw, M.;76;6;5;2;14;2;3;3;1;10;3;2;1;0;0;4;4;0;1;1;0;0;2;7;3;2
;;5;Goudbeek, J.A.;46;2;1;0;1;0;1;0;0;6;1;1;0;1;3;9;4;5;1;1;2;2;0;0;1;4
;;6;Prosee, G.;9;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;3;1;0;2;0;0;0;0;0;0
;;7;Haasbroek, M.;51;6;3;0;3;0;2;7;1;7;6;0;0;0;1;1;0;1;1;0;2;0;7;3;0;0
;;8;van Kessel, H.J.;6;0;0;1;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Goudbeek-Rozendal, G.;23;1;0;2;3;0;0;0;0;1;0;1;0;1;2;3;1;1;0;0;3;2;1;0;0;1
;;10;den Uyl, R.J.;52;4;0;2;0;3;5;5;2;4;2;1;2;2;1;3;3;1;2;0;2;1;1;5;1;0
8;Gemeentebelangen Epe;;;1281;134;63;76;68;47;60;82;49;107;76;95;37;45;33;32;26;32;37;14;14;31;47;50;10;16
;;1;van Limburg, G.J.J.;659;60;39;54;29;26;29;43;27;61;43;57;26;32;12;12;8;11;13;7;4;12;18;22;5;9
;;2;Hoppener, T.;95;2;0;3;3;0;2;1;3;5;3;22;8;3;7;3;1;3;6;2;3;6;4;2;1;2
;;3;Griep - Pont, V.M.W.;242;42;16;8;11;14;17;23;15;17;14;4;1;5;3;2;4;4;6;1;1;6;15;13;0;0
;;4;van Aperen, I.P.;65;13;4;2;7;4;2;7;1;7;5;0;0;1;2;2;0;1;1;0;0;0;3;3;0;0
;;5;Wellens-Paulsen, M.E.;115;3;2;2;3;1;1;1;0;4;3;6;2;2;9;11;13;13;10;4;6;6;0;4;4;5
;;6;Stegeman, W.J.;56;6;1;4;8;2;5;4;1;6;6;4;0;2;0;1;0;0;0;0;0;1;3;2;0;0
;;7;Elenbaas, C.;49;8;1;3;7;0;4;3;2;7;2;2;0;0;0;1;0;0;1;0;0;0;4;4;0;0
9;Forum voor Democratie;;;666;66;35;16;24;19;29;25;22;48;24;66;24;25;31;22;31;22;40;10;17;27;5;29;3;6
