Verkiezing;;Gemeenteraad Elburg 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Elburg;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0230;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Oostendorp;Clubhuis Tennisclub Elburg;Kulturhus 't Huiken;Gym lokaal de Wimpel;Hervormde Oosterkerk;Dorpshuis De Deel;Dorpshuis Ons Huus;Hervormde  Kerk Elim;Kantine SV 't Harde;Hervormd Kerkelijk Centrum;Wooncentrum Hart van Thornspic;Stembureau Unit 1;Mobiel stembureau zorginstellingen;TechLab;Gemeentehuis Oostendorp (maandag);Dorpshuis de Deel (maandag);Gemeentehuis Oostendorp (dinsdag);Dorpshuis de Deel (dinsdag);Kantine SV 't Harde (maandag);Stembureau Unit 1 (maandag);Kantine SV 't Harde (dinsdag);Stembureau Unit 1 (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;12;14;50;51;55;141;146;151;156;1410;1450;1510;1551
Postcode;;;;;8081 LA;8081 BS;8081 VS;8081 JS;8081 DN;8085 AP;8085 PE;8084 HB;8084 PB;8081 CL;8085 BW;8084 HK;8084 VB;8082 CA;8081 LA;8085 AP;8081 LA;8085 AP;8084 PB;8084 HK;8084 PB;8084 HK
;;12;Willemsen, G.;7;0;0;0;0;0;1;1;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0
;;13;Docter, W.;5;0;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;Fokkema, J.S.;23;0;0;0;0;0;3;8;1;1;0;1;0;1;0;2;4;0;2;0;0;0;0
;;15;Bart, A.E.;6;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;16;van Norel, J.;14;0;0;0;0;0;2;3;1;1;0;5;0;0;0;0;2;0;0;0;0;0;0
;;17;Westerink, J.;9;0;0;0;0;2;0;1;2;3;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;van het Goor, A.;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Bos, M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Verhoek, D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Karzijn, L.;8;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0
;;22;van Norel, D.;8;0;0;1;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
;;23;Veldhuizen, J.J.;3;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Timmerman, A.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Klein, E.;7;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;26;van Wezep, H.;8;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Putten, A.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Woudenbergh, G.N.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;29;Verhaar, A.;3;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Aarnoudse, B.L.C.;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;31;de Bruin, J.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Olst, K.;3;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
5;VVD;;;776;64;49;74;76;50;17;28;73;69;83;9;13;1;29;24;3;49;7;20;9;26;3
;;1;Baauw, E.;502;33;29;45;45;35;14;20;52;53;48;4;7;0;16;19;3;32;5;12;7;21;2
;;2;Koerselman, U.F.;77;8;8;8;10;6;1;2;1;2;12;1;0;1;2;3;0;5;2;3;2;0;0
;;3;van der Heide, G.J.;74;15;6;11;4;6;0;5;5;2;9;1;0;0;0;0;0;9;0;1;0;0;0
;;4;Huis in 't Veld, J.H.M.;14;1;0;0;3;3;1;1;1;1;0;0;1;0;0;0;0;2;0;0;0;0;0
;;5;Penninkhof, H.;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;6;van Woerden, J.C.;25;4;1;3;4;0;0;0;1;0;4;0;1;0;7;0;0;0;0;0;0;0;0
;;7;van der Reijden, J.L.A.;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Wijnne, M.L.;15;2;0;1;5;0;0;0;1;0;2;0;0;0;2;0;0;1;0;1;0;0;0
;;9;Fidder, J.W.;4;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Fekken, H.J.;13;0;0;1;0;0;0;0;4;0;2;3;0;0;0;1;0;0;0;0;0;1;1
;;11;Bendien, F.R.;6;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;Rompes, M.;14;0;0;5;0;0;1;0;2;2;0;0;0;0;0;1;0;0;0;2;0;1;0
;;13;Steert, D.;13;0;2;0;1;0;0;0;4;0;4;0;1;0;0;0;0;0;0;0;0;1;0
;;14;Zwep, S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Flier, H.;7;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;2;0
;;16;Middelburg, B.;6;0;0;0;0;0;0;0;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0
6;CDA;;;1295;108;67;158;126;107;41;44;118;104;85;36;6;5;49;43;14;79;24;32;2;43;4
;;1;Dijkhuizen, C.H.;691;38;29;78;61;50;19;25;91;76;38;13;2;4;18;21;10;47;12;25;0;31;3
;;2;Kloosterman- Barneveld, A.E.;256;24;15;46;41;23;4;1;11;11;22;10;4;0;9;11;2;14;3;2;0;3;0
