Verkiezing;;Gemeenteraad Overbetuwe 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Overbetuwe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Helster 1;Helster 2;Helster 3;Kruisakkers 1;Kruisakkers 2;Kruisakkers 3;Overbetuwe College;Spero;Onder de Toren;Westeraam 1;Westeraam 2;Westeraam 3;Binnenveld 1;Binnenveld 2;Oldenburg Driel;RKSV Driel;MFA de Haar Randwijk;Dorpshuis de Schakel Oosterhout;Verenigingsgebouw Valburg;De Wanmolen 1;De Wanmolen 2;Verenigingsgebouw de Poort Andelst;Hoendrik 1;Hoendrik  2;dorpshuis Beatrix (13-21 uur);mobiel Liefkenshoek en Tertzio;Kruisakkers 1;Kruisakkers 2;'t Binnenveld;De Wanmolen;Kruisakkers 1;Kruisakkers 2;'t Binnenveld;De Wanmolen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;30;1405;1406;1414;1421;1505;1506;1514;1521
Postcode;;;;;6661 EH;6661 AW;6661 AW;6661 AW;6662 DV;6662 DV;6662 DV;6662 VZ;6662 BK;6661 DA;6661 TZ;6661 TZ;6661 TZ;6666 CR;6666 CR;6665 DH;6665 CB;6668 AS;6678 BT;6675 BR;6671 BR;6671 BR;6673 BM;6674 BW;6674 BW;6677 PG;6661 EH;6662 DV;6662 DV;6666 CR;6671 BR;6662 DV;6662 DV;6666 CR;6671 BR
;;22;Prüst, H.H.E.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;Riswick, T.G.M.W.;4;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;24;Franken, J.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Krijgsman, H.;38;1;3;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;2;9;8;1;1;2;0;0;0;0;0;5;0;0;0;1
4;D66;;;2317;180;42;37;36;40;66;48;137;51;74;132;142;127;60;39;77;46;39;221;85;83;65;30;39;46;12;0;55;34;28;43;66;67;25;45
;;1;de Vries, M.A.C.;1070;73;24;18;12;16;37;27;59;21;34;47;49;49;42;27;27;24;17;173;30;30;24;10;10;12;12;0;25;13;7;24;31;39;8;19
;;2;Hanekamp - Janssen, J.T.A.;225;14;2;0;0;0;6;4;7;4;2;7;8;2;6;1;11;2;8;8;23;5;13;18;25;30;0;0;2;0;3;4;4;0;2;4
;;3;van Noordwijk, A.J.;91;1;0;0;0;0;2;0;1;1;0;0;2;2;0;0;1;0;7;3;0;33;12;0;1;3;0;0;0;0;0;10;0;0;1;11
;;4;Termorshuizen, J.L.;319;34;3;11;11;13;15;7;29;15;10;36;42;33;0;0;1;4;2;4;7;2;0;1;1;0;0;0;9;5;0;0;13;10;1;0
;;5;Westerbeek, E.G.H.;63;1;1;0;2;2;0;1;1;1;6;15;15;8;0;0;1;1;0;1;0;1;0;0;0;0;0;0;2;0;0;0;2;2;0;0
;;6;Kroesen, J.G.J;13;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;1
;;7;van Brakel, J.T.;44;0;0;0;0;1;0;0;1;0;0;0;0;0;10;8;0;2;1;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;7;1
;;8;Hulshof, M.;12;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0
;;9;Kroesen, M.;71;6;1;1;0;0;2;1;7;0;1;0;2;3;0;0;1;1;1;3;1;9;11;1;0;0;0;0;1;0;1;2;1;3;3;8
;;10;Teterissa, A.;17;8;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;11;Hanekamp, P.T.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;12;van Balen, E.;44;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;23;9;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0
;;13;Bloemberg, G.J.E.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
;;14;van der Hoeven, H.A.;19;1;0;0;1;0;0;1;3;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4;1;0;0
;;15;Rijken, A.E.;23;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Castelein, J.J.A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
