Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sportaccommodatie ‘t Timpke;Sportzaal Noord;Wijkgebouw De Koppel;Dorpshuis De Zunnekamp;Dorpshoes Gelster;Kulturhus 't Stieltjen;Sportzaal bij de Kerst Zwartschool;Zwembad De Meene;OBS De Driesprong;Café-Restaurant De Tapperij;Zalencentrum de Huve;De Oude Mattheüs;Voormalige RK Basisschool De Regenboog;De Pickerhal kantine;AvB Sports / Voormalige Hemstea Kerk;Centrum d'n Hof;Sporthal de Sonders (zaal);Kulturhus Beltrum;Grote Kerk;Van Gellicumzaal;Natuurpark Kronenkamp;Sportzaal Oranjelaan;De Olde Mölle;Dorpsaccommodatie Rietmolen;Dorpshuis 't Haarhoes;De Pickerhal;Kulturhus Ruurlo;Gemeentehuis (14/3);Gemeentehuis (15/3);Zalencentrum de Huve (14/3);Zalencentrum de Huve (15/3);Natuurpark Kronenkamp (14/3);Natuurpark Kronenkamp (15/3);Kulturhus Ruurlo (14/3);Kulturhus Ruurlo (15/3)
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;47;48;49;50;51;52;53;54
Postcode;;;;;7271 AX;7271 BT;7271 XH;7271 GN;7274 AX;7275 AH;7273 SL;7261 GH;7261 HV;7261 SN;7261 BB;7151 BD;7151 BD;7151 XV;7151 BW;7152 BD;7157 AL;7156 MH;7156 MG;7161 DP;7161 CR;7161 HR;7161 CT;7161 MH;7165 AL;7161 MX;7151 BW;7261 NL;7271 AX;7271 AX;7151 BD;7151 BD;7161 HR;7161 HR;7261 NL;7261 NL
;;6;Ratering, M.H.T.J.;55;13;3;13;9;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;2;0;0;0;1;2;6;0;0;0;0;0;0
;;7;Boxem, J.C.;77;10;9;3;12;2;7;3;2;1;3;2;0;0;0;0;1;0;1;0;1;0;0;0;3;0;1;1;0;3;8;1;0;0;0;1;2
;;8;Koopman, A.B.G.M.;10;2;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;1
;;9;Oonk, G.H.J.;90;3;2;2;3;3;0;1;1;0;0;0;1;0;0;0;1;0;0;0;7;9;11;6;12;0;9;0;0;1;0;1;0;6;8;2;1
;;10;Oonk, J.W.;113;5;8;28;7;12;4;6;2;0;0;1;2;1;1;1;0;0;0;1;2;2;0;2;1;0;3;1;6;4;8;0;2;0;1;1;1
;;11;Geessink, H.J.;34;0;0;0;0;0;0;1;0;0;0;0;4;2;6;6;2;1;0;0;0;1;0;0;0;1;0;3;0;0;0;1;6;0;0;0;0
;;12;Nijhof, P.;14;0;2;0;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;13;te Velthuis, H.W.J.;21;0;0;0;8;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;5;0;0;0;0;0;0;0
;;14;Wiegers, M.;46;1;5;5;2;2;0;2;0;0;3;0;1;0;1;1;1;0;2;0;2;0;0;1;2;0;2;4;1;2;5;0;0;0;0;0;1
;;15;Florijn, A.E.;9;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;16;te Geershuis, E.J.;18;0;1;0;0;2;9;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;17;Luimes-Arentsen, W.H.;42;3;4;2;1;12;2;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;1;0;2;0;3;4;2;0;0;0;0;0;1
;;18;Hogenberk, R.A.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;Spliethof, M.J.L.A.;7;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;20;Luttikhold, G.J.H.;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;8;0;2;0;0;0;0;0;0;0;2;3;0;0
;;21;Wunnekink, W.M.;23;0;0;1;1;0;0;12;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
;;22;Breukers, G.J.H.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Hasselo, B.B.;58;2;0;0;0;0;0;0;0;0;0;0;6;0;3;1;4;14;0;1;0;1;0;0;4;5;0;5;0;0;0;4;8;0;0;0;0
;;24;Koster, M.;13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;3;0;4;0;0;0;0;0;0;1;0;0;1;0;0
;;25;Nijen Es, W.;29;0;1;1;0;0;0;1;3;2;3;4;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;8;0;0;0;0;0;0;2;1
;;26;Markink, J.;22;4;4;4;1;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0
5;Partij van de Arbeid (P.v.d.A.);;;2156;47;43;59;87;46;29;43;38;12;24;71;128;85;147;93;125;46;6;16;76;49;62;68;57;11;21;93;79;40;37;82;147;36;61;38;54
;;1;Wormgoor, W.A.;1103;27;27;30;53;35;16;21;27;10;14;40;41;23;43;27;33;22;2;7;63;42;45;57;42;8;18;21;54;32;21;35;39;28;46;19;35
;;2;Hondorp, J.G.;359;1;2;2;2;0;6;10;0;0;0;0;59;31;37;32;43;7;0;0;2;0;3;4;2;2;0;39;3;2;1;24;42;0;3;0;0
;;3;Smits, R.;34;1;1;2;0;1;0;0;0;0;0;0;2;1;4;5;4;3;0;0;1;0;0;1;0;0;0;2;0;0;0;0;6;0;0;0;0
;;4;Mansfield Timans, N.;46;1;0;0;1;1;1;2;1;0;2;2;2;5;4;0;5;0;0;1;2;0;1;0;0;0;1;3;0;2;0;3;6;0;0;0;0
