Verkiezing;;Gemeenteraad Doetinchem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Doetinchem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Gymzaal Terborgseweg;OC De Daele;Het Trommelslag;OBS Hogenkamp;Speeltuin Schoneveld;OC De Achterhoek;MFA De Zonneboom;Bs te IJzevoorde;Gymzaal Ottawastraat;OBS Hagen;IKC Het Noorderlicht;OR Gereformeerde Gemeente;Sporthal De Pol A;Sporthal De Pol B;OBS Wis en Wierig;BS OCTA;OBS De Huet;Waterschapsgebouw;Sporthal De Bongerd A;Sporthal De Bongerd B;IKC Plattenburg;KC De Wingerd;Stadsmuseum en Borghuis;vv VIOD;App Waterrijk;Het Raadhuis;VG Ons Huis;DA De Horst;SO Isselborgh;Brandweer Wehl;BS Dichterbij;Stadhuis ma;Waterschapsgebouw ma;Het Raadhuis ma;Sporthal De Pol ma;OR Gereformeerde Gemeente ma;MFA De Zonneboom ma;KC De Wingerd ma;vv VIOD ma;Stadhuis di;Waterschapsgebouw di;Het Raadhuis di;Sporthal De Pol di;OR Gereformeerde Gemeente;MFA De Zonneboom di;KC De Wingerd di;vv VIOD di
;;5;Stel, A.E.;48;1;3;0;1;0;1;0;0;0;0;3;1;0;0;0;0;0;3;5;1;1;5;3;4;0;2;0;1;0;0;0;0;1;0;0;0;0;0;2;0;5;0;0;1;0;2;1;1
;;6;Dinç, S.;124;23;2;4;4;4;8;1;8;1;5;11;1;3;3;1;0;1;0;3;2;0;0;3;1;4;4;0;0;0;2;1;1;5;1;0;0;0;0;2;2;7;0;0;2;3;0;1;0
;;7;Isselman, R.G.W.;72;4;0;0;6;2;5;0;1;0;2;0;0;1;0;1;0;0;1;0;2;0;1;3;1;0;0;8;16;4;0;2;0;0;0;3;0;1;0;2;0;1;0;4;0;1;0;0;0
;;8;Yildiz, B.;124;6;0;1;4;7;0;2;5;0;9;8;13;1;4;2;0;1;3;5;2;1;4;5;1;1;9;0;0;0;1;1;6;0;3;0;2;0;2;3;0;3;0;0;2;4;0;1;2
;;9;van Eck, R.J.;23;3;0;0;1;0;1;0;0;0;3;3;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;0;0;0;0
;;10;Loeven, M.L.;24;2;0;0;1;1;0;0;1;0;1;0;1;2;0;0;0;0;1;0;0;0;0;1;1;1;0;2;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;1;1;1;1
;;11;Beks, H.J.;5;1;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hakvoort, V.;30;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;2;0;1;0;5;9;2;0;0;0;2;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0
;;13;Ruckert, G.J.;7;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Röttger, T.H.J.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Wullink, J.W.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;van der Heiden, L.C.;59;7;0;0;1;0;1;0;0;0;0;1;0;1;10;15;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;1;0;0;0;0;0;11;0;1;1;0
;;17;Larsen, J.;11;0;0;2;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Huisman, J.;11;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;19;Meijer, J.A.C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Kock, M.A.;50;5;3;3;1;1;1;1;1;0;3;0;0;2;2;1;0;1;1;1;2;0;5;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;2;0;0;1;0;0;1;1
;;21;Kroon, S.;57;7;3;2;5;1;4;1;3;1;0;6;2;0;0;0;0;2;0;1;2;2;2;0;3;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;0;2;0;0;1;0;1;1;0
3;VVD;;;2807;206;35;81;38;33;94;18;137;76;45;88;28;46;58;90;24;33;42;113;95;37;74;58;89;96;95;88;72;46;48;46;69;73;27;34;17;14;24;36;23;103;42;27;28;8;38;68;47
;;1;Dales, H.;1575;108;29;62;30;24;56;15;84;34;22;46;15;33;26;44;10;25;22;66;52;27;44;38;49;53;52;24;27;16;27;17;43;46;18;8;13;9;17;21;15;60;21;9;18;5;20;46;29
;;2;Wijers, M.J.G.;92;15;1;3;1;3;3;0;4;10;1;5;1;1;3;1;2;0;3;3;4;2;1;1;3;0;2;2;0;2;1;1;4;0;0;1;0;0;0;0;0;2;4;1;0;0;0;1;0
;;3;Hummelink, R.G.M.;151;11;1;0;1;1;7;0;5;0;0;9;2;1;3;2;2;2;7;3;8;5;4;6;7;10;7;2;6;3;3;2;3;2;0;0;0;2;3;1;3;6;2;1;0;0;3;2;3
