Verkiezing;;Gemeenteraad Winterswijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Winterswijk;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0294;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentekantoor;Gemeentekantoor;Gemeentekantoor;De Ontmoeting;De Ontmoeting;De Ontmoeting;Wamelinkhof;IJs-en skeelercomplex WIJV;Gymlokaal de Bargerpaske;FC Winterswijk kantine;Gymlokaal de Stegeman;Sporthal de Vlier;Sportzaal de Alma;Clubgebouw Fietstourclub Wenters;Molukse Samenwerkende Kerken Immanuel;Stemstraat Brandweerkazerne;Zalencentrum Reuselink;Restaurant 'de Schoppe';Gebouw Marijke;Gymlokaal Meddo;Mobiel stembureau 1 (met beperkte toegang);Mobiel stembureau 2 (met beperkte toegang);Mobiel stembureau 3
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Postcode;;;;;7101 GH;7101 GH;7101 GH;7101 DP;7101 DP;7101 DP;7101 JT;7101 PA;7103 AW;7103 AV;7101 BG;7101 TR;7102 CX;7101 JL;7101 TX;7102 AM;7115 AG;7109 AH;7113 AE;7104 BB;7101 GH;7101 GH;7101 GH
;;19;Rhebergen, H.B.;4;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;20;Teunissen, E.G.M.;8;1;1;2;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0
;;21;Buist, A.M.;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Vlam, F.;7;0;1;0;0;0;0;0;1;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0
6;Voor Winterswijk;;;3053;83;125;176;67;91;62;113;171;330;60;95;177;183;45;134;73;206;164;222;323;2;15;136
;;1;van Beek, T.J.M;1443;48;60;78;40;52;37;60;90;159;36;51;81;90;23;46;38;133;75;99;75;1;7;64
;;2;Stemerdink, C;262;5;10;20;4;10;4;10;18;18;4;8;11;17;2;9;1;14;15;40;11;0;3;28
;;3;Poels-Boland, J.;188;6;7;15;7;3;6;6;7;27;3;0;10;12;3;23;3;7;7;14;17;0;1;4
;;4;Hoenink, J.H;355;5;12;9;5;7;4;9;8;16;3;8;6;16;2;2;5;10;21;26;176;0;0;5
;;5;Roerdink, M.T;79;1;7;7;0;1;0;4;16;6;3;4;3;7;5;3;1;3;5;1;0;0;1;1
;;6;Stammers, R.;85;1;3;6;0;2;4;5;5;24;5;6;6;6;2;3;4;0;1;2;0;0;0;0
;;7;Dijkstra, K.;46;1;5;3;0;6;1;2;3;8;0;4;3;1;0;2;0;2;1;3;1;0;0;0
;;8;Veldhuis, B.H.;88;2;7;3;2;5;1;2;3;11;2;0;19;8;0;2;1;1;5;7;3;1;1;2
;;9;ter Haar, A.G.;46;2;1;2;0;1;0;1;0;7;1;0;4;3;0;6;3;1;0;6;2;0;0;6
;;10;Oonk, R.;81;4;2;2;2;0;1;6;3;7;0;0;10;2;1;8;1;13;3;7;2;0;0;7
;;11;van den Akker, H.D.;30;0;1;3;0;1;1;1;3;4;0;1;6;2;0;2;0;0;1;3;0;0;1;0
;;12;Dekker, N.A.W.F;34;0;0;4;0;0;0;1;0;3;0;0;0;0;1;21;1;0;1;0;2;0;0;0
;;13;van der Gaag- Kromdijk, J.H;15;2;2;2;0;0;0;0;0;2;0;1;4;1;0;0;0;0;0;0;1;0;0;0
;;14;de Mol, J.J;12;0;0;0;0;0;0;2;4;1;0;0;2;2;0;0;1;0;0;0;0;0;0;0
;;15;Heesen, R.;19;0;1;1;0;0;0;0;0;2;0;0;1;0;0;1;2;0;0;1;9;0;1;0
;;16;Hengeveld, G.;28;0;0;3;1;1;0;1;0;12;0;2;1;2;1;2;2;0;0;0;0;0;0;0
;;17;Scholten, A.J.M.;104;3;2;3;3;0;1;2;4;4;1;1;1;6;1;0;0;19;11;7;19;0;0;16
;;18;Damkot, Y.A.;69;3;2;4;0;2;0;1;6;7;0;6;6;4;2;2;3;1;15;1;1;0;0;3
;;19;Verhelst, D.G.;34;0;0;3;2;0;1;0;0;8;0;1;2;1;2;1;1;2;3;5;2;0;0;0
;;20;Wiggers, J.;35;0;3;8;1;0;1;0;1;4;2;2;1;3;0;1;6;0;0;0;2;0;0;0
7;Blanco (Heming, O.);;;111;3;12;12;2;0;3;9;4;8;4;6;6;12;1;12;4;0;1;5;5;0;0;2
;;1;Heming, O.;101;3;11;10;2;0;3;8;4;8;3;5;5;10;1;12;4;0;1;5;4;0;0;2
;;2;Weikamp, L.;10;0;1;2;0;0;0;1;0;0;1;1;1;2;0;0;0;0;0;0;1;0;0;0
8;Morgen;;;2041;88;149;199;61;79;81;98;91;249;93;156;129;110;43;75;67;74;84;31;59;2;2;21
;;1;van Nijkerken, A.;1062;49;76;80;33;45;37;60;40;110;57;94;78;68;26;38;27;38;48;16;32;1;2;7
;;2;Leeftink, J.;233;10;18;23;10;7;8;6;6;30;7;14;10;13;3;10;14;15;14;3;5;0;0;7
;;3;ten Dolle, E.C.J.;239;4;19;32;3;7;11;9;12;31;12;16;15;7;4;17;12;5;9;4;10;0;0;0
;;4;Berenschot, W.R.C.;61;2;6;2;2;2;5;6;1;14;0;4;5;1;2;0;2;1;2;0;2;0;0;2
;;5;Wiggers, R.;22;0;2;1;0;2;1;1;1;6;2;2;2;0;0;0;1;0;0;1;0;0;0;0
;;6;Reinders, S.;13;1;1;2;0;0;2;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;1
;;7;Wiggers - Bouwmeester, A.;50;4;6;10;0;1;1;2;1;7;0;5;4;3;0;1;0;0;1;0;3;0;0;1
;;8;Nijenhuis, H.J.W.;50;2;3;9;2;4;1;0;7;7;2;1;2;0;1;0;0;8;1;0;0;0;0;0
;;9;te Brummelstroete, N.J.;35;4;0;2;1;0;3;1;4;9;1;1;2;1;2;2;1;0;0;0;0;1;0;0
;;10;Bollen, J.M.;67;3;6;7;1;5;5;2;2;12;4;4;2;4;0;0;2;0;4;3;1;0;0;0
;;11;Stemerdink, P.;33;3;1;5;1;1;3;0;2;1;0;3;0;1;2;2;2;0;4;0;2;0;0;0
;;12;Grobben, G.;14;0;1;0;1;0;0;0;0;1;0;3;1;2;0;0;4;0;0;0;1;0;0;0
;;13;Wiggers, M.;16;1;3;1;2;0;0;1;1;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Berenschot, R.T.C.;22;0;0;3;3;1;1;0;1;3;2;2;2;1;0;0;1;0;0;0;1;0;0;1
;;15;Nienhuis, R.E.;37;1;2;7;0;2;0;4;4;3;2;1;2;6;1;1;0;0;1;0;0;0;0;0
;;16;van Beek, R.D.;40;3;3;5;1;2;2;2;3;6;1;3;2;0;1;1;1;0;0;3;0;0;0;1
;;17;Ten Dolle, J.G.T.;10;0;1;2;0;0;1;2;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0
;;18;te Voortwis, W.G.J.;37;1;1;8;1;0;0;2;6;4;0;1;2;1;0;0;0;7;0;1;1;0;0;1
