Verkiezing;;Gemeenteraad Beuningen 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Beuningen;;;;;;;;;;;;;;;;;;;;
Nummer;;0209;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeetehuis Beuningen;Tennisclub De Linden;Droom! Beuningen;Scouting Beuningen '76;Korfbalvereniging NAS;Voetbalvereniging Ewijk;MFA 't Hart Ewijk;Dorpshuis De Kloosterhof;Muziekcentrum ULTO;Scouting Sint Andriesgroep Weurt;Dorpshuis De Lèghe Polder;Sporthal De Tinnegieter;Ontmoetingscentrum De Paulus;Theater de Molen Beuningen;Gemeentehuis Beuningen Early Voting maandag;Ontmoetingscentrum De Paulus Early Voting maandag;Gemeentehuis Beuningen Early Voting dinsdag;Ontmoetingscentrum De Paulus Early Voting dinsdag
Gebiednummer;;;;;1;3;4;5;6;7;8;9;10;11;12;13;15;20;101;115;201;215
Postcode;;;;;6641 AE;6641 KH;6641 SZ;6551 DR;6641 TZ;6644 CH;6644 EA;6551 EB;6645 AD;6551 ZZ;6641 DC;6641 DH;6645 BT;6641 BK;6641 AE;6645 BT;6641 AE;6645 BT
;;15;Claassen, T.A.J.H.M.;7;1;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0
;;16;van Hapert, A.M.E.J.;4;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;van Sommeren, T.A.M.;5;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;1;0;0
;;18;Muijres, J.J.;7;0;0;1;0;0;0;0;0;0;0;1;3;0;2;0;0;0;0
;;19;van der Duyn, W.J.G.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Rusu, M.;9;2;0;0;1;0;3;0;0;0;0;0;0;1;0;0;1;1;0
;;21;Hobbelen, P.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Weersink, W.J.P.;8;0;0;0;2;0;0;1;0;0;0;0;5;0;0;0;0;0;0
5;D66;;;1547;96;135;126;92;58;67;86;76;36;33;154;162;105;42;76;36;120;47
;;1;Steeg, A.M.;676;37;75;61;41;35;28;56;26;2;18;88;77;9;25;32;1;58;7
;;2;Lam, P.G.M.M.;223;2;2;2;1;1;8;8;3;30;0;3;5;90;1;2;27;4;34
;;3;Oosting-Adriaansens, J.M.A.;312;27;33;41;30;16;13;13;9;2;3;33;28;1;8;19;1;31;4
;;4;Canoy, V.C.M.;78;7;1;7;6;2;3;3;5;0;2;7;15;2;2;7;5;4;0
;;5;Ahsmann, P.C.W.;28;3;2;0;0;0;5;1;2;0;2;3;2;0;1;1;0;5;1
;;6;van den Broek, S.;42;4;6;4;5;0;3;0;2;0;0;3;6;0;0;3;0;6;0
;;7;de Witte-van der Ent, C.L.M.;15;2;0;1;1;0;2;1;0;0;0;3;2;1;1;0;0;1;0
;;8;Kuppens, R.M.;7;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0
;;9;Peereboom, H.J.B.;13;0;0;2;2;0;0;2;0;1;0;2;0;0;0;4;0;0;0
;;10;Oomen, H.C.J.;15;2;8;0;0;1;1;0;0;0;0;0;3;0;0;0;0;0;0
;;11;Driessen, J.J.;21;1;1;0;0;1;2;0;1;0;2;1;7;1;0;3;0;1;0
;;12;Vermeulen, I.M.;8;2;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;1;0
;;13;Oor, W.G.;37;1;1;0;0;0;0;0;25;0;6;0;1;0;1;1;0;1;0
;;14;Deutekom, A.S.M.;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;1;0
