Verkiezing;;Gemeenteraad Tiel 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Tiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0281;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Cultuurgebouw Zinder;Stembureau Centrum Oosthonk;Stembureau Centrum Westroyen;Stembureau Wielersportcentrum de Betuwe;Stembureau Cultuurgebouw Zinder;Stembureau Centrum Oosthonk;Stembureau Centrum Westroyen;Stembureau Wielersportcentrum de Betuwe;Stembureau Cultuurgebouw Zinder;Stembureau Verenigingsgebouw AVGN;Stembureau Verenigingsgebouw KTVM;Stembureau Centrum Oosthonk;Stembureau De Vier Gravinnen;Stembureau Clubhuis Tiel;Stembureau Betuwe Sporthal;Stembureau Activiteitengebouw kerk Wadenoijen;Stembureau Drumptse Hof;Stembureau Wielersportcentrum de Betuwe;Stembureau Centrum Westroyen;Stembureau Clubhuis Theole;Stembureau Schoolwoningen Passewaaij;Stembureau Voetbalclub RKTVC;Stembureau Hondensportvereniging Tiel;Stembureau Kantoor BSR;Stembureau Mobiel stembureau verzorgingshuizen;Stembureau Mobiel stembureau in touringcar
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;4001 JR;4005 VR;4003 AL;4006 MC;4001 JR;4005 VR;4003 AL;4006 MC;4001 JR;4001 WJ;4001 HZ;4005 VR;4001 RZ;4005 BC;4006 AJ;4014 MB;4003 GA;4006 MC;4003 AL;4002 AH;4007 HD;4006 AW;4006 PD;4001 CE;4001 MV;4001 MV
;;2;Verbeek, D.;158;6;2;2;3;9;2;3;5;7;3;8;11;3;7;14;0;31;3;6;6;8;6;8;1;0;4
;;3;Mulay-Bouyakhrichan, L.;339;9;0;3;11;15;5;9;12;18;15;9;10;15;11;57;7;21;23;13;13;31;3;18;8;1;2
;;4;Saddiki, A.;171;2;2;1;2;7;2;4;3;4;12;3;8;21;8;43;0;7;9;6;8;6;9;3;1;0;0
;;5;Mohamad-Ali, S.F.B.;30;1;0;0;1;4;0;0;0;3;0;2;6;1;0;6;0;1;1;0;1;0;0;2;0;0;1
;;6;de Keijzer, M.M.J.;16;3;0;0;0;0;2;0;0;0;0;1;2;1;0;1;0;0;0;1;1;2;0;1;1;0;0
;;7;Budak, N.;45;3;1;0;1;1;0;1;0;2;8;2;5;1;0;2;0;2;1;0;3;7;5;0;0;0;0
;;8;van Rhee, W.J.P.;44;2;0;2;1;3;0;2;2;3;0;2;0;3;0;4;0;4;0;7;7;0;1;0;0;1;0
;;9;van Amersvoort-Praat, M.C.;28;1;0;0;2;3;0;1;2;2;1;3;2;1;0;2;1;0;2;1;0;1;0;2;1;0;0
;;10;Harteman, G.;24;0;0;1;1;0;0;1;2;1;0;0;2;2;1;1;4;2;0;0;0;2;0;2;0;0;2
;;11;Warrink-Hovinga, T.;19;0;0;0;0;1;3;0;3;0;0;2;1;0;0;1;1;2;2;0;0;0;0;1;0;0;2
;;12;Brink, B.;29;1;1;0;3;0;0;0;0;0;2;0;1;4;0;1;1;7;0;1;1;0;1;2;2;0;1
;;13;Tomatala-Nanarjaïn, M.;127;4;1;0;2;7;0;8;0;4;11;11;7;10;1;9;0;24;10;1;3;10;3;0;0;0;1
;;14;Saddiki, I.;20;0;0;0;0;0;0;0;0;1;2;2;2;1;1;0;2;1;0;3;0;2;2;1;0;0;0
