Verkiezing;;Gemeenteraad Ede 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Het Raadhuis, Hoofdingang;Stembureau Bethanië, Ingang kerkzaal;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Vilente Sint Barbara;Stembureau De Doelen;Stembureau Petrakerk;Stembureau Cultura;Stembureau de Proosdijkerk (aan de rotonde);Stembureau Buurtcentrum De Kolk;Stembureau Speeltuin De Korenbloem;Stembureau Verzorgingshuis Het Maanderzand;Stembureau De Gelderhorst;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Vilente De Pleinen;Stembureau De Ark;Stembureau Wijkcentrum De Velder;Stembureau De Open Hof;Stembureau Het Kernhuis;Stembureau Bethelkerk;Stembureau Koepelschool;Stembureau Dulon College/ROC-A12;Stembureau 't Kerkheem;Stembureau Walraven;Stembureau De Brink;Stembureau Sporthal Soetendaal;Stembureau Tennisvereniging Keltenwoud;Stembureau de School met de Bijbel;Stembureau De Honskamp;Stembureau Westhoffhuis;Stembureau Buurtcentrum De Schakel;Stembureau Tennis Club Lunteren;Stembureau Nederwoudschool;Stembureau Basisschool De Valk;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;"Stembureau 's Heeren Loo ""Het Hart""";Stembureau Dorpshuis De Aanloop;Stembureau NS-station Ede-Wageningen;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Het Raadhuis;Stembureau Pannenkoekenhuis de Langenberg;Stembureau Pathé Ede;Stembureau De Ark;Stembureau Het Kernhuis;Stembureau 't Kerkheem;Stembureau Westhoffhuis;Stembureau Dorpshuis De Zicht;Stembureau Dorpscentrum De Nieuwe Spil;Stembureau Kulturhus Wekerom;Stembureau Dorpshuis De Aanloop;Stembureau Sporthal Kernhem;Stembureau Pathé;Stembureau Kerkelijk Centrum Emmaüs;Stembureau Gymzaal Enka;Stembureau Dulon College/ROC-A12;Stembureau Ericakerk;Stembureau Sportzaal Koning Davidschool;Stembureau Zaal Sint-Antonius van Paduakerk;Stembureau Luthers Gemeentecentrum;Stembureau Schaapskooi de Maanderbuurt;Stembureau Dependance CNS De Vuursteen (gymzaal);Stembureau Sporthal Kernhem;"Stembureau ""Eigen Gebouw""";Stembureau Gymzaal Bettekamp;Stembureau Beatrixkerk;Stembureau Pathé Ede;Stembureau Gymzaal Blijdestein;Stembureau Ontmoetingskerk;Stembureau De Stek;Stembureau Gymzaal Essenburg;Stembureau Gymzaal Enka;Stembureau Gymzaal Verlengde Parkweg;Stembureau Cami & Moskee;Stembureau Sportzaal Maandereng;Stembureau Sionskerk;Stembureau Gymzaal Platanenlaan;Stembureau Boerderij Hoekelum, locatie de Barg;Stembureau De Broek-Akker;Stembureau Sportzaal Kerkhoflaan;Stembureau Maranathakerk;Stembureau Stichting Ana-Upa;Stembureau Voetbalvereniging Advendo '57;Stembureau Hervormd Centrum Het Anker;Stembureau De Waldhoorn
;;40;Dekker, W.J.;19;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;2;1;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0
;;41;Slootweg, E.J.;22;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0
4;GemeenteBelangen Ede;;;7192;153;2;210;11;113;29;260;143;152;122;9;2;136;6;105;91;112;103;143;62;71;156;20;121;105;80;46;0;158;60;41;21;25;104;131;55;2;241;3;139;67;108;61;48;120;44;13;12;5;47;153;129;138;96;56;140;53;23;32;10;99;86;97;133;51;64;53;78;90;9;68;46;86;91;112;120;136;56;19;88;20;66;55;31;117;58;98;63;39;13;36;6;14;60;36
;;1;Hazeleger - Demmers, G.;2744;49;1;65;4;42;12;80;43;56;40;6;1;47;4;44;36;54;38;60;21;25;34;8;38;28;24;12;0;57;23;16;6;14;34;27;29;1;194;0;38;24;43;25;21;44;16;6;4;1;41;49;52;48;45;28;34;19;4;4;8;86;48;41;52;12;24;12;31;27;6;32;25;35;35;45;42;47;21;8;33;6;35;19;13;49;11;30;18;13;6;13;2;3;7;30
;;2;de Pater, P.;1488;43;1;64;3;36;6;62;30;31;28;0;0;37;2;18;23;22;29;26;13;16;26;6;15;13;15;11;0;38;6;14;5;3;20;12;10;0;12;2;37;17;26;14;9;13;6;1;0;3;2;48;38;33;18;8;13;9;9;1;0;3;16;18;21;17;14;14;23;30;3;16;10;22;26;30;36;29;11;4;18;4;10;11;5;30;10;11;15;4;3;8;0;8;2;3
;;3;Righolt, H.;450;13;0;12;0;2;5;14;7;12;9;0;0;3;0;12;5;4;5;9;3;0;29;2;15;17;11;2;0;5;1;1;1;0;0;1;1;0;0;0;9;4;6;4;4;19;4;0;0;0;0;13;5;6;4;2;42;0;0;0;0;1;2;4;5;5;2;9;10;3;0;0;0;0;4;6;4;6;1;0;5;0;3;1;2;5;12;20;10;6;0;0;0;0;0;1
;;4;van Emmerik, W.J.A.;152;2;0;4;0;4;0;8;4;5;0;0;0;2;0;2;3;3;2;2;0;8;3;0;0;2;2;0;0;2;1;0;0;0;4;1;0;0;2;0;1;1;4;0;2;2;2;3;0;0;0;0;6;6;1;1;0;0;1;0;0;0;3;5;3;2;3;5;0;3;0;1;0;3;1;0;1;5;2;0;4;0;6;2;1;2;0;1;2;0;0;1;0;0;0;0
;;5;Stap, D.K.R.;402;5;0;7;2;3;1;25;31;15;9;1;0;20;0;4;8;7;7;14;11;4;2;0;4;1;1;4;0;3;4;1;0;0;1;0;0;1;0;1;19;4;10;6;4;0;1;0;0;0;0;5;1;14;2;5;3;2;0;0;0;0;1;3;24;2;3;2;0;3;0;11;1;4;4;10;6;12;8;1;11;1;2;8;0;8;1;2;1;0;0;0;0;0;0;0
;;6;van de Pol - van Holland, J.;342;11;0;9;2;12;2;18;6;6;14;1;0;4;0;4;5;13;9;9;5;2;5;0;2;0;1;1;0;6;6;0;0;1;3;2;1;0;0;0;12;6;4;4;5;1;1;0;0;0;0;10;5;12;10;4;1;0;0;2;1;0;4;5;11;3;4;4;4;8;0;1;2;10;4;4;3;8;4;6;6;0;3;6;1;1;0;0;0;0;0;1;0;0;0;1
;;7;Scherrenburg, J.;153;9;0;14;0;1;0;11;3;2;3;0;0;6;0;4;1;3;4;4;1;1;0;0;4;1;0;1;0;0;2;0;0;0;0;0;1;0;0;0;8;1;1;3;1;2;0;0;1;0;0;6;6;1;2;0;0;2;0;0;0;0;2;2;2;3;1;1;0;7;0;2;1;0;2;1;6;4;2;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0
;;8;van Hattum, N.D.;271;2;0;4;0;0;1;0;1;1;2;0;0;2;0;2;2;0;1;4;1;2;35;2;27;25;14;2;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;20;0;0;0;0;0;2;0;5;1;1;25;0;0;0;0;0;1;5;1;3;2;0;0;0;0;1;1;3;0;0;2;6;0;0;2;0;2;0;0;6;11;8;11;13;0;1;0;1;1;0
;;9;Brobbel - Dorsman, A.;204;1;0;0;0;0;0;1;2;0;2;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;85;5;0;3;0;1;0;1;0;0;0;0;0;7;1;1;0;0;0;0;2;0;0;2;22;1;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;49;0
;;10;Hendriks, E.E.J.C.;126;1;0;5;0;0;1;1;1;0;0;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;32;8;4;2;0;2;0;0;0;0;0;0;0;0;1;2;0;9;0;0;0;0;2;1;1;0;0;0;17;2;0;0;0;1;0;3;0;0;0;0;0;0;0;1;1;0;0;2;2;2;0;0;0;0;0;0;1;0;0;0;0;4;9;2;0;1;0
;;11;van Dijk, A.P.;14;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;12;Hazeleger, C.;139;2;0;5;0;2;0;3;2;3;1;0;0;2;0;1;0;0;1;5;2;1;0;0;1;0;2;1;0;2;2;0;1;1;0;2;2;0;30;0;3;3;0;0;0;0;0;0;0;0;2;6;1;3;1;1;0;1;0;3;0;9;1;3;0;1;0;2;0;0;0;0;2;2;1;1;1;2;1;0;0;1;1;1;2;1;3;2;0;0;0;2;1;0;0;1
;;13;van den Berg, G.;31;1;0;3;0;0;0;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;4;1;0;0;0;0;2;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0
;;14;de Boer, J.S.;13;0;0;0;0;4;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hazelhekke, G.H.;64;4;0;1;0;1;0;0;2;2;1;0;0;2;0;0;0;2;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;1;2;3;0;2;0;0;1;0;0;1;1;1;2;3;5;1;0;1;1;0;3;0;4;0;1;1;0;0;0;1;0;0;0
;;16;Uijterwaal, A.;117;4;0;4;0;0;0;7;4;8;3;0;0;2;0;1;0;1;2;5;2;0;0;0;1;1;0;10;0;5;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;2;3;0;0;0;0;1;2;2;1;1;1;0;0;0;0;0;1;4;2;2;1;0;2;1;0;2;1;0;2;5;1;1;2;0;2;2;2;0;1;2;0;1;1;0;0;1;0;0;0;0
;;17;Randewijk, J.D.;19;0;0;3;0;0;0;2;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Boers, F.;37;0;0;3;0;2;0;0;2;0;3;0;0;0;0;3;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;19;Henzen, A.;51;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;36;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;20;van de Pol, A.J.;9;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Siezen, B.J.;32;2;0;2;0;0;0;2;1;3;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Bremer, P.W.;16;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
;;23;Geerts, M.J.;22;0;0;0;0;0;0;4;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Wouda, G.W.;13;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0
;;25;Jacobsen, A.J.;25;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;26;Forster, P.Th.;12;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Vloten, R.A.;16;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;;28;Kiffen, A.;43;0;0;1;0;0;0;4;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;1;0;0;0;0;1;1;0;0;0;3;5;3;0;0;0;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Koster, G.J.;60;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;3;7;5;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;5;7;1;1;0;0;0;0;0;0
;;30;Verhoeff, M.A.;82;1;0;0;0;1;0;5;0;0;1;0;0;2;0;0;2;0;1;3;1;2;7;1;7;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;9;0;0;0;0;0;0;0;0;3;0;6;0;0;0;0;0;0;1;1;0;1;0;0;1;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;8;1;1;0;0;0;0;0;0
;;31;van Boven, J.;33;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;3;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;4;0;0;3;0;0;0;0;0;1;0;2;0;0;5;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;32;Bruins, G.;12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5;VVD;;;3520;71;5;137;6;38;26;83;36;38;54;4;7;27;3;50;39;34;49;82;17;27;116;10;50;36;60;21;1;131;18;42;15;30;56;34;25;1;92;8;87;65;53;36;33;84;52;6;8;9;30;63;83;45;21;37;97;57;18;7;8;47;41;49;42;36;16;41;39;48;12;38;42;50;38;50;49;53;25;10;27;0;31;11;9;26;62;47;21;12;11;24;1;5;17;12
;;1;Veltman-Kamp, H.N.;2365;45;4;106;6;20;19;64;26;27;38;3;5;17;2;36;22;25;26;55;8;11;76;8;31;25;42;16;1;83;13;23;11;28;46;22;15;0;82;6;58;47;27;25;24;50;34;6;7;5;24;40;62;26;18;24;73;26;10;7;6;40;20;35;33;22;6;28;25;37;5;26;24;27;27;37;25;39;19;8;17;0;15;6;6;19;36;23;12;7;6;12;1;3;15;12
;;2;Omlo, B.F.;304;9;1;6;0;5;1;2;4;1;4;0;0;3;1;5;8;3;9;5;2;3;4;0;3;3;5;2;0;5;2;0;0;0;4;0;0;0;2;1;7;11;11;4;7;1;2;0;0;0;0;5;10;6;1;6;1;2;1;0;2;1;16;3;2;6;5;1;2;7;0;2;11;12;7;3;8;7;4;1;3;0;6;3;2;2;4;4;2;0;0;0;0;0;0;0
;;3;Harmsen, T.M.;107;4;0;5;0;6;1;2;0;3;1;0;0;1;0;1;0;0;2;3;0;3;2;0;0;0;0;0;0;0;0;0;3;0;5;0;0;0;1;0;4;1;1;1;1;1;0;0;0;0;2;2;3;2;1;1;3;0;5;0;0;1;1;5;1;2;3;2;1;1;0;1;5;7;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;4;de Jong-Hoekman, W.C.;160;1;0;4;0;0;1;3;1;1;4;0;0;0;0;1;0;1;1;4;1;0;3;0;1;0;0;0;0;34;3;13;0;1;1;2;0;0;0;0;1;2;6;0;0;1;12;0;0;0;0;1;0;2;0;0;1;18;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;3;1;1;1;3;0;0;0;0;2;0;0;1;3;2;2;1;4;5;0;0;0;0
;;5;van Dijken, H.E.;87;2;0;3;0;2;0;4;2;2;1;0;0;3;0;2;1;0;2;1;2;1;3;0;1;0;4;0;0;0;0;1;0;0;0;2;9;0;0;0;0;1;0;1;0;4;0;0;1;3;3;5;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;4;1;0;0;0;4;2;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
;;6;Kasimu, A.;21;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van de Kerkhof, J.;20;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;3;0;0;0;1;0;0;3;0;1;0;0;0;0
;;8;Breunissen, H.C.B.;152;0;0;3;0;2;0;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;21;2;11;7;6;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;24;0;0;0;0;0;3;1;0;0;0;16;2;0;0;0;0;0;0;1;0;0;3;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;15;14;5;0;0;1;0;0;0;0
;;9;Landman, R.J.;32;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;1;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;10;Duindam, M.;64;4;0;4;0;0;1;2;0;1;0;1;0;1;0;2;0;1;4;3;2;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;5;3;2;1;0;0;0;1;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;2;3;1;0;0;0;1;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0
;;11;Kooij, G.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
;;12;Teunissen, P.H.B.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Dekker-de Heij, K;26;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;1;0;2;1;0;1;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Laar, K.D.;20;2;0;0;0;2;0;0;0;0;3;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Jonker, A.A.Y.;52;1;0;0;0;0;0;1;1;0;3;0;0;2;0;0;1;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;2;1;0;0;1;0;0;0;0;1;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;3;5;0;0;0;1;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0
;;16;Blom, P.S.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Soest, C.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
;;18;Bos, S.;5;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Kapelle, H.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;20;van Ginkel, G.A.IJ.;16;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Milligen, E.;25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;2;0;0;0;0;0;2;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
