Verkiezing;;Gemeenteraad Lansingerland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lansingerland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hervormde Kerk I;Gemeentehuis Lansingerland;Sportkantine BVCB;GKV Het Baken;Jongeren Centrum Spectrum I;CBS De Acker;Basisschool PJF I, Oudelandselaan;Hergerborch;Gebouw de Bron;Wijkgebouw Rodenrijs;Wijnstokgemeente;Gereformeerde Kerk Bleiswijk Open Hof I;Sporthal de Lijsterlaan I;Brandweerkazerne Bleiswijk;CBS Prinses Maximaschool;'t Manneke I;Basisschool De Klipper, Gouden Uillaan;Jongeren Centrum Spectrum II;Hangout Pecto's;Sterrenhal I;Sterrenhal II;'t Manneke II;De Beren Bleiswijk;IJsclub Bleiswijk;De Klaver;Hervormde Kerk I;Gemeentehuis Lansingerland;Wijkgebouw Rodenrijs;Brandweerkazerne Bleiswijk;'t Manneke I;Mobiel stembureau I, maandag;Hervormde Kerk I;Gemeentehuis Lansingerland;Wijkgebouw Rodenrijs I;Brandweerkazerne Bleiswijk;'t Manneke I;Mobiel stembureau II, dinsdag
;;8;Oostdijk, A.P.;9;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;9;van Herk, W.;33;1;2;0;0;1;0;0;4;4;1;1;0;1;0;0;1;0;2;0;3;3;3;0;0;0;0;0;2;0;2;0;0;1;0;0;1;0
;;10;Cnossen-Looijenga, T.;84;2;2;0;0;2;1;5;5;9;5;3;6;0;1;4;3;0;4;0;8;2;1;0;0;0;2;1;3;0;8;0;2;0;1;1;3;0
;;11;van Tatenhove-Meesen, J.A.;42;1;2;0;0;0;1;2;2;1;4;4;0;0;0;6;1;1;1;0;3;1;1;2;0;0;0;0;2;0;0;0;0;1;4;1;1;0
;;12;Dieleman, J.;39;0;1;0;4;0;0;0;1;4;1;3;0;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;3;0;4;0;1;0;0;0;7;0
;;13;Gille-Markus, A.;15;2;0;2;0;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0
;;14;Koole-Sonneveld, A.E.;31;4;0;0;0;0;0;2;0;1;0;0;11;2;2;0;0;0;0;1;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;15;Vroegindeweij, W.;13;0;1;0;0;0;0;0;3;1;2;1;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;den Uil, J.;11;1;0;0;2;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0
;;17;Roos, J.;10;2;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van Lien, J.J.;13;2;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;3;0
;;19;Kuipers, B.;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;de Roos, W.A.;11;1;0;0;0;0;1;0;0;3;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0
;;21;Lieverse-Bom, E.;17;1;0;0;0;0;0;0;0;0;1;2;3;1;2;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;1;0;0;0;0;1;0;0
;;22;Stolk, D.;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;23;Voshol, J.;8;0;0;0;0;0;0;2;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;24;van Schie, K.;4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;de Wit, P.;7;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
;;26;van der Beek, G.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;27;Nieuwlaat, A.J.;11;1;1;0;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0
6;D66;;;2390;101;86;30;85;52;79;146;42;120;141;97;44;43;57;172;69;108;42;22;125;99;85;14;20;43;36;26;29;32;71;2;35;40;53;27;110;7
;;1;den Heijer, C.M.;1533;66;52;14;61;35;53;93;29;78;98;56;31;35;47;83;41;65;27;16;71;64;53;13;12;23;22;18;20;22;41;2;23;29;38;24;73;5
;;2;Muis, M.;177;4;6;4;1;2;3;8;5;6;12;1;2;1;2;31;6;10;5;0;21;8;7;0;2;1;0;1;1;1;9;0;2;2;4;0;9;0
;;3;Weerheijm, B.;84;1;4;0;8;1;3;1;1;4;5;11;0;0;0;4;3;0;4;2;6;0;4;0;1;1;3;0;1;1;6;0;4;1;3;0;1;0
;;4;den Dunnen-Heijblom, E.;183;7;11;5;2;0;2;10;0;8;7;9;6;1;3;24;7;15;1;2;6;6;12;0;2;2;2;3;3;2;7;0;1;2;5;1;8;1
;;5;van der Stad, R.A.R.;38;1;0;0;0;1;0;1;4;1;0;2;1;0;1;0;0;0;0;0;10;9;2;0;0;0;0;0;1;0;0;0;0;0;2;1;1;0
;;6;Jonker, E.J.;47;6;4;1;3;4;8;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;5;1;1;1;0;0;3;4;0;1;2;0
;;7;Smolders, A.A.J.;16;0;0;0;0;0;1;6;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0
;;8;Coenraad, N.M.L.;82;3;3;0;2;0;1;2;2;6;4;3;1;2;0;12;4;4;0;2;4;3;0;1;2;5;1;2;1;3;2;0;0;0;1;0;5;1
;;9;van Berkel, A.J.;11;0;0;0;0;0;0;2;0;1;1;0;0;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;10;Vermeulen, A.M.;7;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Bakker, A.W.;9;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
;;12;Dubbeling, E.;20;0;0;0;0;1;0;3;0;3;0;3;0;0;0;1;0;0;1;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0
;;13;Stallenberg, A.U.;4;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Harakat, H.;86;9;3;3;5;3;6;7;0;3;6;4;0;2;2;5;7;2;3;0;4;1;1;0;0;3;2;0;0;0;1;0;1;1;0;0;2;0
;;15;Boogerd, J.L.M.;9;0;0;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
;;16;van Amersfoorth, E.M.M.;10;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0
;;17;van Santvoord, C.M.A.;12;0;0;0;0;0;0;2;0;3;0;0;0;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;18;Snijders, R.;10;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;van 't Verlaat, P.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Wilde, M.E.A.;15;1;0;1;0;1;0;2;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van Kleef, S.;16;0;0;0;1;0;0;4;0;1;0;3;0;0;0;2;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
;;22;Dane, A.;8;1;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Heuvelink, J.;11;0;2;1;0;0;2;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
7;GROENLINKS;;;1406;86;49;25;28;44;42;67;28;52;100;62;52;49;38;54;35;55;26;23;88;74;33;15;15;13;15;9;22;22;27;0;30;25;42;23;35;3
;;1;Ruijtenberg, M.E.;475;36;17;8;10;13;14;21;15;23;33;17;6;9;6;24;17;21;6;9;31;28;12;1;5;4;5;5;5;5;13;0;8;11;16;7;13;1
;;2;Duk, M.A.N.;82;1;1;0;0;3;1;5;1;0;2;0;18;10;3;0;1;3;1;3;4;3;0;2;3;0;0;2;0;3;1;0;1;0;1;6;3;0
;;3;Gabin, S.;458;22;17;11;7;20;17;28;6;15;42;31;11;9;7;15;10;16;12;2;36;22;10;3;3;4;4;2;14;1;8;0;15;8;17;2;11;0
;;4;van Splunter-Schneider, M.;185;13;7;1;6;2;6;5;2;5;11;4;9;14;14;5;1;3;2;5;11;4;4;9;2;0;5;0;2;13;2;0;2;4;2;8;1;1
;;5;van de Burgt, J.P.M.;18;0;1;1;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;1;1;2;0;0;0;0;1;0;0;0;1;0;0;1;1;0;3;0
;;6;Dijkdrenth, A.J.N.;31;2;0;2;3;0;1;0;0;0;1;1;1;1;4;3;0;1;1;3;1;0;1;0;1;0;0;0;1;0;0;0;2;0;0;0;1;0
;;7;Daniels, S.;39;5;2;1;2;1;2;2;0;1;1;1;4;5;2;2;0;1;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;1
;;8;Strooij-Sterken, H.;32;0;1;0;0;1;0;1;0;1;1;2;0;0;1;2;1;4;0;0;2;8;2;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0
;;9;Out, M.D.;35;2;1;1;0;0;0;2;0;4;8;1;0;0;0;0;2;3;3;0;1;1;2;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0
;;10;Sumter, S.C.;51;5;2;0;0;4;1;3;2;2;1;3;3;1;1;3;3;3;1;0;1;5;1;0;0;3;0;0;0;0;0;0;1;0;1;0;1;0
8;Partij van de Arbeid (P.v.d.A.);;;1286;78;38;15;37;47;41;75;34;50;61;28;59;50;33;46;18;26;14;21;68;56;35;3;15;17;26;16;22;29;35;0;46;27;26;45;42;7
;;1;Verhoef, P.;728;47;13;12;24;28;30;34;16;33;34;14;19;17;16;21;10;18;7;11;41;29;18;0;7;15;23;9;17;17;27;0;26;18;20;27;25;5
;;2;Azzouzi, H.;194;16;9;1;5;6;3;20;7;2;6;1;15;21;8;8;4;4;2;7;9;5;1;0;8;0;0;3;1;6;0;0;3;6;0;5;2;0
;;3;Xhemaili, V.;51;2;3;0;0;0;0;1;0;0;0;0;6;5;5;9;0;0;0;1;2;0;1;3;0;0;0;0;1;6;0;0;0;0;0;6;0;0
;;4;Scheringa, N.A.;32;0;1;1;1;0;0;5;3;2;1;1;0;0;0;0;0;1;0;0;0;5;1;0;0;0;0;0;1;0;3;0;0;0;2;0;3;1
;;5;Biharie, S.;114;8;7;0;2;10;4;11;3;5;8;3;10;6;2;2;0;0;4;2;3;3;4;0;0;0;0;4;0;0;1;0;7;2;1;1;1;0
;;6;Heijdemann, S.;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;7;Bovens, G.A.M.;15;0;3;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;0
;;8;Visser, E.W.;10;0;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0
;;9;van der Pluijm, J.A.;6;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;10;Kastelein, M.;23;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;8;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van den Heuvel, M.A.H.;5;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Olthof, L.G.A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
;;13;Logtenberg, M.J.;31;0;0;0;0;0;0;1;1;1;5;2;0;1;0;1;1;3;0;0;3;1;1;0;0;1;1;0;0;0;2;0;0;0;3;0;2;1
;;14;Fraterman-Schut, J.C.;11;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0
;;15;Tuinenburg, I.P.;5;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;16;van den Tillaart, H.L.W.M.;14;1;1;0;4;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0
;;17;Dirker-Bos, A.;3;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;18;Wijs, M.;5;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Wolf, J.W.J.;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Oosenbrug, R.F.A.;20;0;0;0;0;0;0;1;0;3;0;2;1;0;0;1;1;0;0;0;0;1;5;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0
