Verkiezing;;Gemeenteraad Westland 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Westland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Naaldwijk Gemeentehuis Verdilaan 1;Naaldwijk Gemeentehuis Verdilaan 2;Naaldwijk Gemeentekantoor Ln vd Glazen Stad;Naaldwijk Basisschool de Regenboog;Naaldwijk Bernadetteschool;Naaldwijk Brandweerkazerne;Naaldwijk De Oude Kerk;Naaldwijk Fusica voormalige dansschool;Naaldwijk Gymzaal de Boemerang;Naaldwijk Gymzaal Wollegras;Naaldwijk Ontmoetingskerk;Naaldwijk Partycentrum De Binnenhof;Naaldwijk Theaterloods;Naaldwijk Wijkcentrum Hooge Hasta;Honselersdijk Basisschool De Hoeksteen;Honselersdijk De Hunselaer;Honselersdijk SV Sosefhal;Honselersdijk Zalencentrum Hemelsblauw;Maasdijk Dorpskerk;Maasdijk Wijkcentrum Prinsenhof;'s-Gravenzande Bibliotheek;'s-Gravenzande ISW Gasthuislaan;'s-Gravenzande Noorderkerk;'s-Gravenzande Prins Willem-Alexanderschool;'s-Gravenzande Sportlokaal Oudeland;'s-Gravenzande voormalig Gemeentekantoor;'s-Gravenzande Westlandhal;'s-Gravenzande Wijkcentrum Larix;'s-Gravenzande Zalencentrum De Brug;'s-Gravenzande Zalencentrum De Kiem;'s-Gravenzande Zwembad Maesemunde;Heenweg CBS De Kameleon;Monster Ontmoetingscentrum de Haven;Monster de Noviteit;Monster Fata Morgana;Monster Sporthal de Wielepet;Monster Sportpark Polanen;Monster Verenigingsgebouw De Hoeksteen;Monster Het Westerhonk;Ter Heijde Dorpshuis Het Vrondel;Poeldijk Basisschool  De Nieuwe Weg;Poeldijk Basisschool Verburch-hof;Poeldijk de Veiling;Poeldijk Vrienden Partycentrum;Wateringen Hofboerderij;Wateringen Ontmoetingsplek Joop;Wateringen Ontmoetingsruimte De Vang;Wateringen Parochiezaal De Kolenkit;Wateringen Sportvereniging VELO;Wateringen St. Jozefbasisschool;Wateringen 't Knooppunt Scouting;Wateringen Wijkcentrum Terra Nova;Kwintsheul Basisschool Andreashof;Kwintsheul Dorpshuis Kastanjehof;De Lier Basisschool Prins Willem-Alexander;De Lier Bibliotheek / De Viermaster;De Lier De Achtsprong (ingang Berkenlaan);De Lier Partycentrum 't Centrum 1;De Lier Partycentrum 't Centrum 2;De Lier Scouting;De Lier Sportcentrum Vreeloo 1;De Lier Sportcentrum Vreeloo 2;De Lier Wijkcentrum 't Anker;Mobiel Bijzonder Stembureau Careyn;Mobiel Bijzonder Stembureau Pieter van Foreest;Naaldwijk Gemeentehuis Verdilaan 1 MA;Naaldwijk Gemeentehuis Verdilaan 1 DI;Honselersdijk Zalencentrum Hemelsblauw MA;Honselersdijk Zalencentrum Hemelsblauw DI;Maasdijk Dorpskerk MA;Maasdijk Dorpskerk DI;'s-Gravenzande Zalencentrum De Kiem MA;'s-Gravenzande Zalencentrum De Kiem DI;Heenweg CBS De Kameleon MA;Heenweg CBS De Kameleon DI;Monster Ontmoetingscentrum de Haven MA;Monster Ontmoetingscentrum de Haven DI;Ter Heijde Dorpshuis Het Vrondel MA;Ter Heijde Dorpshuis Het Vrondel DI;Poeldijk Vrienden Partycentrum MA;Poeldijk Vrienden Partycentrum DI;Wateringen Wijkcentrum Terra Nova MA;Wateringen Wijkcentrum Terra Nova DI;Kwintsheul Dorpshuis Kastanjehof MA;Kwintsheul Dorpshuis Kastanjehof DI;De Lier Partycentrum 't Centrum 1 MA;De Lier Partycentrum 't Centrum 1 DI
;;39;Torenstra, J.;76;11;1;3;0;0;2;5;2;1;1;3;3;2;5;2;2;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;0;1;0;0;0;0;0;0;0;1;6;0;0;3;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2
;;40;Boers, F.H.;87;0;3;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;1;6;1;4;10;2;9;3;2;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;1;2;0;0;8;13;1;2;1;0;0;0;0;0;0;0
;;41;Feunekes, H.A.;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;42;Mol, M.E.J.M.;19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;43;Zavaros, R.M.;12;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van Holsteijn, R.C.M.;19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;1;0;0;0;0
;;45;Schreuder-Fransen, C.M.J.;23;1;0;0;0;1;0;1;1;0;1;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Jacobs, J.A.;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;47;Bout, S.M.;30;2;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;4;1;0;2;2;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
;;48;van der Giessen, N.;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;49;van Rijn, N.M.F.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;2;1;0;1;0;5;1;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;50;van Heijningen, J.A.M.;21;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
3;LPF Westland;;;6590;119;101;123;172;185;141;45;12;35;202;93;139;64;64;46;69;37;187;303;180;152;63;27;85;40;63;61;43;107;120;54;74;75;34;35;89;98;58;20;38;87;109;80;92;49;70;50;103;81;57;15;109;87;177;86;94;104;69;81;76;115;105;21;0;2;66;103;31;74;59;88;46;98;6;16;20;32;4;8;36;50;37;48;13;43;53;87
;;1;van Koppen, D.;2381;52;43;65;78;99;72;22;9;13;104;39;60;34;30;22;24;14;54;87;43;57;28;9;48;8;27;19;16;45;50;16;27;29;13;14;41;48;22;11;20;25;27;12;27;14;25;15;33;23;16;1;43;22;43;34;25;24;25;28;16;36;34;7;0;0;29;41;13;25;10;14;18;36;0;4;8;16;3;6;6;10;11;15;6;10;12;21
;;2;Witkamp, J.G.M.;444;1;3;4;9;11;6;2;0;2;12;6;6;4;2;0;6;3;17;10;1;8;0;0;4;2;3;0;2;6;5;2;5;9;5;6;7;3;8;1;2;35;34;25;28;1;3;4;5;4;6;4;4;2;11;4;2;1;2;4;3;5;4;0;0;0;2;3;4;4;2;2;3;2;1;0;1;3;0;1;18;13;4;2;1;1;0;3
;;3;Voskamp, P.;345;1;0;2;4;3;1;0;1;1;3;1;1;2;2;0;1;0;3;2;2;5;0;0;2;0;0;1;2;3;2;2;4;0;1;0;2;6;1;1;0;2;1;2;2;0;2;0;1;0;1;0;3;0;2;19;31;32;12;22;21;28;22;10;0;0;0;2;1;4;0;0;0;4;0;0;2;0;0;0;1;3;0;0;1;1;24;27
;;4;de Munck- Schoordijk, G.J.M.;362;2;8;3;10;6;5;2;0;5;5;3;4;1;4;1;2;0;8;55;27;5;6;1;3;3;3;4;2;5;5;5;11;5;1;3;5;6;4;0;2;1;3;1;4;4;2;1;2;2;1;1;4;2;3;5;2;2;5;0;4;2;5;0;0;0;0;4;0;1;20;29;2;3;3;4;1;0;0;0;2;1;0;1;0;0;0;5
;;5;van der Meer, A.P.;60;2;1;1;7;1;1;0;1;0;0;4;10;0;0;0;2;0;1;2;0;1;0;0;0;0;0;0;2;0;0;0;1;2;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;2;0;0;0;0;0;3;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0
;;6;Verbeek, C.F.J.;280;3;17;3;16;10;4;1;0;4;10;5;13;4;2;1;0;2;7;11;4;12;0;1;6;4;2;5;0;4;3;1;1;4;0;2;7;3;2;0;1;1;1;5;1;1;3;1;0;2;1;0;0;1;3;1;8;10;5;3;7;7;4;0;0;0;2;6;2;0;0;2;3;10;0;1;1;3;0;0;0;4;0;1;0;0;0;5
;;7;Suijker- van Wingerden, J.G.M.;259;1;3;2;1;1;4;1;0;1;2;0;1;0;0;1;0;5;3;3;4;0;0;1;3;0;1;0;0;0;2;2;1;1;0;0;0;2;3;0;0;1;3;3;1;15;13;11;42;24;16;4;25;2;1;0;0;1;1;0;2;1;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;1;15;18;1;1;1;2
;;8;van der Stee, B.P.M.;128;1;3;2;1;4;0;1;0;0;2;0;1;0;2;2;2;0;2;1;0;4;0;0;3;0;1;0;0;0;0;0;1;0;1;1;2;0;0;2;0;0;0;0;0;3;0;9;1;1;0;0;8;13;25;1;1;1;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;1;0;2;2;0;3;1;6;4;1
;;9;van Velden, H.C.;110;6;1;5;1;1;0;0;0;0;1;1;3;1;3;2;10;5;18;0;0;0;0;0;0;0;2;1;1;1;0;0;0;2;0;1;0;0;0;0;0;0;2;2;2;0;0;0;1;0;0;0;1;0;3;0;0;1;1;0;1;1;0;0;0;1;3;0;6;11;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0
;;10;Drankier, R.;117;0;1;0;1;2;0;0;0;0;0;3;6;0;2;0;0;0;0;0;0;10;8;7;1;2;4;7;3;13;10;4;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;0;2;0;0;10;5;0;0;0;1;0;0;0;0;0;0;0;0;1;0
;;11;Dekkers, J.P.C.;91;2;0;0;0;0;0;2;0;1;1;0;3;2;1;0;1;0;2;0;1;8;1;1;0;0;0;3;1;9;6;1;2;0;0;3;2;3;1;1;2;0;1;2;1;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;1;4;0;0;0;0;1;0;0;0;0;3;8;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;12;Luisman, G.J.A.;34;3;4;0;1;0;0;5;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;2;0;0;1;0;1;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Barendse, J.C.M.;296;7;1;5;2;10;5;1;0;0;5;1;5;0;2;4;2;3;24;10;10;1;4;0;1;5;1;0;0;3;2;2;3;2;3;1;2;2;0;0;2;0;5;4;5;1;2;3;0;5;4;0;4;27;35;5;11;4;3;5;1;8;4;1;0;0;0;1;2;4;1;0;0;6;0;0;1;0;0;0;1;0;0;1;0;8;3;0
;;14;van den Berg, K.;52;1;0;7;2;1;1;1;0;0;3;0;1;3;4;0;0;0;0;3;3;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;2
;;15;van den Berg, R.;103;4;0;2;2;1;0;0;0;0;4;0;0;0;0;0;1;0;0;1;1;5;3;0;6;4;4;5;5;3;13;10;5;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;3;1;0;1;1;0;0;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;16;de Zeeuw, D.;106;3;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;35;25;3;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;2;3;1;0;0;0;1;3;0;0;0;1;4;0;0;1;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Holsteijn, T.;21;1;0;0;2;0;1;0;0;0;2;0;2;0;0;2;0;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1
;;18;Doelman, K.;98;2;0;2;3;4;3;0;0;1;1;1;3;0;0;1;1;0;2;6;7;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;2;1;1;0;0;0;1;3;1;0;0;0;9;5;1;1;1;3;2;2;1;0;0;0;2;0;0;0;2;7;0;2;0;0;0;0;0;0;0;3;0;0;0;0;1;5
;;19;van der Helm, M.C.W.;79;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;2;7;2;2;2;0;0;0;1;2;0;0;1;1;0;1;0;0;0;0;2;1;0;0;0;1;4;0;0;0;2;4;4;1;0;1;0;3;2;2;6;1;0;3;2;1;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
;;20;Mussche, L.V.;49;4;0;0;0;0;1;0;0;0;1;3;1;0;0;0;0;0;1;0;0;5;1;3;0;3;3;1;0;0;2;3;0;0;1;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Verbeek, D.J.;60;0;3;1;0;3;9;1;0;0;3;3;2;2;0;2;3;0;2;0;0;0;2;0;0;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;1;1;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;22;Zwinkels, J.J.;20;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;23;van der Burgh- Lagraauw, H.E.;54;1;2;1;1;1;3;0;1;1;1;2;4;0;1;0;0;0;2;0;3;0;0;0;0;1;1;3;0;1;1;0;1;1;0;0;1;1;0;0;1;2;1;0;0;1;0;0;2;0;0;0;0;0;0;3;1;0;0;0;1;0;1;0;0;0;1;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;24;Zwinkels, D.M.;35;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;25;van Koppen, M.J.;38;1;1;0;4;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;2;0;2;0;1;0;1;0;0;0;0;0;3;3;1;2;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0
;;26;Buying, M.L.;26;1;0;1;1;1;2;0;0;0;2;0;0;0;0;1;1;0;4;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Veen, M.C.M.;61;0;0;2;2;3;0;2;0;0;3;1;1;0;1;0;0;0;1;3;3;2;0;0;1;0;0;0;0;0;3;1;0;0;1;0;0;1;0;1;0;0;0;6;1;0;1;1;0;0;1;0;1;0;1;0;0;0;2;1;0;1;4;0;0;0;2;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1
;;28;Zwinkels, T.J.;34;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3;1;1;0;1;1;3;2;1;1;5;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;29;Witkamp, J.J.;14;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Tabben, D.H.M.M.;44;1;0;0;3;1;0;2;0;1;7;1;1;2;0;0;0;0;3;0;0;0;2;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;2;0;0;0;0;1;1;0;0;1;0;0;1;0;0;2;2;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;de Bakker, M.B.;28;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;5;3;0;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2
;;32;van Geest, P.T.;67;2;1;3;2;4;3;0;0;0;6;2;1;0;0;3;2;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;1;2;0;0;0;3;0;0;0;1;1;0;0;1;0;0;0;3;1;0;0;0;0;0;1;6;1;0;1;2;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
;;33;Kouwenhoven- van Dien, J.C.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;34;van der Ende, J.W.;19;0;0;0;0;5;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;35;Molenaar, F.V.C.;74;0;1;0;5;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;7;4;0;1;2;3;3;3;1;2;1;2;0;0;0;4;4;2;0;2;0;3;0;2;1;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;5;0;2;0;1;0;0;0;0;0;0;0;0;0;0
;;36;Molenkamp, L.P.;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;1;0;1;5;0;0;8;11;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;2;0;0;0;0;0;1;0;0;0;0
;;37;Ruigrok- Koot, M.A.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;van der Linden, F.C.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;van Adrichem- Vis, M.C.M.;20;0;0;0;0;0;1;0;0;0;3;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Verbeek, J.A.;25;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;5;9;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;41;Barendse, P.A.M.;21;2;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
;;42;Pohl, H.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;van der Meer, M.C.M.;39;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;10;2;2;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;1;0;0;0;0;0;0;0;0;1;7;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;3
;;44;Zwinkels, J.C.A.;18;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;45;Valstar, R.C.H.;57;0;0;0;2;1;3;1;0;1;2;0;0;3;4;1;1;0;0;1;1;4;1;0;1;0;0;2;4;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;0;0;3;0;0;0;4;0;2;0;0;0;0;0;0;1;0;0;0;0;3;1;0
;;46;Leerdam, M.A.J.;32;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;7;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Doelman, B.A.;17;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;48;Vis, C.A.;90;0;0;3;1;5;1;0;0;0;0;1;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;1;0;3;7;0;4;2;3;3;3;6;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;5;0;1;3;0;0
