Verkiezing;;Gemeenteraad Goeree-Overflakkee 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Goeree-Overflakkee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Oostdam;Dorpstienden;Eben Haëzer;Doopsgezinde Gemeente;De Rank;'t Haegse Huus;De Schakel;De Gooye;Ons Huis;Melishof;Het Diekhuus;Wijkcentrum;Jongeren Activiteiten Centrum (JAC);De Hoeksteen;Vita Nova;De Staver;Exoduskerk;Ons Dorpshuis;Trefpunt;'t Centrum;Bommelstee;'t Buurthuus;De Grutterswei (zaal A);De Grutterswei (zaal C);Dorpstienden (maandag);Dorpstienden (dinsdag);De Schakel (maandag);De Schakel (dinsdag);De Staver (maandag);De Staver (dinsdag);De Grutterswei (maandag);De Grutterswei (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;28;29;30;31;32;33;34;35
Postcode;;;;;3252 AV;3253 AS;3253 VJ;3253 AS;3251 AB;3251 CR;3247 AA;3247 XW;3249 AJ;3248 BE;3241 GA;3241 AA;3241 LH;3241 CR;3245 CP;3245 DL;3245 VB;3244 AL;3243 AP;3257 XM;3258 AW;3256 AH;3255 BS;3255 BS;;;;;;;;
;;25;Groen, M.;7;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;26;van Vliet, H.;16;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;9;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;27;de Leeuw, D.M.;11;1;1;0;0;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1
;;28;Bakelaar, P.J.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0
;;29;van Groningen, C.W.J.;68;0;0;0;0;0;0;10;2;1;1;5;3;4;3;4;14;6;2;0;0;1;1;0;2;0;0;0;2;2;4;0;1
;;30;Kroeze, F.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4;7;0;0;0;0;0;0;1;0
;;31;Zwackhalen, L.J.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Heintjes, E.C.M.;21;0;0;0;0;0;0;1;1;0;0;3;4;2;2;2;0;0;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0
;;33;Lagendijk, M.;12;0;0;0;0;0;0;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;0
;;34;Maliepaard, J.;96;0;0;0;0;0;1;24;24;0;0;3;2;2;5;2;1;2;7;1;0;4;0;2;0;0;0;5;10;1;0;0;0
;;35;Wendrich, D.;10;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;4;0;1;0;0;2;0;0;0;0;0;0;0;0;0
;;36;Krouwel-Plantenga, A.;42;1;2;0;0;0;0;2;0;1;28;1;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
3;CDA;;;4740;309;279;258;152;131;186;186;197;106;198;130;117;131;155;170;93;178;112;137;116;105;99;229;204;79;179;38;87;62;120;67;130
;;1;Huising, D.P.;1555;67;72;40;45;24;29;63;66;34;53;81;78;76;104;109;64;111;45;38;35;22;13;26;29;21;50;12;27;37;63;2;19
;;2;Pijl, D.;716;164;119;127;66;31;62;6;2;0;10;2;0;1;0;0;2;1;4;0;0;0;0;1;0;37;74;0;5;2;0;0;0
;;3;Jochems, A.J.;773;3;3;1;0;6;3;7;13;4;5;17;6;9;15;10;1;9;18;2;14;52;70;169;156;0;0;0;10;6;6;60;98
;;4;van Putten, H.;354;13;7;9;5;5;5;62;63;16;59;5;5;5;5;3;5;5;10;3;1;3;0;0;0;1;2;12;26;1;15;2;1
;;5;Both-Verhoeven, T.C.;212;15;10;8;6;9;6;11;16;7;32;7;4;5;6;8;1;11;3;6;3;0;2;2;1;4;5;5;10;2;6;0;1
;;6;van Os, E.;99;2;0;0;0;1;10;1;2;1;5;1;6;10;8;19;4;8;5;0;3;1;0;1;0;0;1;0;0;1;9;0;0
;;7;Keijzer-Westhoeve, E.B.;202;12;10;24;4;42;51;8;4;1;2;3;2;0;4;5;0;5;1;0;0;0;3;1;0;6;12;0;1;0;1;0;0
;;8;Boeter, J.P.;127;6;25;22;17;7;7;0;2;6;3;0;0;4;0;2;2;1;0;0;0;0;0;1;0;3;17;0;0;0;2;0;0
;;9;van Rossum, N.A.;107;0;2;2;0;0;0;2;3;1;2;1;3;1;1;1;1;2;2;12;52;7;2;2;1;1;2;0;3;1;0;0;0
