Verkiezing;;Gemeenteraad Voorschoten 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorschoten;;;;;;;;;;;;;;;;;;;;;
Nummer;;0626;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Kerk Het Kruispunt (A);Stembureau Kerk Het Kruispunt (B);Stembureau Voorhuis Dorpskerk;Stembureau Alettahof (A);Stembureau Alettahof (B);Stembureau Intratuin;Stembureau De Boschbloem (A);Stembureau De Boschbloem (B);Stembureau Bondsgebouw (A);Stembureau Bondsgebouw (B);Stembureau Sporthal De Vliethorst;Stembureau Hotel De Gouden Leeuw;Stembureau BplusC (A);Stembureau BplusC (B);Stembureau Cultureel Centrum;Stembureau De Boschbloem (ma);Stembureau Bondsgebouw (ma);Stembureau De Boschbloem (di);Stembureau Bondsgebouw (di)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;2251 BH;2251 BH;2251 BS;2253 RP;2253 RP;2253 JP;2252 EA;2252 EA;2251 LG;2251 LG;2251 CT;2252 AG;2253 CE;2253 CE;2252 HH;2252 EA;2251 LG;2252 EA;2251 LG
;;32;Kranendonk-Nagtegaal, C.;8;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;2;1
;;33;ten Napel-Simpson, R.J.;6;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
;;34;de Wit, A.J.;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;35;Schoone, J.A.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;36;van Eyk, H.S.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;van den Hout, H.A.;5;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1
;;38;van Dam, W.A.J.A.;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;39;Draijer, A.A.;7;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;3;0;0;0
;;40;Bukman, P.;28;0;1;2;0;0;0;3;2;2;1;6;2;1;0;3;0;1;4;0
4;D66;;;1787;81;65;91;78;90;124;94;107;91;97;82;102;59;72;171;67;101;104;111
;;1;Andringa, A.E.T.;510;23;18;26;24;28;27;28;35;20;30;26;32;18;20;44;24;38;36;13
;;2;Schroot, J.C.;481;23;21;31;20;28;36;25;31;25;17;25;21;11;23;41;15;29;20;39
;;3;Mieremet, E.;436;17;9;16;23;21;25;19;21;34;31;15;25;15;16;51;16;17;27;38
;;4;van der Hoop, K.M.;55;3;1;0;2;6;7;5;5;1;2;5;1;3;3;4;0;1;4;2
;;5;Lippinkhof, P.P.;41;5;1;1;0;1;3;1;3;2;0;2;5;3;1;9;1;0;3;0
;;6;Wijnen-Lunenburg, P.;95;3;10;7;3;3;4;6;4;3;0;4;10;2;3;12;4;9;5;3
;;7;de Bondt, R.;34;1;2;2;0;0;0;3;0;1;9;3;2;3;0;1;0;2;1;4
;;8;Hilbrandie, M.V.;7;0;0;0;0;1;0;0;0;0;2;0;0;1;0;1;2;0;0;0
;;9;de Jong, A.;40;5;0;2;3;0;5;2;4;2;2;2;2;1;1;3;1;1;2;2
;;10;de Vos, P.;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van der Moore, A.S.;15;0;1;1;0;0;4;0;2;1;0;0;0;1;1;1;0;0;1;2
;;12;Riphagen, R.;5;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0
;;13;Blommers, F.F.;8;0;0;0;0;0;0;2;0;0;0;0;3;0;0;1;0;0;1;1
;;14;Boom, S.J.;31;1;1;1;1;1;6;2;1;2;2;0;0;0;2;1;0;4;1;5
;;15;Cramwinckel, M.N.;27;0;0;4;1;1;7;0;1;0;2;0;0;0;2;2;3;0;2;2
5;SP (Socialistische Partij);;;749;53;45;38;38;61;56;27;25;41;23;52;19;24;22;51;44;39;32;59
;;1;Maassen, E.M.L.H.;435;37;26;28;15;35;35;16;13;21;10;35;11;15;12;28;24;25;14;35
;;2;van Riet, R.R.;32;0;4;4;2;4;0;1;0;2;0;3;0;0;0;1;3;2;1;5
;;3;van der Starre, E.;158;7;6;2;13;14;11;5;7;7;10;9;4;9;6;9;11;8;9;11
;;4;Tak, E.C.P.M.;6;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0
;;5;Langeveld, M.;62;6;5;1;5;5;4;3;2;5;0;0;2;0;1;10;1;3;4;5
;;6;Guldemond, B.;9;0;0;2;1;0;0;2;0;0;0;1;0;0;1;0;0;1;1;0
;;7;Smit, W.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
;;8;van den Berg, W.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;9;van Roon, A.;7;1;0;0;0;0;1;0;0;0;2;0;0;0;1;0;2;0;0;0
;;10;Thomas, J.A.;14;0;1;0;0;2;2;0;1;4;1;1;0;0;0;1;0;0;1;0
;;11;Maassen, L.A.;22;2;2;0;2;1;2;0;1;2;0;3;2;0;0;1;3;0;0;1
