Verkiezing;;Gemeenteraad Nieuwkoop 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nieuwkoop;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0569;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Kaleidoskoop De Verbinding;Stembureau De Rank;Stembureau Ipse de Bruggen;Stembureau Kaleidoskoop theaterzaal;Stembureau De Rietzanger;Stembureau De Schutse;Stembureau IKC de Vaart;Stembureau Parola;Stembureau Koeleman Potplanten B.V.;Stembureau Gemeentekantoor Ter Aar;Stembureau De Ringkant;Stembureau Gemeentehuis Nieuwveen;Stembureau Party-Centrum 't Trefpunt;Stembureau Mobiel stembureau;Stembureau Kaleidoskoop Nieuwkoop;Stembureau Kaleidoskoop Nieuwkoop;Stembureau Gemeentekantoor Ter Aar;Stembureau Gemeentekantoor Ter Aar;Stembureau Gemeentehuis Nieuwveen;Stembureau Gemeentehuis Nieuwveen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;13;14;16;21;114;115;214;215;314;315
Postcode;;;;;2421 EX;2421 BE;2441 CP;2421 EX;2431 AD;3652 LH;2461 BT;2461 CE;2461 TZ;2461 CC;2441 AD;2441 LE;2435 XP;;2421 EX;2421 EX;2461 CC;2421 CC;2441 LE;2441 LE
;;40;Verburg, C.W.;6;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1
;;41;van Aalst, A.W.;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;42;Voogt, G.J.G.;9;0;2;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
;;43;Hijdra, A.J.J.;8;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0
;;44;van Dobben, A.Q.;7;1;2;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;45;Hardenberg, J.;10;0;0;0;1;0;0;2;2;0;2;1;0;0;0;0;0;0;0;1;1
4;Natuurlijk Nieuwkoop;;;2287;182;110;28;139;135;71;124;221;57;82;93;141;159;102;163;132;67;80;87;114
;;1;Schrama-van Kessel, A.J.;1336;84;55;16;72;82;42;73;138;31;42;74;106;91;65;84;60;29;37;66;89
;;2;Carlier, R.M.;108;14;9;1;13;4;4;2;1;1;1;1;1;12;3;20;17;1;1;1;1
;;3;Oostwouder, S.J.;153;12;5;0;8;3;0;18;12;3;19;2;3;2;1;15;14;16;14;3;3
;;4;Baartman, L.;130;9;10;4;4;5;7;1;8;1;5;2;10;25;8;8;7;4;2;4;6
;;5;van Engeldorp Gastelaars, A.M.G.;86;5;12;0;2;1;0;10;12;14;4;2;2;0;1;1;3;5;6;3;3
;;6;Aldershoff, F.A.W.;45;9;0;0;7;4;0;0;4;1;0;2;2;0;1;4;9;0;0;0;2
;;7;Hagenaars, C.Q.M.;73;1;1;0;0;0;0;7;29;3;1;2;1;0;4;1;0;9;11;2;1
;;8;van Boxtel, J.M.A.;79;23;8;0;9;1;0;0;1;0;2;0;1;2;2;15;13;0;0;2;0
;;9;de Rijk, P.J.;6;1;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0
;;10;de Jeu, E.G.;14;0;1;0;2;0;1;3;3;0;0;0;0;0;1;0;0;1;2;0;0
;;11;Ruigrok, R.C.J.;8;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;12;Leliveld, T.;20;1;3;0;2;1;0;0;1;0;1;1;0;1;0;0;0;0;0;3;6
