Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadskantoor;Stadhuis Burgerzaal;Stadsgehoorzaal;Kerkgebouw De Fontein;Rehobothkerk;CBS Het Visnet;Wooncentrum De Bolder;Johannes Calvijnschool;OBS De Wereldwijzer;Wijkcentrum West;Voormalig schoolgebouw;Pannekoekenhuis 't Hof;GBS Het Christal;Kerkgenootschap Leger des Heils;Bethelkerk;Begraafplaats Emaus;Hotel Restaurant Campanile;Vaartland;Het Zonnehuis;'t Palet Holy;Kerk van de Nazarener;Drieën-Huysen Zuid;Gymzaal Lissabonweg;De Wouthof;Begraafplaats Holy;KBS De Hoeksteen;Gymzaal Kruidenpad;Stadswerf Stemstraat (vanuit de auto stemmen);Stadskantoor 14 maart 2022;Stadsgehoorzaal 14 maart 2022;Voormalig Schoolgebouw 14 maart 2022;Kerkgenootschap Leger des Heils 14 maart 2022;Kerk van de Nazarener 14 maart 2022;Gymzaal Kruidenpad 14 maart 2022;Stadskantoor 15 maart 2022;Stadsgehoorzaal 15 maart 2022;Voormalig Schoolgebouw 15 maart 2022;Kerkgenootschap Leger des Heils 15 maart 2022;Kerk van de Nazarener 15 maart 2022;Gymzaal Kruidenpad 15 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;23;25;26;27;28;29;30;1401;1403;1411;1414;1422;1429;1501;1503;1511;1514;1522;1529
Postcode;;;;;3131 VX;3131 CR;3134 BB;3131 HA;3131 LL;3131 PS;3133 BA;3132 JB;3132 EL;3132 AZ;3132 XT;3134 VH;3135 PS;3135 VR;3135 KZ;3135 JC;3135 GP;3136 EA;3136 EA;3136 JB;3136 GZ;3136 CZ;3137 LR;3137 RL;3137 CR;3137 CR;3137 WD;3135 DA;3131 VX;3134 BB;3132 XT;3135 VR;3136 GZ;3137 WD;3131 VX;3134 BB;3132 XT;3135 VR;3136 GZ;3137 WD
;;21;Rawie, N.I.B.;8;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Peters, J.L.;12;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;1
3;VVD;;;2810;88;35;100;61;113;23;33;37;45;37;41;101;42;81;247;107;43;112;48;89;43;120;74;52;176;149;129;15;36;37;22;62;35;51;53;75;18;65;42;73
;;1;Bikkers, B.T.;1663;51;21;53;37;75;15;23;26;32;25;27;47;28;46;144;59;29;62;32;55;22;72;51;35;87;91;61;9;20;22;16;38;21;33;26;47;11;43;27;44
;;2;van de Zande, R.;327;13;4;6;4;10;1;2;6;2;1;4;14;4;8;24;10;2;9;4;9;4;22;6;5;59;12;20;0;5;5;0;6;6;8;13;5;1;2;2;9
;;3;Claessen, L.W.M.;409;10;6;28;9;9;6;3;3;6;5;6;17;7;16;42;20;6;12;6;10;9;13;6;10;11;22;22;4;7;2;5;15;6;5;5;10;1;9;9;11
;;4;den Ouden, J.K.;117;6;2;6;2;2;0;1;0;2;0;1;0;3;6;14;8;2;11;0;4;3;5;1;1;6;3;6;0;0;4;0;2;1;0;2;6;0;3;0;4
;;5;de Ron, H.E.;53;0;0;0;1;1;0;0;0;0;0;0;6;0;0;6;0;2;12;2;1;0;0;3;0;0;3;6;1;0;0;0;1;0;1;2;1;0;1;2;1
;;6;Hess, A.M.;60;3;0;1;0;11;0;0;1;0;1;0;0;0;2;3;1;1;2;0;3;0;1;1;0;4;4;3;0;2;1;1;0;1;2;2;5;1;1;2;0
;;7;Vogel, T.A.;50;2;0;0;2;0;0;0;0;0;2;1;2;0;0;7;3;0;3;2;5;0;5;4;1;2;4;0;0;0;0;0;0;0;0;0;1;1;1;0;2
;;8;Kiran, N.;13;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van Aalst, D.;15;1;1;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;1;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0
;;10;Rijke, K.J.;28;0;1;0;0;2;0;0;0;1;0;0;2;0;2;1;2;1;0;0;0;3;1;1;0;2;2;2;0;1;1;0;0;0;0;1;0;1;1;0;0
;;11;Los, M.;9;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;12;van der Veen, R.;9;2;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;13;Rijke, K.P.;57;0;0;6;4;3;0;1;0;1;0;2;4;0;1;5;2;0;0;0;1;0;0;1;0;2;8;6;1;1;0;0;0;0;1;0;0;2;3;0;2
4;GROENLINKS;;;2501;101;62;232;50;87;82;17;20;48;63;46;86;45;114;223;86;44;44;31;77;42;36;45;70;62;109;70;13;42;48;14;38;23;35;63;69;27;64;47;26
;;1;Voorburg, N.;720;32;20;70;19;25;20;6;7;14;18;13;30;10;23;58;25;12;20;10;18;8;17;12;20;22;38;18;4;15;9;8;7;6;12;14;17;8;8;17;10
;;2;van Wieringen, E.;633;20;12;63;14;18;7;3;5;14;14;6;22;12;11;83;18;10;13;8;19;15;12;14;21;11;34;27;2;15;13;0;14;7;10;11;23;6;11;7;8
;;3;Gülseren, Ü.;326;8;0;22;1;28;18;0;2;13;16;10;0;5;52;7;5;9;0;1;14;6;0;4;9;4;4;5;0;2;5;0;7;2;2;7;13;6;30;9;0
;;4;Muller, L.A.S.;44;2;2;4;0;1;9;0;0;0;0;0;3;3;2;1;0;1;0;0;1;2;0;2;1;2;0;2;0;2;0;0;0;0;0;3;1;0;0;0;0
;;5;Bouchrit, Y.;275;24;9;35;11;4;9;2;1;3;5;7;8;5;12;22;10;8;3;4;19;3;2;6;4;11;12;4;2;2;6;0;3;2;2;0;2;3;5;3;2
;;6;van Kalken, L.;181;3;10;19;2;2;5;2;1;1;2;3;7;5;7;16;11;2;7;1;2;2;1;1;3;2;3;4;0;2;4;3;3;1;5;20;6;2;6;4;1
;;7;Muse, S.;53;2;4;5;0;2;3;0;0;2;1;2;1;1;1;6;3;0;0;3;1;0;0;2;1;1;3;2;0;0;3;1;0;0;0;1;0;1;0;0;1
;;8;van Herwaarden, R.;30;0;0;2;0;0;3;0;0;0;0;0;4;0;0;6;0;0;0;2;0;0;0;1;3;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1
;;9;Kortleven, C.;24;2;0;4;0;0;1;1;0;0;2;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;1;1;0;0;0;0;2;0
;;10;van Vugt, P.J.G.;17;0;0;0;0;0;1;2;1;0;1;0;1;0;0;3;0;1;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1
;;11;Laan, C.A.;46;2;0;2;0;3;2;0;0;1;0;3;4;2;1;6;0;0;0;0;3;0;0;1;0;2;1;1;1;1;0;0;3;0;0;2;3;0;1;0;1
;;12;Hoogewerff, A.;10;0;1;0;1;0;0;1;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Boender, E.L.;10;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;14;Redert, A.;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0
;;15;van Abel, J.G.H.;13;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;1;1;0;0;1;0
;;16;Boutkan, K.A.;6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;17;den Hartogh, W.J.;12;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Koning, H.M.U.;6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
;;19;Fernandez Graña, D.M.;14;1;3;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;20;Tsang, J.;8;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0
;;21;Verheijen, F.M.;5;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;22;Nolet, F.J.;11;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;2;0
;;23;Eilerts, R.E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Broekmans, M.J.;9;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Ooms, I.L.;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Nieuwstad, M.G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0
;;27;Clement, C.;7;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
