Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Drie Lelies;Sporthal Kees Verkerk;'t Huys te Hoecke;'t Weegje;Evangelische Kerk Ezra;V.V. 's-Gravendeel;Ons Gebouw;De Erve;De Tienvoet;Gymzaal Westmaas;Dorpshart;TC De Binnenmaas;Ontmoetingscentrum;Sportzaal Duyvesteyn;Gemeentehuis Maasdam;Het Numans-Dorps-huis;De Hoeksteen Numansdorp;De Ark Numansdorp;De Voorhof;Tuindorp;NLS gebouw;De Bongerd;MFA De Wurf;De Ark Zuid-Beijerland;De Eendrachtshoeve;Rehoboth;De Swaensvoet;De Hoeksteen Nieuw-Beijerland;Gemeentehuis Oud-Beijerland;Maranatha;Rembrandt;Korbatjo;De Boogerd;De Gravin;CBS De Hoeksteen;De Open Waard;Wijkgebouw;Paviljoen De Oude Tol;De Zuidwester;Bethelkerk;Salvatori;Verenigingsgebouw Mookhoek;Verenigingsgebouw Strijensas;Dorpshuis Streona;De Hoge Weide;14-3 Ons Gebouw;14-3 Dorpshart;14-3 Gemeentehuis Maasdam;14-3 De Voorhof;14-3 MFA De Wurf;14-3 Gemeentehuis Oud-Beijerland;14-3 De Gravin;14-3 Dorpshuis Streona;15-3 Ons Gebouw;15-3 Dorpshart;15-3 Gemeentehuis Maasdam;15-3 De Voorhof;15-3 MFA De Wurf;15-3 Gemeentehuis Oud-Beijerland;15-3 De Gravin;15-3 Dorpshuis Streona;14-3 NLS gebouw;14-3 De Eendrachtshoeve;14-3 De Swaensvoet;15-3 NLS gebouw;15-3 De Eendrachtshoeve;15-3 De Swaensvoet;14-3 Verkiezingsbus Oost;14-3 Verkiezingsbus West;15-3 Verkiezingsbus Oost;15-3 Verkiezingsbus West;Verkiezingsbus Oost;Verkiezingsbus West;Drive-through Noord;Drive-through Zuid
Gebiednummer;;;;;1;2;3;4;5;7;9;11;12;13;14;15;16;17;18;22;23;24;25;26;27;28;31;32;33;34;35;36;41;42;43;45;46;47;48;49;50;51;52;53;61;62;63;65;67;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;98;99;100;101;102;103;104;105;106;107;108;109;110;111
Postcode;;;;;3297 AM;3297 TB;3297 SE;3295 CT;3295 AD;3295 KK;3295 BN;3274 AK;3274 BN;3273 AL;3271 SH;3271 AH;3299 AP;3299 BS;3299 XG;3281 LK;3281 JH;3281 AW;3281 XP;3281 CV;3286 VT;3286 VR;3265 BT;3284 KJ;3284 XR;3267 AK;3264 AL;3264 AJ;3262 GM;3262 PG;3262 HW;3263 RK;3261 BG;3261 AZ;3263 BP;3262 DA;3261 EJ;3263 RA;3261 SJ;3261 WB;3291 AT;3293 AJ;3292 AB;3291 TP;3291 DA;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3286 VT;3284 XR;3264 AL;3286 VT;3284 XR;3264 AL;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3274 KE;3281 KV
;;5;Baars, T.;128;0;1;5;25;14;10;27;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;0;2;0;9;0;2;0;0;0;0;0;11;0;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
;;6;van Pelt, C.H.;38;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;4;0;2;3;2;6;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;7;de Moed, M.J.;22;4;2;1;0;2;1;2;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Asperen, G.;75;3;1;1;1;0;0;0;4;2;6;8;7;0;1;0;0;0;0;0;2;3;0;0;0;0;2;0;0;1;5;3;1;1;0;0;6;4;0;0;1;1;0;0;1;0;0;2;0;0;0;1;1;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;9;Groenendijk, D.C.;30;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0
;;10;Russcher-Wolfert, J.;16;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;2;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Roodenburg-Fortuin, A.T.;34;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;8;0;0;5;7;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Luijendijk, A.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;3;0;1;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;13;Baksteen, D.;53;2;3;0;0;0;0;0;1;0;1;0;0;0;2;1;0;0;0;1;0;0;0;1;0;1;1;4;7;0;0;3;2;2;0;3;1;0;1;1;6;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
;;14;Spaans, E.J.M.;20;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;7;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
;;15;Tigelaar, H.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Steenhoek, R.A.;11;0;0;2;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Kanis, A.P.;17;2;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;de Jong, M.;25;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0;2;0;1;0;4;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;19;Schenkel-Schenkel, I.R.;7;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;20;Vermeulen, J.;16;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Hoek, G.M.;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Biesheuvel-Kruijthoff, M.A.;33;0;3;0;0;4;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;2;2;0;0;5;4;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Barth, W.J.;17;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;1;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Bosschaart, L.W.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Dijksman-Snel, K.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Lukas, J.W.C.;7;0;0;0;0;0;0;1;0;1;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Star, B.G.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Stooker-Pieffers, W.K.;13;0;1;2;1;2;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van der Vorm, P.J.;16;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
8;Partij van de Arbeid (P.v.d.A.);;;2402;132;86;59;87;40;38;54;31;33;48;42;26;47;22;22;56;40;35;47;41;34;16;25;24;38;13;13;20;44;38;49;15;37;25;21;72;53;28;35;50;35;15;17;49;29;44;10;17;24;15;30;29;33;50;22;34;30;25;58;21;32;20;6;13;17;17;14;11;6;8;8;9;4;9;5
;;1;de Koning, M.A.;1183;34;19;15;23;13;9;25;9;13;25;14;8;21;3;7;22;16;23;18;23;18;10;15;12;26;6;8;11;29;33;37;9;32;21;15;57;34;20;19;34;20;6;10;25;13;9;6;3;9;12;21;17;21;15;10;10;16;21;36;13;18;12;6;8;7;12;10;1;5;4;6;6;2;4;3
;;2;Westdijk, P.;358;55;38;22;15;8;11;3;6;3;2;1;2;9;7;6;9;6;4;5;8;8;2;3;3;2;5;1;1;0;0;1;0;0;0;3;2;0;1;1;0;7;4;2;8;7;10;1;5;3;3;3;1;3;10;1;11;2;0;0;0;5;4;0;0;2;0;1;5;0;1;1;3;1;1;0
;;3;Smit, R.;47;5;7;5;2;0;0;0;0;0;1;2;0;0;0;0;0;1;0;2;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;1;0;0;4;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;4;Jagroep, A.J.;83;1;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;2;0;0;0;0;0;1;0;3;0;0;0;6;2;5;5;1;2;0;5;3;2;8;10;0;1;0;2;0;2;0;1;0;0;0;0;0;0;0;2;3;0;8;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;5;Westdijk - van Dam, P.M.;286;27;19;7;8;1;4;1;1;3;3;10;7;6;5;6;6;5;4;5;2;3;2;4;2;5;2;1;6;6;1;1;0;2;1;2;3;11;3;6;3;4;4;3;7;4;3;0;5;3;0;3;4;7;2;3;5;2;1;5;4;6;2;0;3;2;3;3;2;1;0;0;0;0;0;1
;;6;Robbemond, J.M.;106;6;0;1;20;8;7;14;0;0;0;0;0;0;1;0;5;1;0;0;0;0;0;1;3;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;13;0;1;0;0;0;1;0;12;1;0;0;0;4;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0
;;7;Honders, L.P.T.;39;0;0;0;2;0;0;0;2;7;0;1;0;0;0;0;1;5;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;1;0;0;0;1;1;2;0;1;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
;;8;Vermeulen, C.G.W.M.H.;61;0;1;2;0;1;0;0;2;0;15;4;5;1;0;2;1;0;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;3;0;0;2;0;0;0;1;2;0;2;0;0;0;1;1;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;1
;;9;Rooimans, G.J.;44;1;2;6;0;0;0;0;1;1;2;0;1;9;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;10;Spruit-Boer, S.C.;42;3;0;1;0;0;0;0;8;6;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;2;0;0;0;2;0;0;0;0;2;3;0;0;1;0;0;0;0;0;2;0
;;11;Hagoort, B.;62;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;4;4;17;7;4;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Meijer-Betist, M.J.;33;0;0;0;9;4;0;4;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4;0;1;0;0;0;0;0;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Blanker, M.J.;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Metselaar, I.D.;39;0;0;0;7;4;6;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;15;Lammens, E.J.;16;0;0;0;0;1;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Constructief Hoeksche Waard;;;2235;97;61;37;46;18;27;35;23;68;44;34;25;50;14;33;81;75;42;52;72;137;52;34;29;25;14;28;13;28;14;34;20;28;16;27;39;76;35;21;55;20;15;24;48;19;6;4;21;29;5;15;14;2;20;18;31;54;13;19;18;18;33;8;5;54;12;6;3;3;7;2;7;5;9;9
;;1;de Jong, W.E.R.;979;23;9;12;10;8;9;9;12;49;25;18;12;24;5;8;25;27;12;18;20;68;35;23;24;12;7;14;11;9;6;13;9;18;5;10;15;40;17;10;21;7;10;19;33;10;5;4;9;9;0;8;3;0;7;6;6;24;9;9;7;5;22;5;2;29;7;4;0;3;2;1;3;4;2;3
;;2;Verburgh-van Raavens, M.P.;350;50;37;17;9;3;5;2;5;11;7;4;1;17;2;19;4;5;5;3;0;3;0;4;1;2;1;1;1;2;1;4;0;1;0;3;4;9;2;3;4;6;0;2;10;4;1;0;10;4;1;5;2;1;1;4;13;1;4;3;2;4;1;0;1;1;2;1;2;0;5;1;2;0;2;2
;;3;Magno Batáglia-Guttenberg, O.M.;166;0;0;4;2;0;0;0;0;0;1;0;4;0;1;0;2;2;1;1;4;4;1;2;0;6;0;3;0;8;3;9;4;2;4;9;16;14;12;5;22;0;3;0;1;1;0;0;0;0;2;0;3;0;0;0;0;0;0;4;1;0;2;0;0;0;1;0;0;0;0;0;1;0;1;0
;;4;de Baat, F.A.;173;0;2;0;1;0;0;5;2;2;1;1;0;1;1;0;19;17;14;16;28;2;2;0;3;1;2;0;0;0;0;3;1;0;1;1;0;1;0;0;2;1;0;2;1;0;0;0;0;13;2;0;1;0;0;2;0;9;0;0;1;5;1;2;0;0;0;0;0;0;0;0;1;0;0;3
;;5;Boelhouwers, B.;52;0;2;0;2;0;0;0;0;0;2;0;0;0;0;1;5;5;0;2;5;5;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;6;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0
;;6;van der Wulp, H.;51;0;0;0;0;0;1;0;1;2;0;0;0;1;1;0;0;0;0;1;0;0;1;2;0;0;3;4;0;2;1;1;1;5;4;2;2;3;1;2;4;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;7;Saarloos-van der Linden, D.J.;120;1;2;0;1;1;3;4;0;0;1;1;4;0;0;2;0;2;1;0;0;40;6;1;0;2;0;3;0;2;3;0;1;1;1;0;0;0;1;0;1;0;0;0;0;2;0;0;2;0;0;1;0;0;2;0;5;2;0;1;3;0;4;0;2;10;0;0;0;0;0;0;0;0;0;1
;;8;Teunisse, R.P.;38;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;16;4;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Borkent, M.;57;3;2;0;20;6;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Lindenberg, C.;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;2;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Maris, M.A.A.;40;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;1;0;0;1;0;0;1;0;4;0;3;1;1;1;0;2;7;2;0;0;3;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Klerks, A.A.J.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kranendonk, J.A.;51;19;4;1;1;0;0;3;1;0;0;0;0;3;3;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;5;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;14;Vos, J.;23;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;2;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;15;de Jongh, A.;33;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;3;2;0;0;7;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
;;16;Vrijhof, D.;29;0;2;0;0;0;0;0;0;2;2;9;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
;;17;Schop-Korbijn, C.I.;44;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;2;0;0;1;2;6;2;1;0;0;0;1;1;0;0;1;1;0;0;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;2;0;0;1;1;1;0;0;6;2;0;0;0;0;0;0;0;0;0
10;BurgerBelangen Hoeksche Waard;;;1347;35;13;21;35;8;12;15;43;47;121;58;24;30;11;26;19;27;9;14;17;20;13;26;23;27;21;40;22;15;16;16;1;22;9;13;15;13;16;21;12;52;10;8;54;25;4;24;9;5;4;7;5;24;11;28;9;15;9;10;4;25;4;5;3;4;7;7;0;5;3;1;4;5;6;5
;;1;van Hulst-Sundermeijer, A.M.E.;629;19;8;9;22;6;3;8;11;22;19;11;6;17;6;7;8;12;6;5;8;10;9;21;20;22;16;36;21;9;6;13;1;11;7;10;14;9;11;9;11;7;7;2;14;6;3;4;4;2;3;5;3;5;5;6;3;11;9;4;4;5;2;2;3;3;2;7;0;5;1;0;3;3;5;2
;;2;Rijsdijk-Mudde, P.;175;7;1;5;9;2;6;2;1;5;1;0;2;4;2;8;0;3;1;0;0;3;2;1;0;1;2;1;0;1;1;0;0;0;0;0;0;1;0;0;0;24;0;4;24;15;0;0;0;0;0;0;0;15;2;0;1;0;0;0;0;14;1;0;0;0;1;0;0;0;1;1;0;0;0;0
;;3;Louwerens-Huys, M.S.N.;162;4;1;1;0;0;1;3;3;18;4;38;14;2;0;3;1;0;0;1;0;0;0;2;1;0;1;2;0;3;1;0;0;1;0;0;0;0;1;4;0;1;0;0;0;3;0;15;3;0;0;2;0;0;3;16;2;0;0;1;0;1;0;1;0;1;1;0;0;0;1;0;0;1;0;0
;;4;Nieland, J.A.M.;54;2;0;1;0;0;1;0;26;2;1;1;0;2;1;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0
;;5;Hoek, M.H.;47;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;0;1;1;6;1;0;7;2;3;1;2;4;5;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Smakman, D.;74;1;3;2;1;0;1;0;0;0;1;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;16;1;2;15;1;1;2;2;1;0;0;0;4;0;0;1;0;0;2;0;5;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;7;van der Giesen, J.P.;156;2;0;3;1;0;0;2;1;0;93;7;2;0;2;4;9;3;0;0;3;2;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;3;1;0;0;0;0;3;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0
;;8;Heuvelman, D.;50;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;9;2;7;6;3;0;2;0;2;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
11;VoorWaards Hoeksche Waard;;;3685;48;59;32;43;22;34;32;96;96;59;76;43;45;28;37;60;45;23;81;41;46;16;51;88;69;101;43;24;102;132;93;48;69;57;116;166;176;91;80;145;72;31;21;110;91;7;15;14;21;12;55;20;29;9;22;12;37;18;90;44;40;9;20;9;19;32;13;3;24;1;16;29;6;7;14
;;1;Rood, E.C.;2035;32;36;23;29;14;26;30;44;44;37;38;28;25;13;23;22;21;7;37;22;35;9;37;46;38;42;26;17;57;64;51;30;43;29;64;96;97;48;50;83;34;10;9;53;43;7;7;10;10;9;31;11;15;7;12;8;12;14;52;20;16;5;10;5;12;24;6;3;16;1;10;19;4;6;11
;;2;Pahladsingh, M.R.R.S.;118;0;0;0;4;1;1;1;0;3;1;0;1;0;0;0;1;0;1;3;1;1;0;0;0;3;2;4;1;3;5;2;0;1;6;4;6;7;1;2;4;2;1;5;3;4;0;0;0;2;1;3;2;1;0;2;0;7;0;5;3;1;0;1;2;1;0;2;0;0;0;0;0;0;0;0
;;3;Koole, A.;188;0;1;0;2;0;2;0;3;2;4;5;2;4;1;1;16;13;11;25;13;1;2;2;6;4;1;1;0;3;0;3;0;2;2;5;1;0;2;0;6;1;1;0;2;0;0;1;0;7;0;3;2;0;0;0;0;11;1;2;2;1;0;1;0;1;1;2;0;1;0;0;1;0;0;1
;;4;Vogel, I.R.;394;5;1;0;0;0;0;0;0;8;9;9;3;2;0;2;1;0;0;3;0;0;1;2;1;4;3;2;3;18;36;18;12;13;11;21;35;47;25;13;29;0;1;0;4;0;0;0;0;0;0;10;3;0;0;3;0;1;1;17;8;1;0;3;1;1;0;0;0;0;0;2;0;0;0;1
;;5;Claassens, R.J.;96;1;3;3;0;0;1;0;40;26;0;1;0;0;3;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;1;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
