Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sint Jorisparochie;Gymzaal P.C. Hooftstraat;Gasterij de Ontmoeting;Sporthal De Wissel;Kerk de Levensbron;Trefpunt Oost;Wilhelminakerk;WVC Slikkerveer;Muziekvereniging Harmonie Slikkerveer;Boezemkerk;WVC Bolnes;De Klinker;Kerk PG Bolnes;De Korenbloem;Opstandingskerk Rijsoord;Kerk Rijsoord;Sporthal Drievliet;Sionskerk;Clubgebouw Rowdies;Verpleeghuis Salem;'t Ronde Sant;Gymzaal naast OBS de Piramide;Christus is Koningkerk;Ichthuskerk;Goede Herderkerk;Gemeentehuis MAANDAG;Wilhelminakerk MAANDAG;Opstandingskerk Rijsoord MAANDAG;Clubgebouw Rowdies MAANDAG;Gemeentehuis DINSDAG;Wilhelminakerk DINSDAG;Opstandingskerk Rijsoord DINSDAG;Clubgebouw Rowdies DINSDAG
Gebiednummer;;;;;1;2;3;4;5;6;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;101;109;118;122;201;209;218;222
Postcode;;;;;2981 EA;2982 PE;2985 BK;2982 BD;2982 CM;2985 BV;2985 CG;2983 SH;2983 AT;2983 CL;2987 AK;2987 CR;2987 AV;2987 AK;2989 AW;2988 BB;2988 BA;2986 GK;2984 BW;2986 AE;2986 AZ;2984 GK;2981 AX;2983 HK;2986 GH;2982 BT;2981 EA;2983 SH;2988 BB;2986 AE;2981 EA;2983 SH;2988 BB;2986 AE
;;7;Kloos, M.G.J.;11;0;0;0;1;2;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
;;8;van de Wege, A.M.;4;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Klootwijk, E.;39;0;2;0;0;0;2;2;1;3;3;0;6;3;0;2;2;1;0;1;0;0;1;0;4;3;0;0;0;0;1;1;0;1;0
;;10;Broekhuizen, H.;20;1;1;0;1;0;0;2;1;0;0;1;2;0;0;0;1;0;0;0;0;1;0;0;0;4;0;2;0;0;2;1;0;0;0
;;11;Žigić-Stal, T.;13;0;0;0;1;0;0;2;0;2;0;0;2;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0
;;12;Vogel, A.T.;12;0;0;0;0;0;1;2;0;1;1;0;0;1;0;0;0;1;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0
;;13;Eijs, M.;9;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
;;14;van Dongen, P.A.;13;3;0;0;0;0;0;1;0;0;2;0;4;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;15;Koets, C.J.;8;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;16;Tibboel, P.H.;13;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;2;1;1;1;0;0;0;1;0;1;0;0;0;2;0;0;0
