Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Oude Kerk;Stembureau Basisschool Sint Maarten;Stembureau Oranjehoek;Stembureau Wijkgebouw De Boot;Stembureau Wijkcentrum Agora;Stembureau Wijkcentrum Agora (2);Stembureau Jezus geeft rust;Stembureau Basisschool De Parachute;Stembureau Basisschool De Parachute (2);Stembureau Maartenshal;Stembureau Maartenshal (2);Stembureau Koningkerk;Stembureau Wijkcentrum de Groene Loper;Stembureau KindCentrum Cascade;Stembureau Sporthal Essesteijn;Stembureau Wijkgebouw Essesteijn;Stembureau Servicecentrum Leidschendam;Stembureau Servicecentrum Leidschendam (2);Stembureau Wijkgebouw De Blauwe Tram;Stembureau Wijkgebouw Het Koophuys;Stembureau Wijkgebouw Ons Tolhuis;Stembureau Dienstencentrum Duivenvoorde;Stembureau Wijkcentrum De Plint;Stembureau Wijkgebouw De Heuvel;Stembureau Gymnastieklokaal;Stembureau Sportcentrum De Fluit - Zij ingang;Stembureau De Binnenhof;Stembureau Trinity Church;Stembureau Ad Hoc;Stembureau Dorpspunt;Stembureau WZH Prinsenhof;Stembureau WZH Schoorwijck;Stembureau WZH Vliethof;Stembureau WZH Het Anker;Stembureau Woonzorgcentrum De Mantel;Stembureau Wijkcentrum Agora (MA);Stembureau Wijkcentrum de Groene Loper (MA);Stembureau Wijkgebouw Ons Tolhuis (MA);Stembureau Gemeentehuis Leidschendam (MA);Stembureau Dorpspunt (MA);Stembureau Wijkcentrum Agora (DI);Stembureau Wijkcentrum de Groene Loper (DI);Stembureau Wijkgebouw Ons Tolhuis (DI);Stembureau Gemeentehuis Leidschendam (DI);Stembureau Dorpspunt (DI)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
Postcode;;;;;2271 CC;2271 EP;2271 SJ;2272 AN;2275 CZ;2275 CZ;2274 JW;2274 TZ;2274 TZ;2274 KX;2274 KX;2273 KR;2273 VD;2273 CS;2272 EB;2272 EB;2264 BM;2264 BM;2265 CA;2266 KN;2266 CN;2261 AN;2263 GZ;2262 EB;2264 KW;2262 ED;2266 AS;2261 ET;2261 ZB;2266 HA;2263 AA;2265 WZ;2271 CW;2273 AG;2272 BV;2275 CZ;2273 VD;2266 CN;2264 BM;2266 HA;2275 CZ;2273 VD;2266 CN;2264 BM;2266 HA
;;27;Aris-van Neuren, H.I.;65;6;1;4;8;1;2;6;1;0;0;3;1;0;1;1;1;4;0;2;0;1;0;0;0;1;1;6;1;0;0;0;0;0;0;0;1;2;0;1;0;2;0;3;4;0
2;GBLV/Gemeentebelangen;;;6687;268;145;191;204;92;96;81;108;126;140;85;287;127;142;274;100;200;191;285;118;129;166;344;225;285;123;159;192;98;263;3;9;2;9;10;84;128;46;305;51;94;158;60;345;139
;;1;Bremer, B.B.M.;3384;154;80;98;92;53;41;49;58;70;73;53;165;75;79;153;67;77;101;134;59;62;94;200;120;153;69;78;107;41;53;1;8;2;7;8;47;77;24;155;6;47;87;26;152;29
;;2;Klazenga, H.P.;482;13;10;13;18;7;7;8;6;9;6;1;22;5;9;15;3;25;25;30;11;9;8;23;30;19;11;15;12;11;6;0;0;0;0;0;3;6;5;23;0;4;4;7;39;4
;;3;van Wijk, M.;385;6;2;3;8;3;3;3;5;0;3;4;8;5;6;11;0;14;5;28;7;18;8;20;9;21;2;20;4;7;48;0;0;0;0;0;7;2;4;15;7;1;6;4;26;32
;;4;Hartsinck, M.J.R.;60;1;5;0;1;0;3;1;3;0;0;1;9;2;2;2;2;2;0;5;2;0;0;1;1;1;2;0;1;1;0;0;0;0;0;0;0;1;0;2;0;0;5;0;2;2
;;5;Rosbenders, W.J.B.M.;83;5;0;1;0;0;0;2;1;0;1;0;1;1;0;2;1;1;1;6;0;1;18;6;1;9;1;2;5;4;0;1;0;0;0;1;2;1;0;2;0;0;0;1;5;0
;;6;van Leusden-Duijvestijn, S.J.;516;14;8;46;27;7;8;1;8;9;19;4;23;8;8;19;3;14;21;15;7;6;8;21;8;18;15;15;18;8;1;0;1;0;1;1;3;8;2;25;3;14;24;8;33;6
;;7;Klaarhamer, E.H.;234;6;2;3;28;2;4;1;5;3;5;2;3;3;5;12;2;22;13;10;2;6;4;8;9;8;3;5;14;0;0;0;0;0;0;0;3;1;1;22;0;2;1;1;13;0
;;8;Steutel, W.F.;61;1;2;1;0;0;0;2;2;5;1;3;4;0;5;2;1;3;0;1;2;1;0;2;0;3;0;0;7;0;2;0;0;0;0;0;1;0;0;0;0;1;2;1;6;0
;;9;Velu, M.;192;7;6;2;4;9;19;5;6;9;14;4;9;6;4;9;3;5;5;4;0;1;0;3;1;1;1;2;1;3;1;0;0;0;0;0;9;11;0;5;1;6;7;1;7;1
;;10;van Viegen, G.;47;0;0;2;1;0;0;0;0;0;0;0;1;0;0;2;0;2;0;5;0;1;2;1;1;6;0;2;3;0;5;0;0;0;0;0;2;1;1;3;0;0;1;2;3;0
;;11;Starrenburg, J.A.;61;0;0;0;0;2;1;0;0;0;2;2;4;6;3;2;1;3;1;0;2;0;0;4;3;2;2;0;1;1;0;0;0;0;0;0;0;5;1;5;0;2;1;1;4;0
;;12;van Saltbommel, E.C.;53;1;2;1;0;2;2;1;4;2;1;1;5;1;2;4;0;1;1;2;2;1;1;3;0;1;1;0;1;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;2;0
;;13;van der Spek, L;119;5;2;3;3;1;0;0;2;4;3;0;5;4;4;6;2;6;3;3;3;4;1;6;12;2;3;0;3;1;2;0;0;0;0;0;0;2;0;12;0;4;2;0;6;0
;;14;van Wissen, R.C.;50;0;1;1;1;2;0;0;0;1;0;1;2;1;1;0;4;1;0;0;3;1;0;2;2;2;0;2;2;0;1;1;0;0;0;0;0;1;2;3;5;1;1;0;1;4
;;15;Beers, M.A E.;52;3;2;2;7;0;0;0;0;0;0;1;0;0;0;5;1;3;0;11;0;0;1;3;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;6;0
;;16;de Vries, T.H.;78;1;1;1;0;0;0;0;0;0;0;2;2;0;0;1;0;1;2;8;3;3;7;5;9;10;3;2;1;5;0;0;0;0;0;0;1;0;0;1;0;0;1;1;7;0
;;17;Hooijmans, H.A.L.M;96;6;3;1;0;0;2;0;1;1;1;2;2;0;0;0;1;2;1;7;5;2;2;10;6;4;1;3;2;1;2;0;0;0;0;0;0;1;0;7;0;0;0;2;18;0
;;18;van Velsen, A.C.M.;48;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1;1;2;0;0;21;0;0;0;0;0;0;0;0;0;3;0;2;0;1;12
;;19;van Wissen, J.M.;229;0;0;2;0;3;0;0;0;0;0;1;0;0;0;0;0;0;2;3;2;2;0;2;2;1;1;2;3;0;120;0;0;0;0;0;0;0;2;5;26;0;0;1;1;48
;;20;Koppe, F.A.;182;37;16;8;6;1;3;4;4;4;5;1;10;3;8;9;3;4;3;2;5;3;0;4;2;4;0;1;0;1;0;0;0;0;0;0;4;3;1;3;0;7;7;1;5;0
;;21;van der Maat-Starrenburg, J.E.;98;1;2;0;6;0;1;2;1;5;3;1;6;5;3;8;5;4;3;2;1;1;3;3;4;6;0;0;4;0;0;0;0;0;0;0;1;1;2;7;0;4;0;2;1;0
;;22;Jansen, W.J.;177;7;1;3;2;0;1;2;2;4;3;1;6;2;3;11;1;9;4;8;2;7;9;16;5;13;6;7;2;14;1;0;0;0;1;0;1;2;1;5;0;1;5;1;7;1
3;CDA;;;3064;168;103;55;85;72;64;67;39;58;57;25;121;61;72;171;68;77;60;112;41;54;87;132;87;107;43;72;84;35;53;4;8;3;6;11;78;69;20;143;14;92;70;37;155;24
