Verkiezing;;Gemeenteraad Pijnacker-Nootdorp 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Pijnacker-Nootdorp;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1926;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentekantoor Pijnacker;Sporthal 't Baken;Buurt & Zo (bibliotheek Oostland);Gymzaal  Goudenregen;Sporthal De Viergang;Gymzaal Daltonschool  De Tweemaster;Ontmoetingskerk;Wijkcentrum Tolhek (Gymzaal);Sporthal 't Nest;Wijkcentrum Tolhek;Buurtcentrum Het Oude Laarsje;Meersma Holding BV;Sporthal 't Nest;Kerkgebouw Delfgauw;Sporthal Emerald;Sporthal Emerald;Jan Janssen Sporthal;Jan Janssen Sporthal;"Sporthal ""s-Gravenhout";Sporthal 's-Gravenhout;Parochiehuis;Nové Kerkelijk centrum;Mobiel stembureau Veenhage en Welzijnscentrum Keijzershof;Stembureau voor de telling stembureau 31/32/33/34;Stembureau voor de telling stembureau 41/42/43/44
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;30;40
Postcode;;;;;2641 ED;2641 JN;2641 HB;2641 AV;2641 AZ;2641 MM;2642 RA;2642 JK;2643 MC;2642 JK;2641 NS;2641 PE;2643 MC;2645 BD;2645 HH;2645 HH;2631 GA;2631 GA;2631 PT;2631 PT;2631 CL;2631 CR;2631 GC;;
;;1;Hennevanger, P.C.;1544;70;69;78;67;63;62;98;56;48;76;23;25;65;51;60;65;15;30;48;61;63;62;4;108;177
;;2;Markerink, A.S.C.;1316;48;28;51;27;32;45;61;30;34;27;14;16;33;42;57;62;37;33;104;99;99;88;3;100;146
;;3;van de Kraats, B.P.J.;231;5;1;1;3;1;5;2;1;2;0;1;1;1;52;45;54;0;0;4;2;2;3;0;17;28
;;4;de Wolf, D.A.;149;6;2;3;10;4;28;10;5;8;7;1;0;4;4;3;5;1;0;4;4;2;4;0;12;22
;;5;Verdegaal, J.T.;57;7;5;8;2;1;4;5;4;3;2;0;2;2;2;0;0;0;1;0;0;0;0;0;5;4
;;6;Bholanath, N.;356;13;10;9;15;12;19;31;24;16;16;1;0;19;9;14;10;5;4;16;10;19;16;0;27;41
;;7;ter Braake, N.;21;0;0;2;0;1;3;3;0;2;0;0;2;1;1;1;2;0;0;0;0;0;0;0;1;2
;;8;Koole, J.J.;26;2;2;1;3;0;5;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;5
;;9;Wever, H.;15;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;8;0
;;10;Kroese, A.R.;24;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;3;2;2;4;5;4;0;0;1
;;11;Snijders, J.J.;28;2;3;1;1;0;6;0;1;0;0;0;0;2;3;3;1;1;0;0;0;3;0;0;0;1
;;12;Olivier, I.J.;174;8;4;5;4;9;7;0;2;7;4;2;3;3;9;3;8;12;7;11;16;11;12;0;8;19
;;13;Harmsen, J.H.;8;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;2
;;14;Mulder, E.B.;8;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;2;0;2;0;0;0
;;15;van Steijn, J.J.;35;2;0;0;3;2;3;2;0;1;0;0;0;1;0;0;0;0;0;8;1;1;6;0;3;2
;;16;in 't Hout, J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Lesscher, H.A.;18;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;5;5;0;3;0;1;1
