Verkiezing;;Gemeenteraad Papendrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Papendrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0590;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Mobiel stembureau Marktplein;Morgensterkerk;Kindcentrum Oranje Nassau;RK-Parochie;Bethlehemkerk;Sionskerk;De Viermaster;De Spil;De Lage Waard;Mobiel stembureau parkeerplaats Wilgendonk;Samenwerkingsverband Drechtsteden;Mobiel stembureau Dienstencentrum;Mobiel stembureau Gemiva;Mobiel stembureau parkeerplaats PKC;Prins Florisschool;Mobiel stembureau Marktplein;Mobiel stembureau Marktplein;Mobiel stembureau parkeerplaats Wilgendonk;Mobiel stembureau parkeerplaats Wilgendonk;Mobiel stembureau Dienstencentrum;Mobiel stembureau Dienstencentrum;Mobiel stembureau Gemiva;Mobiel stembureau Gemiva;Mobiel stembureau parkeerplaats PKC;Mobiel stembureau parkeerplaats PKC
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;3351 PB;3351 PB;3353 VD;3353 AT;3353 VJ;3351 HA;3351 JT;3351 GZ;3352 BM;3352 VH;3355 BM;3355 RP;3354 BR;3356 BG;3356 LC;3356 DA;3351 PB;3351 PB;3355 BM;3355 BM;3354 BR;3354 BR;3356 BG;3356 BG;3356 LC;3356 LC
;;12;Hoek, F.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;13;Verboom-Hofman, A.J.;9;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;2;0
;;14;Koppenol, C.;56;10;3;2;1;0;0;1;1;4;5;2;1;0;1;1;2;8;3;1;2;0;1;0;0;2;5
3;VVD;;;1635;99;89;50;15;40;38;63;46;78;52;67;62;26;14;50;137;91;67;78;153;20;56;22;32;65;125
;;1;de Keizer, S.H.;1000;57;65;35;9;26;25;44;25;50;27;46;46;19;8;27;75;55;43;50;84;12;40;9;18;32;73
;;2;Stouthart, H.D.;201;15;7;6;2;7;4;10;8;10;5;7;4;2;2;6;13;13;5;9;18;1;10;5;7;4;21
;;3;Bokma, A.;48;1;1;1;2;2;0;1;3;1;1;0;0;1;2;1;7;0;2;1;5;1;0;1;2;4;8
;;4;Verdoorn, S.J.A.;126;13;6;5;0;5;4;2;6;5;10;1;5;2;1;3;7;13;6;3;15;1;0;1;2;8;2
;;5;van der Giessen, P.J.;157;9;4;1;1;0;1;3;0;7;0;8;4;0;1;9;31;5;7;8;17;2;4;5;2;14;14
;;6;Capiteijns, D.W.;45;2;2;0;0;0;3;2;3;4;8;1;1;0;0;0;2;1;3;2;6;1;1;0;0;0;3
;;7;Vermeij, M.W.A.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0
;;8;Pikaart, J.J.;16;1;2;0;0;0;1;0;0;0;0;2;0;2;0;3;1;2;0;0;2;0;0;0;0;0;0
