Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Amicitia;Gymzaal bij Het Schateiland;Speellokaal nabij CBS  Eben-Haëzer;Sporthal De Bakwetering;Ichthuskerk;Het Cultuurhuis;Het Koetshuis (ingang schoolstraat);Sporthal De Walvis;De Dertienhuizen;St. Laurentiuskerk;De Schakel;Bibliotheek Bergambacht;Ammerstolse SV (voetbalvereniging);Cultureel Centrum De Zwaan;Voetbalvereniging Bergambacht;HHG Kerk;Rozenlaankerk;Oosterkerk;Dorpshuis Gouderak;De Bron;Zalencentrum de Overkant;Openbare Bibliotheek Schoonhoven;Het Huis van Noord;Pasteurzaal nabij PCBS De Rank;P.G. de Hoeksteen;Dienstencentrum Hof van Stein;Theater en Grand Cafe Concordia;Rehoboth;Het Kwartier;De Vlisterstee;Voetbalvereniging Stolwijk;Sporthal De Bakwetering (maandag);Sporthal De Bakwetering (dinsdag);Sporthal De Walvis (maandag);Sporthal De Walvis (dinsdag);De Schakel (maandag);De Schakel (dinsdag);HHG Kerk (maandag);HHG Kerk (dinsdag);Openbare Bibliotheek Schoonhoven (maandag);Openbare Bibliotheek Schoonhoven (dinsdag);Theater en Grand Cafe Concordia (maandag);Theater en Grand Cafe Concordia (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43
Postcode;;;;;2941 BR;2941 SE;2941 VE;2941 TN;2941 BM;2931 EC;2931 AG;2931 RA;2931 XZ;2861 AG;2861 XD;2861 XH;2865 AH;2825 BS;2861 GJ;2935 SB;2935 SV;2935 CD;2831 XV;2871 AH;2871 BC;2871 TN;2871 WG;2871 JM;2871 LD;2851 TD;2851 VV;2821 AP;2821 VB;2855 AK;2821 XC;2941 TN;2941 TN;2931 RA;2931 RA;2861 XD;2861 XD;2935 SB;2935 SB;2871 TN;2871 TN;2851 VV;2851 VV
;;23;Slingerland, S.A.;113;2;3;0;0;0;0;0;0;0;1;0;1;4;0;2;1;0;3;0;3;0;3;0;3;1;33;35;0;0;1;0;0;0;0;0;1;2;0;0;2;0;4;8
;;24;Borst, W.H.;12;2;1;0;1;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;25;Vonk, N.D.;67;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;14;32;0;14;0;0;0;0;0;0;0;1;0;1;0;0
;;26;de Langen, C.T.;23;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;1;0;8;0;0;0;0;0;1;2;0;0;0;0;0;0
;;27;Baas, R.;62;0;0;0;0;1;11;9;15;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0;0
;;28;Mastwijk, A.;28;9;4;3;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;29;Molenaar, A.C.;17;0;0;2;0;0;0;0;0;0;0;1;6;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0
;;30;de Keuning, J.C.;18;0;0;0;0;0;2;4;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;31;de Willigen, J.M.;30;0;0;0;0;1;0;0;0;0;0;0;1;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
;;32;van Zoest, M.;7;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;33;Reichard, C.;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;19;21;1;1;2;0;0;0;0;0;0;0;0;0;0;0;3;8
;;34;de Boom, W.A.;8;0;0;0;0;0;0;1;0;0;1;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;35;Merks, A.J.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;36;Mondriaan, E.;20;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
;;37;Eichelsheim, M.;31;0;0;0;2;0;0;0;4;0;9;4;0;1;0;5;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
;;38;Uittenbogaard, J.;53;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;8;21;0;16;0;0;0;0;0;2;0;0;0;0;0;0
;;39;den Ouden, B.A.;13;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0
;;40;van der Mark, W.F.;13;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
;;41;van den Heuvel, A.;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;13;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Teeuwen, J.E.;16;0;1;0;0;0;0;0;0;1;1;1;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0
;;43;Jordaan, C.;34;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;12;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;4
;;44;Versluis, M.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Anker - Weeda, E.;6;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;46;Oosterwijk, A.;10;2;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0
;;47;van Kersbergen, M.E.;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;7;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;48;Roest, A.H.;7;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0
;;49;Timmer, F.R.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;3;2;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;50;van Dam, P.;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2;VVD;;;2545;89;40;45;27;69;57;33;37;50;7;50;108;57;71;52;63;158;54;219;170;124;93;45;46;97;35;89;65;68;27;61;25;32;10;14;35;40;8;19;34;78;13;31
;;1;Zuijderwijk, G.P.;916;39;16;19;11;29;35;24;24;28;3;23;61;22;39;23;44;82;32;11;40;32;15;6;10;12;15;41;23;16;11;9;10;11;9;10;15;13;4;9;8;16;5;11
;;2;Vogel-Harberink, H.;285;7;3;3;2;3;7;3;4;7;0;1;5;6;11;4;3;7;0;7;3;6;1;2;2;5;4;18;35;42;6;48;1;2;0;1;3;1;2;0;0;4;8;8
;;3;Oudshoorn, M.J.;429;3;1;1;0;2;2;0;0;1;0;0;1;10;1;3;0;0;1;0;89;67;58;29;22;64;0;2;0;4;5;1;0;0;0;0;1;1;0;0;16;44;0;0
;;4;Coomans, D.;254;2;1;0;0;3;0;0;2;0;0;2;1;3;3;0;0;4;15;195;5;3;0;1;2;3;1;0;1;2;2;1;0;0;0;0;0;0;0;2;0;0;0;0
;;5;van der Wilt, R.H.;112;25;10;7;11;14;3;3;0;9;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;0;2;0;0;0;10;10;0;1;0;0;0;0;0;1;0;1
;;6;van der Oest, G.M.;86;0;0;1;1;2;0;1;0;1;3;11;17;0;0;10;2;1;0;1;1;1;1;1;1;0;1;3;0;2;0;0;0;0;0;0;3;16;0;1;0;1;0;3
;;7;Vermeulen, A.I.M.;25;0;0;0;0;0;0;0;0;0;1;2;2;10;0;1;0;0;2;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
