Verkiezing;;Gemeenteraad Hendrik-Ido-Ambacht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hendrik-Ido-Ambacht;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0531;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Emmastaete;SOL Admiraal (obs De Bron);St. Hervormde Jeugdfederatie;Wielstaete;Gereformeerde Kerk Open Hof;OBS De Bron;OBS De Bron/De Meander;Sporthal De Ridderhal;Postduivenhoudersvereniging De Luchtbode;Wijkgemeente De Ark;Flatgebouw De Zalmhaven;Zorgorganisatie De Blije Borgh;Sporthal De Sophiahal A;Sophiastaete;Yulius - De Volgerlanden;Sporthal De Sophiahal B;De Voorn;WC de Schoof;Louwersplein;Gemeentehuis;Yulius - De Volgerlanden;Gemeentehuis;Yulius - De Volgerlanden
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;12;13;14;15;16;17;18;19;20;22;23;301;318;401;418
Postcode;;;;;3342 AE;3341 XD;3342 TA;3341 TS;3341 SP;3342 BS;3343 CB;3343 CB;3341 BE;3343 LG;3344 RP;3344 HD;3341 GD;3344 PL;3344 PK;3344 DD;3344 PL;3344 JA;3341 CE;;3342 AE;3344 DD;3342 AE;3344 DD
;;1;Scheurwater, A.;420;21;16;22;12;30;26;25;14;9;21;17;6;13;14;11;8;21;7;8;50;15;13;30;11
;;2;Stam, H.A.;68;9;4;4;1;1;5;6;1;1;5;0;3;1;2;0;2;3;0;2;7;2;0;6;3
;;3;van den Berg, M.;177;7;7;12;3;3;12;6;5;8;9;1;5;4;9;7;7;15;7;6;10;14;4;11;5
;;4;Janssen, T.M.;24;1;2;0;0;0;3;0;0;0;2;4;0;2;0;1;0;1;0;1;1;2;0;4;0
;;5;Bras, R.;14;1;0;3;2;0;2;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1
;;6;van Santen, J.A.;36;3;1;0;0;0;4;3;1;2;2;1;0;1;0;1;1;1;0;0;7;0;1;5;2
;;7;van der Nat, J.M.;11;1;0;1;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;3;0;0;0;1;0
;;8;Zoeteman, P.;21;3;0;3;1;1;0;1;3;2;1;0;0;1;2;0;1;0;0;0;0;1;0;1;0
;;9;Ritmeester, A.W.;34;2;3;0;3;1;1;1;3;0;1;1;0;0;2;0;2;3;2;2;0;1;0;4;2
9;Realistisch Ambacht;;;1277;64;26;77;35;46;48;94;43;38;58;58;35;41;89;25;41;83;47;51;102;46;27;72;31
;;1;Doevendans, O.;828;36;14;48;28;30;35;58;25;29;40;41;26;22;53;15;25;52;30;29;74;31;15;57;15
;;2;van den Elsen, F.G.A.M.;80;6;2;0;1;0;1;9;2;3;3;2;0;5;4;0;6;6;8;2;3;4;7;3;3
;;3;de Jong, F.W.;82;3;0;8;0;5;2;9;8;1;3;4;1;3;7;1;0;7;4;1;7;2;0;6;0
;;4;Bakker, B.J.;38;4;4;5;0;0;2;3;0;0;0;0;3;3;1;0;0;2;0;4;2;0;2;0;3
;;5;van de Poel, J.P.;249;15;6;16;6;11;8;15;8;5;12;11;5;8;24;9;10;16;5;15;16;9;3;6;10
