Verkiezing;;Gemeenteraad Nissewaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nissewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum Noord;Wijkcentrum Noord;Rivièrabad;Buurthuis De Hoek;De Spaanse vereniging;Theater de Stoep;Gymzaal Mercuriusstraat;Gymzaal Mercuriusstraat;Flat de Serreburgh;Jongerencentrum Westdijk;Gymzaal Verdilaan;Wijkcentrum De Akkers;Wijkcentrum de Kreek;Gymzaal Koolzaaddreef;Dorpshuis Hekelingen;Gymzaal Salamanderveen;Gymzaal Salamanderveen;Gymzaal Vlinderveen;Gymzaal Vlinderveen;Gymzaal Rijnlaan;Gymzaal Rijnlaan;Wijkcentrum M.R. Hoitsemastraat;Wijkcentrum M.R. Hoitsemastraat;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;Mobielstembureau;Jongerencentrum Maaswijk;Elementenhuis;Dorpshuis Abbenbroek;De Haveling;voormalig schoolgebouw De Tweespan;De Haveling;De Hoeksteen;Welkomkerk Zuidland;Welkomkerk Zuidland;LTV Zuidland;Zomertuinen/De Es;Flat de Serreburgh;Wijkcentrum de Kreek;Wijkcentrum De Akkers;Theater de Stoep;Roll and Vote;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland
;;26;Verwijs-Weerensteijn, B.;54;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;2;0;36;0;3;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;27;van der Sluis, J.H.;36;1;1;3;0;0;0;0;0;0;0;1;0;0;0;11;0;0;0;0;1;2;2;0;1;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
;;28;van Pelt, F.J.;51;1;1;0;0;0;0;3;1;0;0;3;1;1;1;3;1;0;0;2;0;0;2;0;2;1;0;3;0;0;0;0;0;0;0;2;0;4;0;1;1;3;0;0;0;0;0;9;2;0;0;0;0;0;0;0;3;0;0
;;29;Seuren, M.G.;39;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;30;Broere, V.J.M.;45;1;0;0;2;0;0;0;0;3;0;0;1;0;0;1;0;1;2;0;0;0;3;2;3;0;0;1;6;0;1;1;0;0;0;0;0;0;3;2;1;0;2;1;1;0;0;3;0;0;1;0;1;2;0;0;0;0;0
;;31;Loendersloot, M.;8;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
;;32;de Vos, R.P.;7;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;33;Stougje, C.;50;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;3;0;1;0;0;7;5;3;0;0;0;0;0;0;0;0;1;0;0;0;0;13;0;0;0;0;0;0;0;9
;;34;van Assendelft, M.J.;34;0;0;0;0;0;0;0;0;1;0;0;1;0;0;5;3;0;1;1;0;0;0;1;5;1;0;4;2;0;0;1;0;0;0;0;0;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0
;;35;Suijker, P.A.;8;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
;;36;van der Wiel, C.F.;25;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0
;;37;Bosma, M.R.;15;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0
;;38;Weeda, S.;35;0;0;1;0;0;0;1;1;0;0;2;0;0;1;2;0;0;1;0;1;1;0;4;5;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;2;0;0;2;2;0;0;0
;;39;Grootveld, J.;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;40;Verbeek, F.;48;0;0;1;0;1;0;0;1;2;0;7;1;0;0;1;1;0;1;1;0;0;0;1;3;2;0;7;2;0;0;0;0;0;1;0;0;0;2;1;0;0;0;1;0;0;0;1;0;1;1;0;0;3;0;3;2;0;0
;;41;Straatman, S.B.;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;42;van der Stokker, J.;28;0;0;3;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;5;1;0;0;0;0;0;0;4;1;0;0
;;43;Houkes, D.A.;25;1;0;1;0;0;0;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0;0;4;3;0;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0
;;44;Weeda, C.;15;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;1;0;0;0;1;0;0;1;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
;;45;Harder, M.H.;15;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Pernet, L.B.;42;0;0;3;0;5;0;0;0;0;0;0;0;1;0;1;0;1;0;3;0;1;3;1;5;0;0;5;0;2;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;3;0;2;0;2;0;0;0;0;0;0;0;0;0
;;47;Sitton, R.;15;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
;;48;van Dijk, J.;20;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
;;49;'t Hart, G.J.;20;0;1;0;0;0;3;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;3;0;0;0;0;1;1;0;0;0;0
;;50;Lalay, Y.P.;27;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;1;1;0;2;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;2;0;1;0;0;2;0;0;0;0;0;0;5;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;3883;66;63;81;109;55;22;51;48;88;47;116;108;63;73;116;44;47;75;79;59;42;59;37;100;137;15;72;124;43;105;70;0;31;64;40;55;98;82;50;97;18;70;80;48;122;60;94;107;35;53;50;43;89;23;75;112;24;49
