Verkiezing;;Gemeenteraad Zwijndrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zwijndrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Spektakel Zwijndrecht;Verenigingsgebouw 'P.V. Steeds Sneller';Kerkgebouw de Hoeksteen;Wijkgebouw 't Klankbord;Gymzaal Welhorst;Capital Sports 'Rob Sterkenzaal';Develhal;NS Station Zwijndrecht;Wijkcentrum Xiejezo;De Nederburgh / Lunenburg;Gymzaal Hart van Meerdervoort;Dorpshuis Heerjansdam;Sporthal Den Dam;Wijkcentrum Kubiek;Kerkgebouw Develhof;Gymzaal Lunenburg;Kerkgebouw de Hoeksteen 2;Gemeentehuis 2;Spektakel Zwijndrecht 2;Wijkcentrum Xiejezo 2;Gymzaal Hart van Meerdervoort 2;Wijkcentrum Kubiek 2;Wijkgebouw 't Klankbord 2;"Locatie ""Nebo""";"Locatie ""Swinhove/Ambachtstaete""";Gemeentehuis maandag;Spektakel Zwijndrecht maandag;Develhal maandag;Sporthal Den Dam maandag;Gemeentehuis dinsdag;Spektakel Zwijndrecht dinsdag;Develhal dinsdag;Sporthal Den Dam dinsdag
;;3;van der Geer- Verspaandonk, D.;239;4;6;9;13;24;6;8;6;8;2;12;2;4;18;3;10;10;11;8;6;2;2;10;14;0;0;9;5;4;2;7;3;9;2
;;4;Kilsdonk, A.N.;44;1;0;1;1;3;0;2;3;0;0;5;1;0;1;4;5;1;1;1;0;0;0;3;4;0;1;0;0;0;0;3;0;2;1
;;5;Klifman, B.R.;13;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;4;0;1
;;6;van der Est, J.M.;59;1;1;3;3;3;0;2;1;4;0;3;1;0;3;2;2;3;2;4;2;0;0;4;2;0;0;3;0;3;2;3;0;0;2
;;7;Rottier, B.;43;4;1;0;2;0;4;1;2;3;0;0;0;1;1;4;2;0;0;2;0;0;0;1;4;0;0;4;0;3;0;1;0;3;0
;;8;Bosman, C.J.P.;20;3;1;3;1;1;1;0;0;0;2;3;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;9;Kilsdonk, R.A.;32;2;1;2;0;3;2;0;1;0;1;0;0;0;0;1;4;2;0;2;0;0;0;0;3;0;0;1;3;0;0;2;0;2;0
;;10;Bijl, R.F.W.;55;2;1;0;1;3;3;1;4;1;2;5;1;0;0;2;0;0;2;1;2;0;0;4;6;0;0;2;1;3;0;2;2;1;3
5;D66;;;958;43;31;27;39;52;32;27;38;42;15;33;14;26;41;13;33;22;43;31;22;11;17;26;68;0;2;28;26;27;18;33;30;22;26
;;1;Schipper, S.K.;647;31;23;18;28;35;18;17;29;30;10;27;11;15;13;12;22;15;36;21;17;6;15;21;49;0;2;20;18;21;0;27;15;15;10
