Verkiezing;;Gemeenteraad Zoetermeer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zoetermeer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat-1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnastieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 -  Oosterheem;Stembureau Castellum Palensteyn;Stembureau PKN Gemeente De Oase;Stembureau RK Genesarethkerk;Stembureau RK Kerk De Doortocht;Stembureau De Kerk van Jezus Christus;Stembureau Gebouw 't SegheWaert;Stembureau PKN Ichthuskerk;Stembureau RK Kerk Tabor;Stembureau Parochie de Kapelaan;Stembureau Wijkpost Rokkeveen;Stembureau Kerkelijk Centrum De Regenboog;Stembureau RK Kerk De Wijngaard;Stembureau Buurtcentrum De Vlieger;Stembureau CKC & Partners;Stembureau Sporthal De Veur;Stembureau Sporthal De Veur - 2;Stembureau Gymnastieklokaal Steeneikzoom 3;Stembureau Gymnastieklokaal Steeneikzoom 3-2;Stembureau Sportzaal Groen-Blauwlaan 121-2;Stembureau Gymnastieklokaal Kadelaan 206;Stembureau Gymnastieklokaal Nesciohove 115;Stembureau Sportzaal den Brabanderhove 20;Stembureau Sportzaal Lijnbaan 311-2;Stembureau Gymnastieklokaal Irisvaart 10;Stembureau Gymnastieklokaal Velddreef 330-2;Stembureau Sportzaal Forelsloot 5 -2;Stembureau Gymnastieklokaal Fivelingo 88;Stembureau Gymnastieklokaal Spitsbergen 1;Stembureau Gymnastieklokaal Spitsbergen 1-2;Stembureau Gymnastieklokaal Kruiswater 197;Stembureau Gymnastieklokaal Schansbos 7;Stembureau Sportzaal Driesprong;Stembureau Sportzaal Willem Alexanderplantsoen 6b - 2;Stembureau Pop-up stembureau Eesterwaard - Meerzicht;Stembureau Pop-up 5 Meistraat - Dorp;Stembureau Wijkgebouw 't Span;Stembureau Pop-up Sumatra- 1 Oosterheem;Stembureau Pop-up Sumatra- 2 Oosterheem;Stembureau Pop-up Nieuwlandstraat-2 - Oosterheem;Stembureau Pop-up Sartrezijde - De Leyens
;;11;Weerwag, R.;38;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;2;0;0;1;0;0;0;7;0;4;0;0;0;0;0;1;0;3;0;1;2;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;2;0;0;1;0;1;0;0;0;1;0;1
;;12;Marijs, B.J.;64;1;0;4;1;2;0;2;2;0;0;0;1;0;2;2;1;0;0;3;0;0;0;0;0;3;0;2;1;0;0;2;0;2;1;1;0;1;1;0;1;0;1;3;0;0;0;0;1;2;1;2;0;0;0;0;1;0;1;0;0;0;0;1;1;1;2;0;5;1;2;1;0;0;0;1;1
;;13;Wijnants, M.;49;1;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;2;0;1;1;0;0;3;0;2;1;1;0;0;0;0;1;1;1;2;0;1;1;0;2;1;0;4;1;0;0;0;0;1;2;0;1;2;1;0;0;2;3;0
;;14;Haak, A.W.;41;1;0;0;1;0;3;0;0;0;2;0;0;2;0;1;1;1;2;2;0;2;1;0;0;0;0;0;0;0;2;1;1;1;1;0;1;0;0;1;0;2;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;2;0;2;0;0;0;0
;;15;Bakker, E.R.;19;0;0;2;2;0;0;0;0;2;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
;;16;Lobel, J.M.;25;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;2;1;0;1;0;0;0;0;3;1;1;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3
3;D66;;;3809;47;27;45;24;66;31;48;30;23;23;33;22;57;54;85;37;78;23;51;27;40;34;27;51;83;20;114;53;43;54;67;18;69;54;30;55;42;22;44;84;37;43;52;66;26;115;46;100;33;44;65;57;0;133;41;124;73;44;59;54;29;0;101;46;37;46;51;50;33;50;29;37;61;18;100;74
;;1;Schoonbeek, F.;1837;23;14;31;12;41;13;17;18;13;13;19;9;32;30;42;22;33;17;25;10;20;15;8;31;40;8;49;25;20;21;26;8;31;20;12;25;13;12;25;43;23;24;25;45;15;60;32;49;15;15;34;23;0;65;23;56;31;20;27;19;14;0;59;16;13;27;22;24;13;21;10;19;31;10;47;24
;;2;Ekkelenkamp, G.;84;0;1;3;0;0;0;2;1;1;0;2;0;0;1;3;1;1;0;0;1;1;0;0;0;0;0;2;1;0;0;5;0;1;1;0;3;0;0;1;5;0;2;3;2;0;1;0;2;0;0;4;0;0;2;0;0;3;1;4;3;5;0;1;2;1;0;0;3;0;0;2;2;1;0;2;1
;;3;Zamani, E.;283;5;0;0;1;4;1;1;0;1;2;1;2;8;2;4;0;7;0;3;3;3;5;1;1;3;2;14;4;3;5;8;1;7;7;2;5;5;2;1;7;0;5;3;2;1;6;2;10;2;3;3;5;0;9;2;11;9;2;6;4;0;0;12;2;4;3;3;6;5;7;1;3;3;0;8;10
;;4;Koster, I.A.D.;70;1;1;0;0;0;1;1;4;1;0;0;0;4;0;2;2;4;1;2;0;0;0;1;1;0;2;0;0;1;1;3;0;0;2;1;0;0;1;0;1;2;0;2;0;0;1;0;1;0;0;0;2;0;0;0;5;1;7;1;0;0;0;1;0;0;1;0;1;2;1;0;0;1;0;0;3
;;5;Bakkers, J.D.;650;3;6;5;5;9;4;10;0;4;6;7;4;6;11;16;4;14;3;10;2;3;10;6;5;23;2;17;11;8;16;7;2;11;11;8;10;2;2;3;10;5;6;13;3;4;19;4;11;5;12;12;10;0;23;5;31;12;3;10;10;6;0;17;14;8;5;5;9;6;12;6;10;13;5;24;16
;;6;Schaafsma, R.W.;52;0;0;0;1;3;0;1;0;0;0;0;0;0;1;3;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;2;0;18;2;1;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;2;1
;;7;Vlahos, A.H.;35;1;0;0;0;0;1;0;0;0;1;0;1;2;2;0;0;1;0;0;1;2;0;2;0;1;0;1;0;0;0;0;1;0;2;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;3
;;8;Wesstein, B.;30;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;2;1;0;0;0;2;0;1;0;1;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;2;4;1;0;0;0;0;0;0
;;9;Bos, C.W.J.;59;1;1;0;2;0;3;3;0;0;1;2;0;0;2;0;0;2;0;1;2;4;1;0;0;0;1;2;2;0;1;0;0;1;1;0;1;0;0;0;3;0;0;0;0;1;1;0;1;0;0;1;2;0;3;0;2;0;3;1;0;0;0;2;0;3;0;0;0;0;0;0;0;0;0;2;0
;;10;ten Anscher, C.A.J.;15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Badoella, J.A.;199;2;0;2;1;1;1;3;3;2;0;0;1;0;1;4;1;6;0;2;2;3;2;2;5;7;0;13;4;2;1;3;2;1;3;2;7;5;2;5;1;2;1;3;7;0;4;2;4;3;2;1;2;0;7;0;6;5;2;3;2;1;0;0;4;0;2;7;0;0;6;4;1;4;2;4;6
;;12;van Damme, C.C.;31;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;1;2;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;1;5;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;3
;;13;Vergers, P.L.;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Batenburg, N.;106;4;0;0;1;3;1;3;2;0;0;0;2;0;0;2;1;0;0;1;1;3;0;2;0;1;2;6;1;3;2;3;0;3;0;0;2;3;0;3;3;0;1;1;2;0;3;0;7;2;2;1;0;0;0;1;2;2;0;1;4;2;0;1;2;1;2;4;1;0;1;0;0;1;1;1;2
;;15;Snels, V.J.J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;16;Zegveld, L.M.;39;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;1;0;0;0;0;4;2;1;1;1;0;0;0;2;1;1;1;1;0;1;0;2;0;3;0;0;0
;;17;Ephraim, F.J.D.;16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0
;;18;Kouwenberg, C.;58;0;0;1;0;0;4;0;0;0;0;0;0;1;3;0;0;2;1;1;3;0;0;2;1;0;0;1;0;1;0;4;0;0;1;0;1;2;0;1;0;0;0;0;0;0;2;0;2;1;0;0;2;0;1;0;4;1;2;1;1;0;0;0;0;2;0;1;0;0;0;0;1;2;0;4;1
;;19;Kokx-van Aalsburg, E.;37;1;2;1;0;0;1;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;1;0;1;0;1;1;0;1;1;0;2;0;0;0;0;3;3;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0
;;20;Lindeboom, H.A.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;21;Snels-Advokaat, C.J.M.;24;2;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1
;;22;Diederen, P.J.M.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Vugs-Vink, I.H.C.;35;1;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;3;0;1;0;0;0;2;2;0;0;0;0;1;0;0;3;0;0;0;0;0;3;0;3;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;1
;;24;Huisman, P.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
;;25;Paalvast, R.C.;107;1;2;0;1;1;0;2;1;0;0;0;2;2;0;5;3;3;0;2;2;1;1;0;4;3;1;0;1;1;2;4;0;5;2;1;0;1;1;1;3;2;2;0;2;0;2;3;3;3;2;2;3;0;1;0;0;3;1;1;3;0;0;2;2;2;0;3;1;0;0;0;0;0;0;4;1
4;GROENLINKS;;;4630;48;25;40;41;52;35;51;28;36;35;30;31;61;48;76;50;81;63;77;48;49;44;56;35;153;49;146;91;56;101;52;36;97;86;41;66;75;25;67;117;54;40;83;69;41;117;59;77;27;50;56;49;0;131;61;102;104;71;69;93;36;0;127;42;29;60;66;56;49;97;44;57;55;18;60;83
;;1;Boerboom, J.J.;1544;21;12;14;11;25;9;11;5;12;10;17;10;19;18;25;15;29;22;14;12;20;14;25;16;48;17;36;27;18;27;16;9;31;25;19;26;27;9;26;50;15;10;18;27;16;49;20;27;7;14;14;20;0;40;17;34;36;32;24;23;11;0;45;13;6;24;22;16;17;26;18;23;24;5;22;32
;;2;van Steenis, W.J.;121;0;0;0;3;2;2;3;4;1;0;2;0;5;2;2;1;1;1;6;2;0;0;1;13;0;1;0;1;0;2;0;0;1;2;0;1;1;0;2;1;3;1;2;19;0;1;0;3;0;1;0;1;0;0;1;3;4;1;2;2;1;0;3;0;0;1;1;1;0;3;0;0;0;0;0;4
;;3;van Werkhoven, J.F.;1432;9;7;14;11;13;16;20;12;14;14;4;6;19;14;22;12;25;21;31;19;17;10;14;0;37;15;52;32;15;34;15;15;33;22;9;14;16;7;20;36;15;18;36;4;9;37;14;27;10;11;17;20;0;49;14;36;29;25;25;35;14;0;45;18;12;17;24;16;15;31;14;17;14;6;18;24
;;4;Aiobi, F.;199;1;1;3;1;1;0;0;0;1;0;1;3;1;0;5;2;3;2;2;1;1;0;7;0;10;3;16;3;3;3;1;0;7;3;3;6;4;1;5;1;1;0;5;0;0;3;2;4;1;1;1;2;0;2;7;2;11;2;3;2;2;0;7;0;1;4;3;4;2;7;3;2;3;0;5;2
;;5;Mulholland, P.S.;198;0;1;1;4;1;1;3;0;1;2;0;3;3;1;4;1;3;1;8;4;1;2;0;3;3;2;7;6;5;2;6;4;6;4;1;4;0;0;2;6;0;2;5;1;1;1;6;0;2;7;2;0;0;4;3;4;2;1;4;5;2;0;4;2;2;7;2;3;3;5;0;6;0;2;1;3
;;6;van der Hel, J.M.;67;0;0;1;1;0;0;1;0;0;0;0;0;1;0;2;2;3;1;1;0;1;0;0;0;0;0;6;0;1;1;2;0;2;4;1;1;0;0;0;0;6;1;0;0;1;0;0;0;1;0;4;0;0;1;1;1;1;0;0;3;0;0;4;0;2;0;1;1;2;2;0;0;2;0;0;1
;;7;Scholten, C.W.I.;177;1;0;1;1;1;2;1;0;2;4;0;0;5;3;5;0;4;2;3;0;1;3;5;1;8;1;2;4;3;6;2;1;1;5;1;5;2;2;2;3;0;1;4;3;1;2;1;6;0;5;3;1;0;8;2;4;3;0;0;4;1;0;8;2;0;1;3;4;2;5;2;3;1;1;1;2
;;8;Bauer, H.A.;32;2;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;1;0;0;0;1;0;1;6;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1
;;9;Vermond, J.D.;45;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;1;1;0;0;0;2;0;2;1;0;2;2;3;3;0;0;0;0;2;0;0;2;0;0;0;2;2;1;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;1;0;0;0;1;2;0;0;1;0;0;1
;;10;Sandberg, D.;101;1;1;0;1;0;1;0;2;1;1;0;1;0;0;1;0;2;4;2;0;1;2;2;0;5;1;6;1;2;3;0;0;0;1;1;3;2;2;1;1;6;0;2;3;3;4;0;1;0;0;2;0;0;5;1;2;1;2;0;1;0;0;0;1;1;1;0;3;0;3;2;2;0;1;1;1
;;11;Delfos, J.N.;62;4;0;1;3;0;0;1;0;1;0;0;0;0;0;1;6;0;0;0;1;0;1;0;0;1;1;2;4;2;2;0;0;0;3;0;1;0;0;0;1;0;0;1;2;0;4;1;0;0;0;0;1;0;1;1;2;0;3;1;2;0;0;1;1;0;1;2;0;0;0;1;0;0;0;1;0
;;12;Spekreijse-Deijs, M.;25;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;0;1;0;0;0;1;0;1;2;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0
;;13;Mars, C.W.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1
;;14;Zytkiewicz, W.;31;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;5;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;0;2;0;1;2;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;1
;;15;Fiolet, E.A.;31;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;2;0;0;2;3;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0
;;16;Al Haj Saleh, K.;68;0;0;1;0;0;0;0;2;0;1;0;2;0;0;1;0;0;0;0;2;1;0;0;1;4;2;2;1;0;2;2;2;0;2;0;3;8;1;4;0;0;1;1;2;0;1;0;0;0;0;2;0;0;1;0;0;0;1;0;2;1;0;0;0;1;1;1;0;1;3;0;0;3;0;2;0
;;17;Borsboom, M.L.G.;14;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0
;;18;van der Tol, M.W.M;22;0;2;1;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Arshad, R.W.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;1;0
;;20;Dijkhuis, K.E.;22;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;21;van Hengel, W.;8;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;22;van der Salm, Y.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;23;Gips, L.;20;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
;;24;Vessies, A.E.;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
;;25;Roza, A.I.;28;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;2;0;0;0;0;1;1;0;2;2;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0
;;26;Yula, D.;86;0;0;0;0;1;0;1;0;0;0;0;0;0;2;3;3;0;0;1;0;1;1;0;0;4;0;6;2;0;1;2;0;2;1;1;0;2;1;1;0;2;0;2;2;0;1;4;3;2;4;1;2;0;2;1;1;6;0;2;2;1;0;1;2;0;0;1;0;1;1;0;1;1;1;2;1
;;27;Hostmann, C.;56;0;0;0;0;1;0;0;2;0;0;1;1;0;2;1;0;0;2;2;0;0;4;1;0;6;0;0;0;1;2;0;0;2;1;1;0;0;0;0;2;0;0;0;1;0;1;0;0;1;3;4;0;0;3;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;4;0;0;0
;;28;van der Zeeuw-Koppert, M.C.J.;36;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;2;0;0;0;0;1;0;2;0;1;0;0;0;0;0;1;0;1;2;1;0;0;2;3;0;0;0;0;0;0;0;0;0;5;0;1;1;0;1;1;0;1;1;0;0;0;0;0;4;0;0;0;1;0;0
;;29;Groeneveld, J.W.;151;3;1;0;1;2;3;2;1;2;0;2;3;3;1;2;5;5;6;6;2;1;3;0;0;6;1;4;3;2;8;2;0;2;8;1;1;3;0;2;2;2;0;1;0;0;3;6;1;0;1;2;0;0;1;0;3;4;0;3;5;0;0;2;1;1;1;2;1;0;0;3;0;0;0;3;6
5;CDA;;;2655;51;27;48;24;40;27;48;16;9;28;23;19;45;25;60;35;82;22;48;18;21;40;27;35;65;14;80;45;27;16;34;15;40;33;19;32;28;33;54;85;28;25;33;60;43;81;85;54;17;27;39;28;0;72;38;48;37;24;37;23;8;0;44;21;17;30;20;34;23;44;27;23;49;16;19;43
;;1;ter Laak, I.;1988;44;17;39;18;33;21;35;14;7;25;17;18;33;19;55;30;49;16;34;14;19;33;24;13;37;9;54;34;21;12;27;11;34;25;13;22;15;27;44;66;19;18;26;43;41;56;63;42;9;19;31;20;0;50;28;38;26;15;31;20;6;0;37;15;7;18;14;25;15;36;24;19;38;13;14;34
;;2;Frinking, V.J.A.;98;2;2;1;2;1;2;1;0;1;1;0;0;0;1;1;0;7;0;3;0;0;1;2;1;1;1;5;1;2;0;3;0;3;2;1;1;1;0;0;5;1;1;0;1;0;1;4;0;1;2;1;2;0;4;0;4;2;1;1;0;0;0;3;0;2;3;0;2;1;0;0;0;2;0;1;3
;;3;Weekenstroo, D.;92;2;2;0;1;1;3;2;0;0;0;0;0;2;1;0;0;2;2;1;0;0;1;0;0;8;0;2;4;0;2;0;2;1;0;1;0;2;0;1;4;0;0;1;4;0;2;1;2;2;0;1;2;0;2;2;4;2;3;1;0;0;0;0;0;2;0;0;3;2;1;1;0;4;0;1;2
;;4;van Proosdij, A.R.;26;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;2;2;0;0;1;0;0;0
;;5;Hensen-Lok, C.D.;56;0;0;1;0;0;1;3;0;1;0;4;0;1;1;0;0;0;0;0;1;0;1;0;0;3;1;3;4;0;0;1;0;0;0;0;1;0;0;1;5;0;0;0;0;0;3;1;3;2;3;0;0;0;1;0;0;2;1;0;2;0;0;0;1;0;0;1;0;1;0;0;0;0;2;0;0
;;6;Hengeveld, H.P.P.;91;0;0;1;1;1;0;6;1;0;0;0;0;2;0;1;2;4;0;5;1;0;0;0;0;1;1;3;1;1;0;1;1;0;0;0;0;1;0;0;4;1;0;3;0;1;10;6;2;0;2;1;1;0;4;2;0;1;0;1;0;1;0;1;1;2;2;2;0;0;2;1;1;1;0;0;3
