Verkiezing;;Gemeenteraad Krimpen aan den IJssel 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Krimpen aan den IJssel;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0542;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis Krimpen aan den IJssel;Gymzaal Tuinstraat;Pannenkoe;Sionskerk;Immanuelkerk;Sociëteit Gouden Regen;Wijkcentrum De Sperwer;Basisschool Het Mozaïek;Kerk De Wingerd;Kinderboerderij Klein Boveneind;DCV Krimpen;Sportzaal De Populier;Comenius College;GBS Jacobus Koelman School;ckv KOAG-korfbalvereniging;Ontmoetingscentrum De Tuyter;Wijkcentrum Vijverhoek;De Bron;Raadhuis Krimpen aan den IJssel;Raadhuis Krimpen aan den IJssel;Wijkcentrum Vijverhoek;Wijkcentrum Vijverhoek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
Postcode;;;;;2922 AD;2921 XH;2923 AT;2922 EN;2924 VB;2923 EK;2926 TA;2925 BX;2925 CV;2924 AS;2921 AT;2925 CP;2922 BA;2925 VH;2922 CX;2922 VL;2923 TP;2923 XT;2922 AD;2922 AD;2923 TP;2923 TP
;;21;van Dam - Noorlander, L.;30;1;1;2;1;0;1;3;3;0;2;0;3;2;3;0;2;0;1;0;2;1;2
;;22;van der Heijden, C.F.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;23;Bernhard, W.L.;5;0;0;0;0;0;0;0;0;0;1;0;3;1;0;0;0;0;0;0;0;0;0
;;24;Kruis-van der Knaap, M.J.;19;3;0;0;0;2;0;1;2;0;1;0;1;3;0;0;3;0;0;1;2;0;0
;;25;Bernhard, H.;22;3;0;1;0;0;1;3;2;1;0;0;2;0;2;0;2;0;1;0;4;0;0
4;VVD;;;900;55;22;27;18;36;34;121;56;32;59;29;82;33;11;46;41;27;16;40;50;34;31
;;1;Timm, A.;596;39;15;15;16;26;20;81;35;18;40;20;56;22;5;30;34;16;10;28;32;20;18
;;2;Tollenaar, S.L.;142;6;3;6;1;6;7;19;9;4;10;5;11;7;5;5;3;7;0;7;8;5;8
;;3;van der Meulen, M.P.J.;71;3;1;4;1;2;3;8;8;5;4;0;7;0;1;4;1;1;3;2;8;4;1
;;4;Nieuwhof, P.;19;1;2;0;0;0;0;3;1;1;1;0;4;1;0;3;0;0;0;2;0;0;0
;;5;Winnubst, M.E.;19;1;0;2;0;0;0;3;0;4;1;2;1;0;0;0;0;2;0;0;0;1;2
;;6;Slot, J.J.;13;1;0;0;0;0;2;3;0;0;0;2;2;0;0;2;0;1;0;0;0;0;0
;;7;van den Bos, V.;19;0;0;0;0;1;2;3;3;0;0;0;1;0;0;2;1;0;2;0;2;0;2
;;8;Baltissen, M.G.E.M.;21;4;1;0;0;1;0;1;0;0;3;0;0;3;0;0;2;0;1;1;0;4;0
5;CDA;;;843;44;23;24;38;26;38;97;47;21;62;12;74;28;31;40;68;24;41;32;35;16;22
;;1;Miedema, G.J.;438;26;7;20;22;20;20;40;22;8;26;7;39;16;14;17;39;13;22;20;19;10;11
;;2;de Vries, J.E.;57;3;3;0;5;1;3;13;3;2;2;0;1;6;2;3;1;2;2;2;2;1;0
;;3;Slappendel, F.E.;59;2;1;0;4;1;2;7;1;1;15;0;6;1;5;3;4;0;0;2;2;2;0
;;4;Slingerland, J.J.;24;1;1;0;1;0;0;3;8;0;1;2;2;1;0;0;1;0;2;0;1;0;0
;;5;van Cappellen - Mensink, H.P.;103;7;6;2;4;1;6;14;1;3;7;0;9;1;6;3;10;3;6;5;4;1;4
;;6;Verhagen, R.T.;15;0;0;0;0;0;1;1;0;1;2;0;4;0;1;1;1;2;0;0;0;0;1
;;7;Tempel, W. J.;12;0;1;1;1;0;0;2;0;0;1;0;1;0;0;1;0;0;0;1;1;0;2
;;8;Dumoulin, S.A.A.J.;24;0;1;0;0;0;2;0;4;1;4;0;2;0;0;1;1;0;3;1;1;1;2
;;9;van Dalen, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
;;10;Lindeman-Stornebrink, C.J.R.;11;1;0;0;0;0;0;0;3;1;0;2;0;0;0;0;0;1;1;1;1;0;0
;;11;Tissink, G.T.;18;1;0;0;0;1;0;4;3;0;1;0;0;1;2;0;4;0;0;0;1;0;0
;;12;Wierenga - Posthumus, T.;11;2;0;0;0;0;1;1;1;0;3;0;0;0;0;0;2;0;1;0;0;0;0
;;13;de Gruijl, F.;7;0;1;0;0;0;1;1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0
;;14;van Wijk, A.H.;8;0;0;1;0;0;1;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0
;;15;Kuijt, M.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Snoeij, C.J.;15;0;0;0;0;0;0;6;0;2;0;0;0;0;0;2;2;1;1;0;0;0;1
;;17;Waaijer, P.J.;10;0;1;0;0;0;0;0;0;0;0;0;5;0;0;2;2;0;0;0;0;0;0
;;18;van der Niet, J.;5;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
;;19;Moerland, P.J.;9;0;1;0;0;2;0;0;0;1;0;0;1;0;0;2;0;0;0;0;2;0;0
;;20;de Leeuw, A.J.;13;0;0;0;0;0;1;3;0;0;0;1;0;2;1;3;1;0;1;0;0;0;0
6;ChristenUnie;;;1029;65;41;30;96;60;39;101;102;20;43;14;48;51;25;34;46;30;29;51;61;14;29
;;1;Cornet, R.C.;564;27;28;19;58;32;22;58;50;9;23;9;29;26;10;12;26;14;20;35;27;9;21
;;2;de Graaff, M.;147;5;2;3;7;18;7;16;19;1;8;2;7;5;5;8;5;9;1;2;11;2;4
;;3;Ponne, R.J.;50;5;1;1;7;2;0;10;6;0;3;1;2;5;1;1;2;1;0;1;0;1;0
;;4;Nobel, R.T.;42;11;1;2;10;0;4;2;2;0;0;1;0;4;0;0;1;0;0;3;1;0;0
;;5;Boele, J.R.;8;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;2;2;0;0;0;0
;;6;de Rooij, C.J.;126;11;3;3;7;6;5;7;8;2;4;1;7;9;6;8;5;2;5;9;12;2;4
;;7;Oosterhoff, M.A.;21;1;0;0;0;1;0;0;8;5;3;0;0;1;0;0;0;0;0;0;2;0;0
;;8;Amoureus, R.;7;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0
;;9;Kamsteeg, A.T.;8;0;0;0;0;0;1;2;0;2;1;0;0;0;0;0;0;1;0;0;1;0;0
;;10;Quist, P.G.;8;0;0;0;4;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0
;;11;Padmos, M.;37;2;3;0;3;1;0;4;5;1;0;0;3;1;2;3;6;1;0;0;2;0;0
;;12;van Bennekom, R.B.;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;13;Cornet, M.W.;7;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0
7;Partij van de Arbeid (P.v.d.A.);;;780;42;13;22;24;38;22;59;57;17;64;24;71;26;33;28;48;15;38;50;41;24;24
;;1;Derickx, C.L.;434;19;4;12;12;14;14;36;33;12;31;17;42;19;17;12;24;8;22;35;26;12;13
;;2;van Geelen, C.;31;2;0;3;1;0;0;4;1;0;2;1;2;1;2;1;3;0;3;1;1;2;1
;;3;de Gelder, P.J.;149;9;6;0;5;10;5;9;11;0;24;3;8;1;2;5;17;2;6;9;7;6;4
;;4;Derickx, S.F.J.;16;2;0;0;0;0;0;1;3;1;0;1;3;0;0;0;1;1;0;0;2;1;0
;;5;van Felius, C.;9;1;0;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1
;;6;Butter, S.G.C.;25;1;2;2;0;1;0;3;2;2;0;0;2;1;0;1;1;0;2;1;0;2;2
;;7;Taraki, A.R.;10;1;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;2;0;0;2;0;0
;;8;Drijver, F.;8;0;0;0;2;0;0;0;1;0;0;1;0;0;2;1;0;0;0;0;0;0;1
;;9;van den Berg, H.P.;9;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;2;1;1;1;0
;;10;van Kreuningen, J.;20;1;0;0;0;8;0;0;5;0;0;0;2;1;1;1;0;0;0;0;0;0;1
;;11;Stam, J.H.;12;1;0;1;0;0;0;2;0;0;1;0;1;2;0;2;0;0;0;2;0;0;0
;;12;Bakker, I.J.;15;1;0;0;0;1;0;2;1;0;1;0;2;0;3;2;0;1;0;1;0;0;0
;;13;Butter - Ros, N.C.;13;1;0;2;1;1;0;0;0;1;1;0;0;0;4;1;1;0;0;0;0;0;0
;;14;Speelman, M.E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;15;van Rijn - Vellekoop, L.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;16;Jorna, G.;4;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
;;17;Hofs - van Wensveen, E.H.J.;5;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0
;;18;Blankenberg, J.H.;16;1;0;2;0;2;2;1;0;1;2;0;4;0;1;0;0;0;0;0;0;0;0
8;D66;;;499;29;13;17;14;24;24;46;26;13;37;2;48;17;14;17;24;18;15;32;37;15;17
;;1;Neeleman, A.J.C.;217;12;4;5;4;9;12;16;12;9;19;2;20;6;7;4;12;6;3;21;19;9;6
;;2;van den Brink, C.;25;1;1;0;1;0;0;1;1;0;7;0;4;2;0;1;2;1;1;1;0;0;1
;;3;Mastenbroek, A.;157;7;4;9;5;10;10;16;9;4;9;0;12;7;4;2;8;8;4;6;13;3;7
;;4;Köster, L.;18;0;1;0;0;2;0;3;1;0;0;0;4;0;1;3;1;0;0;0;1;0;1
;;5;de Vries, P.;10;2;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;3;0;0;1;0
;;6;Neeleman-Malawau, M.E.I.;50;7;2;3;4;2;1;4;2;0;1;0;3;2;0;7;1;2;1;3;3;1;1
;;7;Slingerland, J.;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;8;Bos, J.A.;6;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;1;0;0
;;9;van Duijl, W.A.;7;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;1;0
;;10;van Ombergen, R.M.;7;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
9;Krimpens Belang;;;1432;74;36;36;44;76;53;130;87;55;137;45;181;37;43;44;55;46;48;54;88;17;46
;;1;Bijl- van Schooten, S.M.;642;27;16;21;24;34;38;60;39;21;69;15;76;10;20;17;21;22;20;24;39;8;21
;;2;Plaisier, S.I.A.;115;7;4;1;3;12;1;13;8;2;5;5;14;8;1;2;4;4;4;5;8;1;3
;;3;Bijl, E.J.;56;3;1;2;0;2;1;0;2;1;18;2;4;3;2;0;2;0;1;3;4;2;3
;;4;van de Water, J.;71;3;0;2;0;1;0;8;4;20;4;6;14;0;0;2;1;0;0;3;1;2;0
;;5;Snel, F.A.;46;3;0;0;2;4;2;2;5;0;1;1;2;4;4;2;4;1;2;3;2;1;1
;;6;Burghoorn, J.;26;0;0;1;2;0;2;2;0;0;2;0;7;0;0;0;0;1;5;1;1;0;2
;;7;Mul, S.R.;112;6;4;2;3;7;1;11;7;1;14;4;21;7;4;6;1;5;5;0;3;0;0
