Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;OBS Nicolaas Beets;Amicitia;Wijkcentrum Het Oude Raadhuis;Wijkcentrum Oud Rijswijk;Sportcentrum De Schilp;Woonzorgcentrum Vredenburch;speeltuinvereniging Inter Amicos;Amateurspalet;Stadhuis;Belvédère Rijswijk;De Rijswijkse Schouwburg;Nieuwe Kerk;Informatiecentrum in de Bogaard;Sportcentrum De Schilp;Centrum voor Jeugd en gezin;Basisschool Steenvoorde (gymzaal);Basisschool Wethouder Brederode;Petrusschool;Basisschool Het Kristal;Stervoorde;Gemeenschappelijke ruimte  t Hoekje;CBS Melodie;Buurthuis De Drassige Driehoek;Kunstgebouw;Bibliotheek Rijswijk;Rijswijks Lyceum;Best Western;Groepswonen voor Ouderen;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Montessorischool Parkrijk;Informatiecentrum RijswijkBuiten
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;22;24;25;26;28;30;32;43;44;50;51;52;54;60;61;62;64;65
Postcode;;;;;2281 TH;2281 GA;2282 AL;2282 RZ;2285 SP;2282 SK;2282 KV;2282 HM;2284 DP;2283 XM;2283 GM;2284 EH;2284 DE;2285 SP;2285 XM;2285 VD;2286 MV;2286 RL;2286 GE;2286 BA;2286 GA;2287 BS;2288 CN;2289 BE;2288 AG;2284 GA;;2287 EE;2286 KC;2281 GA;2284 DP;2285 SP;2286 KC;2281 GA;2284 DP;2285 SP;2288 HR;2286 KC
;;5;Oude Alink, L.B.;218;26;17;11;17;2;0;7;10;0;7;14;3;1;5;0;1;5;1;0;2;1;2;12;11;1;4;1;2;16;7;2;2;0;10;4;6;6;2
;;6;de Bruijn, L.S.;129;7;7;6;8;2;0;7;5;6;3;2;1;0;2;3;5;0;1;0;0;2;0;9;13;3;0;2;1;10;4;4;0;1;7;3;1;2;2
;;7;van den Bosch, T.C.;11;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;8;Franck-de Ruyter, I.M.;62;3;3;2;6;0;0;4;4;0;1;5;1;1;2;3;0;0;5;0;1;1;2;2;1;1;0;0;0;7;1;0;0;1;1;0;1;3;0
;;9;Hoogland, B.;20;0;0;1;1;0;0;1;1;1;0;2;0;0;0;0;1;1;1;1;1;2;0;1;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0
;;10;Smith, W.;28;0;3;0;10;0;0;0;1;0;5;0;3;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;11;Taal, M.D.;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;5;2;1;0;2;0;0;0;1;3
;;12;Schilperoort, B.I.;46;7;5;2;2;0;0;0;1;1;1;2;0;0;2;0;0;0;2;0;0;0;0;2;0;1;0;2;0;4;1;1;0;0;7;0;1;2;0
;;13;Weststeijn, J.H.A.;18;3;0;1;2;0;0;1;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;1;0;2;0;0
;;14;Arts, P.J.T.;15;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0;0;1;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0
;;15;Alberts, M.;58;5;3;3;0;1;0;2;4;1;1;7;1;0;0;0;0;0;1;0;1;0;0;8;2;3;1;2;1;1;0;1;0;1;1;2;1;2;2
;;16;Marck, J.A.;14;0;3;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
;;17;Turabaz-Borsboom, M.;157;20;12;8;24;2;0;9;6;2;1;3;6;0;8;2;3;2;0;2;0;1;1;8;3;4;0;1;0;9;4;2;0;3;7;2;2;0;0
3;VVD;;;2190;68;157;76;136;80;2;84;38;67;56;73;83;13;74;21;20;58;45;21;106;25;35;22;87;43;28;14;35;132;71;64;47;25;77;68;53;48;38
;;1;Sleddering, C.G.;1270;30;85;46;83;67;2;32;17;29;36;46;54;4;47;15;14;35;23;11;70;15;21;15;46;22;19;8;27;61;48;43;36;12;42;39;35;22;13
;;2;Oelen, U.H.;69;1;9;3;4;1;0;2;2;2;2;3;2;0;1;0;1;3;1;0;5;0;4;0;3;1;0;0;0;1;3;0;1;2;3;3;0;3;3
