Verkiezing;;Gemeenteraad Dordrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dordrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Stadskantoor;Dordrechts Museum;Energiehuis;Centraal Station  Portacabin op bordes;Wooncentrum Schouwstock;Gebouw De Driesprong;Zorgcentrum De Linde;Pinkstergemeente Het Keerpunt;Dordtse Vrije School;Gymzaal Dintelstraat;Wijkcentrum De Koloriet/Kleurrijk;Het Waterwiel;Speeltuin Zeehavenkwartier;Wijkcentrum De Admiraal;Wooncentrum Watersteijn;Postillion Hotel;Trefpunt de Nieuwe Stoof;Gymzaal Deetoshal bureau 1;Gymzaal Deetoshal bureau 2;Cultureel Centrum Sterrenburg;Albert Schweitzerziekenhuis  Dordtwijk;Verpleeghuis De Sterrenlanden;Portacabin Eulerlaan;Gymzaal Ockenburg;Ontmoetingskerk  bureau 1;Verzorgingshuis Dubbelmonde;Hotel De Watertoren;Lucina Verloskundigenpraktijk;Wielborgh  Het Polderwiel;Kandelaarkerk;Speeltuin Stadspolders;Gymzaal  bureau 1;Gymzaal  bureau 2;Het Sinterklaashuis;Gymzaal Van den Broek-Erf;Grote Kerk;Wilhelminakerk  bureau 1;Kerk De Bron;Portocabin;Zwembad/ijsbaan;Theater Inter Amicos;Wilhelminakerk  bureau 2;Jubal Muziek Centrum  bureau 1;Jubal Muziek Centrum  bureau 2;Basisschool Wantij  bureau 1;Basisschool Wantij  bureau 2;Julianakerk  bureau 1;Julianakerk  bureau 2;School Brouwersdijk;Apostolisch genootschap;Portocabin;De Zuidhovenkerk;Gymzaal Atmosfeerstraat;Gymzaal De Weegschaal;Gymzaal Sandenburg;Ontmoetingskerk  bureau 2;Gymzaal Heimerstein;Evangelische Gemeente Jozua;Gymzaal Van Schendelstraat  bureau 1;Deltahal  bureau 1;Deltahal  bureau 2;Gymzaal Van Schendelstraat  bureau 2;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren
;;12;Peters, H.P.;135;1;4;0;1;1;2;4;0;2;1;0;0;0;0;0;2;0;1;0;0;8;4;0;9;1;1;0;8;2;0;2;7;0;0;2;9;0;1;1;3;3;0;0;0;2;1;1;0;0;1;2;0;1;6;0;2;4;2;0;0;2;9;3;0;1;1;1;0;0;0;4;3;3;2;0;0;0;0;4
;;13;Hermann, K.;15;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;14;Goudriaan, R.;13;0;3;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;15;van Benthem-den Bakker, J.L.M.;34;4;0;1;0;0;0;2;0;2;0;0;0;0;0;1;2;2;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0
;;16;Vermeulen, D.E.;24;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;0;1;3;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;17;Lu, D.;22;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
;;18;Bürmann, J.H.;6;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Veenhuizen-Struijs, H.B.;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;20;Vervaet, E.C.L.C.;9;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;Boon, R.C.;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;1;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;22;Kila, F.;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;23;de Gast, T.A.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;2;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;24;Mol, J.W.A.;6;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Broekhuizen, A.E.A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Willigen, A.M.L.;17;3;1;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1
;;27;de Bruijn, R.J.;10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Engelberts, J.E.C;10;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Koster, E.L.;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Kooijman, R.H.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;31;Martens, R.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;7;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;32;de Bruin, M.G.G.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;Krot, H.M.;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Peltenburg, M.J.;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Peters, D.A.W.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;36;Pols, D.;8;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Rakhorst, J.C.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;38;van de Lagemaat, D.J.;10;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Roggekamp, F.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Valkman, R.F.J.M.;16;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van Beek, D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Visser, F.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;43;Bauer, I.;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
;;44;van Heijningen, F.D.;38;2;2;0;1;1;1;1;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;2;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;2
3;CDA;;;3761;83;47;39;60;36;34;98;3;40;61;18;19;3;1;40;48;18;44;16;17;176;11;5;77;31;92;42;141;55;8;61;53;23;20;26;63;65;31;113;46;38;18;42;21;26;16;21;38;38;42;47;32;75;59;40;30;84;71;13;68;90;92;85;59;76;31;31;21;17;11;115;65;91;32;25;40;27;26;144
;;1;Heijkoop, P.J.;2706;64;31;21;35;29;23;72;1;30;38;15;16;3;0;26;36;13;26;11;10;147;7;4;60;20;72;37;102;41;3;45;37;15;12;21;44;41;23;84;32;25;13;25;14;18;11;11;30;22;31;23;22;59;51;32;21;63;45;11;53;62;68;56;45;58;25;13;19;12;9;83;48;70;23;21;30;20;19;98
;;2;van Dam-Timmers, C.J.;81;4;2;0;3;2;1;0;0;1;1;0;1;0;0;0;0;1;1;0;2;2;1;0;1;3;3;0;1;0;2;1;1;0;0;0;1;1;1;0;0;1;0;0;0;2;0;2;1;0;3;3;0;0;0;2;0;1;3;0;0;2;1;2;0;2;3;1;0;0;0;5;2;3;1;0;1;0;0;3
;;3;van Vugt-Roose, J.F.;344;5;9;8;8;2;2;13;1;4;14;2;0;0;0;3;3;0;4;0;1;9;0;1;12;3;6;1;16;6;1;3;7;1;5;3;4;7;3;9;7;5;0;6;2;2;0;1;2;8;3;7;7;4;3;2;2;8;9;1;4;4;8;7;5;3;0;11;1;1;0;8;3;5;2;4;4;6;2;11
;;4;van der Kruijff, W.;132;0;0;1;2;1;0;0;0;0;3;0;0;0;0;4;7;0;2;0;1;1;0;0;1;0;2;0;4;2;2;3;2;3;2;0;5;2;0;11;0;2;0;2;1;0;0;0;0;1;0;1;0;7;0;3;4;3;1;0;1;7;6;4;2;4;0;2;0;1;0;5;0;3;4;0;0;1;1;5
;;5;Klerk, A.;28;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;1;0;2;1;0;1;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1
;;6;Oostenrijk, T.C.;59;2;0;2;3;0;4;3;0;0;0;0;0;0;0;0;0;2;0;1;0;0;1;0;1;0;3;1;2;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;3;5;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;1;3;0;2;0;0;1;0;1;7
;;7;Doeze Jager, S.B.;110;1;1;2;1;1;0;2;0;1;0;0;1;0;0;2;2;0;0;1;1;2;1;0;0;1;1;1;11;2;0;2;2;1;0;0;3;2;2;1;1;1;1;2;0;1;0;0;0;0;3;3;0;0;0;0;0;3;2;1;5;3;5;11;1;3;0;0;0;0;0;5;0;3;0;0;0;0;0;8
;;8;van Wenum, E.C.;31;1;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;3;1;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;2;0;2;1;0;0;0;0;0;1;0;0;3;0;1;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0
;;9;Remijn, M.C.;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;10;van den Berg, C.F.A.;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;11;Wagemakers, M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;12;van den Aardwegh-van Leeuwen, J.;38;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;1;1;0;0;1;0;0;1;2;1;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;2;0;3;1;1;0;0;2;0;1;1;0;0;1;0;1;0;0;1;0;0;4
;;13;Mans, F.;12;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;14;van Dijl, T.L.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van Zweeden-de Visser, J.W.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0
;;16;Appelman, E.S.P.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;van Dam-Timmers, T.;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
;;18;Hol, D.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2
;;19;van der Zeijden, D.;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Stapel, J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;21;Dillingh, P.F.;23;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2;1;0;0;0;0;3;1;0;0;0;2;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;1;0
;;22;Oostenrijk-Baron, T.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;23;van de Weg, G.S.;8;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;24;Riet, F.;20;0;0;0;5;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;25;Lokhorst, J.A.;11;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
;;26;Stapel, C.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;27;Nugteren-Hubers, S.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;28;Veldhuijzen, M.L.;6;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Rovers, C.J.;26;3;2;0;0;0;0;1;0;2;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
;;30;van Steensel, D.A.;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;31;van de Burgt, E.;30;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;3;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;1;0;0;0;0;0;1;0;1;0;0;2;0;1;0;0;1;0;0;0;0;0
4;GROENLINKS;;;5806;289;155;189;300;177;57;354;2;76;188;37;65;2;2;53;35;17;53;23;16;113;21;6;94;41;94;13;117;89;4;91;72;32;39;122;73;148;66;80;80;46;67;93;26;37;30;29;63;105;88;49;74;54;39;46;45;76;63;7;47;47;46;64;145;63;14;68;30;19;15;65;219;95;30;102;50;40;29;96
;;1;van Benschop, C.C.;3021;156;80;89;110;87;27;182;2;38;105;15;22;2;0;25;28;8;27;14;10;62;15;5;59;20;63;11;75;61;0;56;27;19;20;70;42;73;34;45;48;33;36;54;11;18;11;13;19;32;32;30;36;28;24;28;21;49;42;4;27;32;23;33;75;37;9;30;15;6;9;40;104;52;18;48;24;11;14;61
;;2;Burakçin, M.Ö.;459;14;5;12;80;6;2;34;0;5;3;10;18;0;0;3;1;2;6;0;0;6;2;1;4;1;6;0;2;3;0;4;4;2;1;6;3;4;6;4;5;1;3;4;1;1;0;2;14;21;10;1;7;3;2;2;1;4;0;0;0;2;2;0;20;4;0;14;3;6;2;0;26;6;0;12;7;8;3;2
;;3;van der Meer, F.B.L.;147;7;3;2;10;5;3;8;0;1;6;1;0;0;0;0;0;0;1;0;0;3;1;0;0;3;2;1;6;1;0;2;1;0;0;5;3;1;1;1;1;0;2;4;0;2;0;1;3;0;0;0;4;1;0;1;3;0;0;0;3;0;1;1;6;1;0;9;1;0;0;3;7;1;0;7;0;2;0;5
;;4;van Engelen, Y.;860;33;22;37;36;42;9;46;0;13;22;3;8;0;0;9;3;3;12;4;1;6;1;0;17;9;10;1;15;11;2;13;14;4;7;14;11;38;10;19;9;7;11;13;5;7;2;6;4;13;15;8;10;7;5;4;12;11;10;0;10;7;14;11;10;6;4;7;4;5;1;6;38;14;9;17;9;8;1;15
