Verkiezing;;Gemeenteraad Bodegraven-Reeuwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bodegraven-Reeuwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Meent;bij Everts;De Doortocht;Dienstencentrum 'Rijngaarde';Voetbalvereniging ESTO;sporthal 'De Sporthoeve' Hal 1;sporthal 'De Sporthoeve' Hal 2;'Hollandse Boerderij';'t Wierickehuis;Dorpshuis Custwijc;Huiskamer van Waarder;Dorpshuis De Kaag;Zalencentrum De Brug Zaal 1;Zalencentrum De Brug Zaal 2;Consistorie NH-Kerk;Sporthal de Meerkoet Hal 1;Sporthal de Meerkoet Hal 2;Gemeentehuis maandag;sporthal 'De Sporthoeve' maandag;Dorpshuis Custwijc maandag;Zalencentrum De Brug maandag;Gemeentehuis dinsdag;sporthal 'De Sporthoeve' dinsdag;Huiskamer van Waarder dinsdag;Zalencentrum De Brug dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;201;207;211;214;301;307;312;314
Postcode;;;;;2411 BD;2411 VV;2411 CV;2411 DS;2411 EV;2411 LL;2411 LG;2411 LG;2411 PK;2415 AW;3465 KG;3466 LN;2811 LE;2811 CA;2811 CA;2811 GC;2811 BM;2811 BM;2411 BD;2411 LG;3465 KG;2811 CA;2411 BD;2411 LG;3466 LN;2811 CA
;;16;Joustra-de Wilde, L.;10;2;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;1;0;0
;;17;de Waardt, T.;14;0;0;1;0;0;1;0;0;0;1;0;0;2;3;1;0;2;1;0;0;0;0;0;0;0;2
;;18;Vos-Heikens, E.E.;36;0;1;0;0;2;0;0;0;0;0;0;0;4;11;4;0;1;0;0;0;0;4;1;0;0;8
2;CDA;;;2957;163;113;128;146;144;93;92;70;91;283;232;165;173;114;106;51;48;55;99;64;48;80;104;92;58;145
;;1;Vergeer, J.A.;1065;73;58;66;73;87;61;56;39;45;33;37;37;46;26;21;17;8;11;48;38;5;16;50;64;10;40
;;2;Kasius-Krist, M.C.;415;12;5;13;11;8;1;6;9;5;8;128;78;4;8;5;1;3;4;3;3;27;10;9;6;38;10
;;3;de Heij, N.A.V.C.;206;4;1;2;2;2;0;0;1;0;1;0;0;67;23;16;9;8;10;1;0;1;22;2;0;0;34
;;4;van Rooijen, J.C.H.;304;2;3;2;1;3;1;1;0;1;206;7;15;0;2;0;0;0;0;8;0;0;0;4;0;1;47
;;5;van Meijeren, R.P.;52;4;7;2;4;9;1;4;2;0;5;1;1;1;0;0;0;0;0;3;2;1;0;1;4;0;0
;;6;Knol, D.J.;104;3;1;2;1;5;1;0;2;2;2;2;0;27;7;9;7;3;1;3;4;0;7;2;2;0;11
;;7;Bulk, E.J.;66;7;3;5;3;7;3;6;0;14;0;2;2;1;0;1;0;0;0;1;2;1;0;4;2;1;1
;;8;de Feijter, A.J.;81;12;7;6;11;3;2;6;3;12;1;0;0;4;1;0;0;0;0;4;3;0;0;4;1;1;0
;;9;Möckelmann, E.D.;180;4;0;2;1;0;0;0;0;0;0;0;0;5;36;46;15;20;27;0;0;0;22;2;0;0;0
;;10;van Veen, A.G.;77;8;3;1;14;5;2;0;1;2;8;8;1;5;1;1;0;0;1;4;0;0;1;7;3;0;1
;;11;Dijk, P.H.E.;31;2;3;2;3;3;4;1;2;0;0;0;0;0;0;0;0;0;0;5;1;0;0;4;1;0;0
;;12;van der Haas, J.P.;5;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;van Os, B.J.;14;0;0;4;0;0;1;0;0;1;0;2;3;0;1;0;0;0;0;0;0;0;0;1;0;1;0
;;14;de Koning, G.;45;0;0;0;0;0;0;1;0;0;0;25;8;0;0;0;0;0;0;1;0;8;0;0;0;2;0
