Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bibliotheek Nieuwstraat;Lokhorstkerk;Erfgoed Leiden en Omstreken;Academiegebouw;Herengrachtkerk;Marekerk;Waalse Kerk;COC Leiden;Museum De Lakenhal;MBO Rijnland Storm Buysingstraat;Huis van de Buurt Morschwijck;ROC Mondriaan;Het Waterland;Leidse Reddingsbrigade;Speeltuin Rondom de Maredijk;Studio Moio (De Rondedans);Theehuis Tuin van Noord;Huis van de Buurt Het Gebouw;Huis van de Buurt De Kooi;Speeltuin Ons Eiland;Huis van de Buurt Matilo;Stedelijk Gymnasium Athena;Basisschool Sint Joseph;Vredeskerk;Petruskerk;Llokaal;Speeltuin Zuiderkwartier;Basisschool Er-Risèlèh;Speeltuin Westerkwartier;Basisschool Leimundo;Rosenburch;Korfbalvereniging KZ Danaïden;Schoolgebouw Noachstraat;Basisschool de Astronaut;Speeltuin Prinses Beatrix;De Pelgrim;Huis van de Buurt Op Eigen Wieken;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Huis van de Buurt Stevenshof;Gymzaal Basisschool De Stevenshof;Sociëteit De Dobbegaarde;Basisschool De Arcade;Stadskantoor (Achterzijde Centraal Station);Centraal Station;Lokhorstkerk;Herengrachtkerk;Bibliotheek Nieuwstraat;Bibliotheek Nieuwstraat;Huis van de Buurt Morschwijck;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Gymzaal Basisschool De Stevenshof;Herengrachtkerk;Herengrachtkerk;MBO Rijnland Storm Buysingstraat;MBO Rijnland Storm Buysingstraat;Leidse Reddingsbrigade;Leidse Reddingsbrigade;Huis van de Buurt Het Gebouw;Huis van de Buurt Het Gebouw;Speeltuin Zuiderkwartier;Speeltuin Zuiderkwartier;Korfbalvereniging KZ Danaïden;Korfbalvereniging KZ Danaïden;Huis van de Buurt Op Eigen Wieken;Huis van de Buurt Op Eigen Wieken;Sociëteit De Dobbegaarde;Sociëteit De Dobbegaarde;Centraal Station;Centraal Station
Gebiednummer;;;;;1;2;3;5;8;10;11;12;13;15;16;17;18;19;20;22;23;24;28;29;30;32;33;34;35;37;38;40;42;44;45;46;48;49;50;51;52;54;56;58;60;62;64;66;99;100;102;108;114;115;116;154;156;158;162;814;815;1514;1515;1914;1915;2414;2415;3814;3815;4614;4615;5214;5215;6414;6415;10014;10015
Postcode;;;;;2312 KB;2311 SV;2311 PZ;2311 GJ;2312 LE;2312 GS;2311 CS;2312 NW;2312 RA;2332 VW;2332 JC;2332 AA;2334 EM;2334 CC;2316 VP;2316 NZ;2316 EP;2315 VA;2315 CD;2315 TL;2314 XH;2313 EP;2313 JE;2313 GG;2313 DM;2321 KS;2313 XA;2313 AB;2321 AW;2321 TA;2321 RB;2321 CC;2324 LT;2324 ER;2324 CX;2324 DR;2317 AN;2318 TJ;2317 VX;2317 ST;2331 GW;2331 DV;2331 ML;2314 BN;2333 CW;2312 AJ;2311 SV;2312 LE;2312 KB;2312 KB;2332 JC;2318 TJ;2317 VX;2317 ST;2331 DV;2312 LE;2312 LE;2332 VW;2332 VW;2334 CC;2334 CC;2315 VA;2315 VA;2313 XA;2313 XA;2321 CC;2321 CC;2317 AN;2317 AN;2331 ML;2331 ML;2312 AJ;2312 AJ
;;21;Grent, L.C.B.;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;van Nijnanten, M.T.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;'t Hart, J.M.;10;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;24;Provoost, L.J.;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Kok, A.K.;10;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;26;de Haan, J.J.;13;0;0;0;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;27;Hendriks, E.P.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Sandick - Sopers, M.A.C.M.;26;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;2;1;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;1;1;0;1;0;0;0;1;0;0;0;1
;;29;van Vliet, C.;11;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Storm, R.J.;17;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;2
6;Partij voor de Dieren;;;4948;154;53;113;149;57;120;71;62;106;61;53;83;24;59;61;58;87;47;53;59;101;149;105;153;102;126;32;76;69;49;83;32;45;37;40;55;35;45;77;80;98;33;47;48;78;148;25;57;110;137;31;65;59;57;36;62;90;45;57;30;32;33;43;50;62;27;51;32;48;48;31;52;105
;;1;van Schaik, M.;2638;78;25;66;67;19;56;34;21;40;38;30;38;10;30;36;36;43;16;29;32;60;86;72;90;58;56;18;40;36;33;49;18;21;20;26;30;18;25;44;47;63;24;35;37;26;66;4;28;48;63;19;40;31;34;30;31;43;28;26;20;18;16;25;32;33;18;25;17;30;31;19;33;54
;;2;Delver, L.M.;675;17;7;12;16;11;14;12;12;19;8;5;8;5;5;10;7;12;8;7;4;6;19;12;30;11;14;2;13;7;7;4;7;7;10;3;13;4;10;13;9;9;3;4;3;12;20;2;10;29;16;2;13;13;7;1;9;12;4;11;2;6;6;7;6;8;3;11;7;5;8;5;5;16
;;3;van der Kaap, H.;90;5;1;3;3;3;2;0;1;5;1;0;2;0;0;1;1;1;3;1;0;4;3;2;1;2;2;1;1;1;0;0;0;2;0;0;0;0;3;4;2;3;0;0;1;1;3;0;0;2;1;1;0;0;2;0;0;3;0;0;0;1;1;2;0;0;1;1;0;2;1;2;0;1
;;4;Raat, L.;492;13;6;15;14;12;13;2;9;16;3;6;23;3;8;3;6;10;7;9;12;3;15;7;5;10;13;0;6;4;4;4;2;4;3;4;7;5;1;7;5;10;2;1;2;11;18;4;6;11;22;0;1;2;9;1;6;13;6;11;3;2;4;4;2;5;2;6;3;3;3;3;3;14
;;5;Jones, M.G.;394;16;3;6;21;5;11;6;11;15;3;3;4;4;4;7;2;12;9;5;6;7;10;3;7;7;19;1;4;6;3;7;1;3;2;0;2;4;0;3;8;2;1;4;2;12;13;6;4;9;14;4;4;5;2;0;6;14;3;3;2;0;1;1;3;8;0;1;3;3;0;1;5;8
;;6;Meester, R.W.J.;110;2;2;2;2;0;5;2;1;0;4;1;2;0;0;0;1;1;0;2;1;4;3;0;9;3;2;0;1;4;1;4;2;4;0;2;0;0;3;3;1;4;2;0;1;3;0;1;0;0;2;0;5;3;0;1;3;0;1;0;1;0;1;2;0;1;0;0;0;3;2;0;0;0
;;7;van Gemeren, C.G.B.;163;4;4;4;5;2;8;7;3;2;2;3;1;1;1;3;2;0;0;0;0;3;2;1;1;3;8;3;4;4;0;5;1;1;0;2;0;0;1;1;1;2;0;0;1;3;19;2;3;5;6;0;2;0;0;0;2;2;1;1;0;1;2;2;4;1;0;1;1;0;1;0;1;7
;;8;Smit, W.M.;40;3;0;2;4;0;1;2;0;0;0;1;0;0;0;1;0;1;1;0;1;1;2;0;0;1;1;1;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1
;;9;Herman, K.A.;89;7;2;1;12;1;4;3;3;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;1;2;4;2;0;2;0;0;0;1;2;1;0;0;1;1;0;0;0;3;4;2;1;0;7;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;3
;;10;de Heer, N.J.E.;81;5;3;0;1;1;3;3;0;5;1;2;1;0;0;0;0;0;0;0;0;5;3;0;3;2;4;3;1;1;0;4;1;0;0;0;0;0;0;0;0;2;0;1;0;2;3;1;1;1;2;1;0;1;1;1;1;0;1;2;1;1;1;0;2;0;1;1;0;1;0;0;0;0
;;11;van den Doel, E.M.;24;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;1;3;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0
;;12;de Vos, D.M.;152;4;0;2;4;3;3;0;1;2;1;2;4;1;7;0;0;6;3;0;1;8;4;7;2;4;5;1;2;3;1;1;0;3;2;0;0;2;2;2;5;1;1;2;0;4;2;1;2;3;1;3;0;4;2;2;2;0;1;3;1;2;0;0;1;4;2;3;0;1;2;1;2;1
7;SP (Socialistische Partij);;;2874;49;17;34;21;26;43;33;30;25;57;46;56;28;12;32;65;51;70;86;38;79;48;40;44;47;50;28;29;31;46;71;20;43;31;50;42;31;31;35;55;82;41;44;30;26;60;5;21;41;42;32;40;33;66;47;33;31;46;37;3;5;36;48;36;22;33;25;33;50;27;33;43;53
;;1;Theeuwen, A.H.L.;1269;13;3;12;7;10;16;8;15;10;13;19;25;22;6;7;26;22;36;41;22;31;14;19;14;20;11;14;12;16;14;43;13;21;18;22;21;12;17;14;34;44;20;20;12;11;24;2;7;17;15;15;28;18;28;27;17;13;23;14;1;1;16;22;20;9;13;13;10;30;9;19;17;21
;;2;van Halm, T.;94;5;0;1;1;0;1;0;0;1;4;1;1;0;0;2;3;2;1;3;0;3;1;0;0;1;3;1;0;1;4;2;0;1;0;2;0;0;0;0;0;4;1;2;1;0;2;1;0;0;0;0;1;0;5;1;0;1;2;0;0;0;3;10;1;2;0;0;5;0;2;2;2;1
;;3;Staarink, I.;563;11;5;9;6;6;8;6;4;5;13;10;12;5;1;11;7;9;5;16;9;25;19;5;13;10;13;2;6;4;14;8;2;5;8;11;7;5;6;8;10;12;11;7;7;2;15;1;5;10;8;8;7;5;14;5;4;4;9;10;1;1;5;2;8;5;8;4;10;9;3;6;8;10
;;4;Sauvé, A.W.;26;0;0;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;2;2;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
;;5;Rovers, T.A.M.B.;34;0;3;0;0;0;0;1;0;2;0;1;0;0;1;1;3;2;0;1;0;0;1;0;0;0;0;3;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;1;1
;;6;van Gelderen, R.A.;345;6;2;7;2;2;8;2;3;1;10;6;9;1;1;6;8;8;8;3;4;10;5;8;9;7;12;4;9;3;4;7;1;6;1;8;6;7;4;6;3;6;7;2;8;5;2;0;4;4;6;3;3;4;3;9;5;5;6;9;0;0;2;1;2;1;4;1;1;5;8;2;3;7
;;7;Haas, S.N.;56;2;0;0;3;1;2;5;1;0;3;1;0;0;0;0;0;0;3;1;0;2;0;0;0;1;0;0;0;0;2;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;2;0;1;2;0;1;0;0;4;0;1;2;0;0;0;0;0;0;1;0;0;1;0;0;1;1;2;2
;;8;Groennou, S.;11;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
;;9;van Walraven, M.;41;0;0;0;0;3;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;2;2;4;2;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;1;1;0;1;1;2;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;3;1;0;0;0;1;1
;;10;Kamran, M.;55;2;0;0;0;1;1;0;1;1;2;0;0;0;0;0;0;5;1;5;0;0;0;0;1;0;2;1;0;0;0;0;0;2;1;0;1;3;0;1;0;0;0;0;0;0;3;1;0;1;3;0;0;0;0;1;0;0;1;0;0;3;1;1;0;0;4;0;1;0;0;0;3;1
;;11;Dirks, J.S.;19;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;5;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;de Leeuw, E.E.;45;2;1;0;0;1;2;1;0;0;3;3;1;0;1;0;3;0;2;0;0;0;2;1;1;0;1;0;0;2;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;2;1;1;0;0;0;0;0;0
;;13;Verhasselt, E.A.W.;12;2;0;1;0;1;0;0;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;14;van den Berg, A.A.;24;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;3;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0;2;0;0;0;1;2;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;1
;;15;den Hartog  - de Wilde, R.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Elstgeest, A.;7;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;17;Wanga, N.A.C.;57;2;2;2;0;0;3;1;1;1;0;1;0;0;0;0;4;0;2;0;1;0;2;1;0;2;4;0;0;1;0;0;1;2;0;0;0;0;0;1;0;0;1;0;0;3;4;0;1;2;2;0;0;0;1;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3
;;18;van Wijk, J.T.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Steenbergen, R.W.A.;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;20;Marijt - Mergler, M.C.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0
;;21;Knol, J.J.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;22;Ghogli, R.C.;70;1;0;0;1;0;0;1;2;0;5;0;1;0;0;0;1;1;1;0;0;0;0;0;0;2;1;2;0;1;0;3;0;4;2;1;0;0;0;0;2;9;0;9;0;2;0;0;0;0;0;1;0;0;7;1;0;0;0;0;1;0;1;0;0;0;1;0;2;0;1;2;0;1
;;23;Azier, A.H.M.;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0
;;24;Berman, C.D.M.;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;25;Pelupessy, F.I.;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Bik, J.M.;10;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;27;Limburg - Okken, A.G.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;28;Byshenk, G.M.;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;de Gouw - van der Hoeven, J.P.;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;30;Day, P.A.;55;0;0;1;0;1;0;2;1;1;0;0;0;0;0;0;2;0;3;2;1;3;0;1;0;3;1;0;0;0;2;2;1;0;1;0;2;0;0;0;1;1;0;0;0;0;1;0;0;0;3;1;0;0;0;0;2;3;0;1;0;0;3;1;1;1;0;1;0;0;2;0;3;0
8;Partij Sleutelstad: De Leidse Lijst;;;4313;64;17;47;45;46;74;35;44;48;92;78;87;25;25;52;64;62;50;122;51;115;68;52;67;66;72;49;34;81;64;91;34;59;59;93;89;59;72;59;95;211;89;89;80;34;76;9;38;49;49;51;58;50;56;90;22;49;76;72;9;22;27;47;36;28;30;49;34;48;71;83;29;46
;;1;Vos, T.J.;2060;30;11;15;24;18;31;18;16;17;51;49;43;13;9;29;25;21;24;57;27;53;32;30;34;30;33;14;14;41;26;46;25;31;29;49;50;19;37;38;50;93;46;52;33;15;37;6;14;19;25;30;31;21;33;47;6;15;39;34;7;7;19;24;19;7;16;24;12;19;34;40;14;13
;;2;Kersten, W.I.M.;234;4;1;1;1;5;7;2;2;5;5;7;4;1;2;2;3;8;4;7;4;8;6;2;5;3;1;6;1;3;8;4;0;0;3;3;2;2;3;1;6;5;5;0;3;2;4;0;2;6;2;3;2;2;2;2;5;2;5;8;1;2;1;2;2;3;0;8;3;2;3;1;2;2
;;3;Güler, F.J.L.;559;11;1;9;8;9;12;7;8;7;7;5;17;3;9;3;6;11;2;8;6;19;14;12;10;11;15;4;9;16;8;14;3;6;11;13;9;6;6;5;4;14;5;9;20;8;5;2;6;5;8;5;9;8;5;9;4;10;4;6;0;6;1;7;7;7;2;3;1;6;3;10;7;13
;;4;de Graaf, E.A.T.;267;6;0;8;5;2;10;2;9;4;4;3;7;1;0;3;7;0;1;1;3;11;6;2;5;5;1;4;3;5;7;2;0;10;1;3;4;2;0;1;3;15;2;2;5;2;5;0;6;6;3;1;1;3;2;3;1;7;7;8;0;3;0;2;2;4;3;7;2;4;2;3;1;4
;;5;Derogee, R.J.G.;180;1;1;1;1;0;0;1;0;0;2;2;1;0;0;3;0;0;1;2;2;3;0;3;0;0;2;1;3;0;3;2;0;0;0;2;3;0;2;3;3;32;13;10;4;0;0;0;0;2;2;3;2;0;1;15;0;1;0;1;0;0;0;0;0;1;5;1;0;2;16;20;1;0
;;6;Verkuijlen, P.J.;341;1;1;2;1;1;4;3;2;5;9;4;3;3;1;3;8;6;3;9;6;5;6;0;0;3;11;8;0;4;4;6;1;4;6;4;7;13;14;7;16;12;5;5;9;4;8;0;5;3;1;1;5;9;7;6;3;5;9;7;0;3;3;2;1;1;1;1;11;10;3;3;0;4
;;7;Mioch, M.;35;2;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;2;1;1;0;0;0;0;2;0;1;0;3;1;1;2;0;2;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;2
;;8;Blouh, F.;114;2;0;3;1;1;2;0;1;2;2;1;1;0;0;1;4;4;1;0;0;6;0;0;4;0;3;0;1;3;3;1;0;0;1;4;0;6;3;2;2;5;0;3;3;1;8;0;1;3;3;1;1;3;2;0;0;0;3;0;0;1;0;2;0;1;0;0;2;2;0;0;1;3
;;9;Boutier, J.;136;0;0;0;0;1;0;0;0;1;4;3;1;0;3;0;7;2;4;26;1;1;2;1;2;1;0;8;1;2;2;4;1;2;1;3;2;0;0;0;4;13;2;4;1;0;1;1;0;0;0;1;1;0;0;2;1;0;0;3;0;0;1;1;0;0;2;2;2;0;6;1;0;1
;;10;Brandsma, I.R.;51;1;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;2;1;0;1;0;0;0;3;0;0;1;0;1;2;0;1;2;2;2;0;0;0;1;6;5;0;1;0;1;0;1;0;0;1;0;0;0;1;0;2;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;2
;;11;Bakker, F.;40;2;0;1;1;0;0;0;0;1;0;0;0;0;0;2;2;3;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;2;1;0;1;0;0;3;0;0;1;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;2;0;2;0;0;1;0;1;1;1;0;1
;;12;Kleijwegt, A.;10;2;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Damsma, D.T.;13;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;ter Haar, J.J.M.;58;1;0;1;0;5;3;1;1;0;0;1;1;1;0;0;0;2;1;2;0;1;0;1;1;0;0;0;0;0;0;3;1;1;0;1;3;0;0;0;1;3;3;0;0;1;2;0;1;0;1;1;1;0;1;0;0;1;4;1;1;0;0;2;0;1;0;0;1;0;0;0;0;0
;;15;van Dam, A.J.;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Dahan, J.;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Perquin, J.J.A.;17;1;0;3;0;1;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Plaizier, A.C.B.;35;0;0;0;0;0;0;0;1;2;2;0;2;0;0;1;1;0;0;1;0;0;1;0;1;2;0;1;1;0;0;2;0;0;1;0;1;0;0;2;0;0;0;2;0;0;1;0;1;0;0;1;0;1;1;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;19;Regouw, M.S.;20;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;2;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;20;Spijker, H.H.D.C.;14;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0
