Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bibliotheek Nieuwstraat;Lokhorstkerk;Erfgoed Leiden en Omstreken;Academiegebouw;Herengrachtkerk;Marekerk;Waalse Kerk;COC Leiden;Museum De Lakenhal;MBO Rijnland Storm Buysingstraat;Huis van de Buurt Morschwijck;ROC Mondriaan;Het Waterland;Leidse Reddingsbrigade;Speeltuin Rondom de Maredijk;Studio Moio (De Rondedans);Theehuis Tuin van Noord;Huis van de Buurt Het Gebouw;Huis van de Buurt De Kooi;Speeltuin Ons Eiland;Huis van de Buurt Matilo;Stedelijk Gymnasium Athena;Basisschool Sint Joseph;Vredeskerk;Petruskerk;Llokaal;Speeltuin Zuiderkwartier;Basisschool Er-Risèlèh;Speeltuin Westerkwartier;Basisschool Leimundo;Rosenburch;Korfbalvereniging KZ Danaïden;Schoolgebouw Noachstraat;Basisschool de Astronaut;Speeltuin Prinses Beatrix;De Pelgrim;Huis van de Buurt Op Eigen Wieken;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Huis van de Buurt Stevenshof;Gymzaal Basisschool De Stevenshof;Sociëteit De Dobbegaarde;Basisschool De Arcade;Stadskantoor (Achterzijde Centraal Station);Centraal Station;Lokhorstkerk;Herengrachtkerk;Bibliotheek Nieuwstraat;Bibliotheek Nieuwstraat;Huis van de Buurt Morschwijck;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Gymzaal Basisschool De Stevenshof;Herengrachtkerk;Herengrachtkerk;MBO Rijnland Storm Buysingstraat;MBO Rijnland Storm Buysingstraat;Leidse Reddingsbrigade;Leidse Reddingsbrigade;Huis van de Buurt Het Gebouw;Huis van de Buurt Het Gebouw;Speeltuin Zuiderkwartier;Speeltuin Zuiderkwartier;Korfbalvereniging KZ Danaïden;Korfbalvereniging KZ Danaïden;Huis van de Buurt Op Eigen Wieken;Huis van de Buurt Op Eigen Wieken;Sociëteit De Dobbegaarde;Sociëteit De Dobbegaarde;Centraal Station;Centraal Station
Gebiednummer;;;;;1;2;3;5;8;10;11;12;13;15;16;17;18;19;20;22;23;24;28;29;30;32;33;34;35;37;38;40;42;44;45;46;48;49;50;51;52;54;56;58;60;62;64;66;99;100;102;108;114;115;116;154;156;158;162;814;815;1514;1515;1914;1915;2414;2415;3814;3815;4614;4615;5214;5215;6414;6415;10014;10015
Postcode;;;;;2312 KB;2311 SV;2311 PZ;2311 GJ;2312 LE;2312 GS;2311 CS;2312 NW;2312 RA;2332 VW;2332 JC;2332 AA;2334 EM;2334 CC;2316 VP;2316 NZ;2316 EP;2315 VA;2315 CD;2315 TL;2314 XH;2313 EP;2313 JE;2313 GG;2313 DM;2321 KS;2313 XA;2313 AB;2321 AW;2321 TA;2321 RB;2321 CC;2324 LT;2324 ER;2324 CX;2324 DR;2317 AN;2318 TJ;2317 VX;2317 ST;2331 GW;2331 DV;2331 ML;2314 BN;2333 CW;2312 AJ;2311 SV;2312 LE;2312 KB;2312 KB;2332 JC;2318 TJ;2317 VX;2317 ST;2331 DV;2312 LE;2312 LE;2332 VW;2332 VW;2334 CC;2334 CC;2315 VA;2315 VA;2313 XA;2313 XA;2321 CC;2321 CC;2317 AN;2317 AN;2331 ML;2331 ML;2312 AJ;2312 AJ
;;12;van 't Riet, L.M.;203;7;3;5;4;2;10;8;5;4;3;2;3;2;3;0;2;4;1;3;1;5;8;2;8;4;3;2;2;2;1;3;0;0;0;2;1;2;3;1;0;4;0;1;1;3;12;5;8;3;5;0;4;2;1;0;3;5;3;0;0;2;1;1;1;2;0;1;0;4;0;1;3;6
;;13;Suurbier, W.S.;96;4;1;1;3;1;2;3;0;2;1;0;0;0;1;0;0;1;5;0;4;12;1;3;1;1;3;2;1;0;2;3;0;1;0;0;0;0;3;3;0;1;0;2;1;1;5;0;2;5;4;0;0;1;0;0;0;1;0;0;0;0;0;2;2;0;0;0;1;0;0;0;1;2
;;14;Koper, J.E.S.;53;1;0;0;4;0;1;0;0;0;1;0;0;0;1;0;1;4;0;0;0;0;2;0;2;1;1;0;0;1;1;1;1;1;4;0;2;0;0;0;0;0;1;0;3;3;1;0;2;0;1;0;2;0;0;0;1;1;0;0;0;0;1;0;0;3;0;0;0;1;0;0;1;2
;;15;Beeftink-Funcken, R.W.A.;50;2;0;0;4;0;3;3;1;0;0;0;1;0;0;0;0;3;0;1;0;1;2;0;3;1;0;0;2;0;0;1;1;1;2;0;0;0;1;0;0;0;1;0;0;0;3;0;2;2;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;1
;;16;de Jong, D.A.A.A.;21;0;1;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Schouten, B.A.A.;50;2;0;0;1;1;0;0;0;3;0;0;0;0;0;1;1;1;0;0;0;2;3;1;3;3;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;2;5;0;0;1;3;2;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0
;;18;Martens, T.J.;16;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0
;;19;Pronk, C.;74;3;1;4;3;1;1;0;0;0;0;0;0;0;2;1;1;2;0;0;0;2;1;5;4;7;0;1;2;0;1;0;0;0;0;2;0;0;3;0;0;0;0;2;0;3;2;0;2;2;3;0;1;1;0;0;0;0;1;0;3;1;1;0;1;2;0;0;0;0;0;0;1;1
;;20;van Os, S.D.;46;3;2;1;2;3;0;2;0;3;0;0;0;0;0;1;1;0;1;0;0;0;0;2;0;2;2;1;0;0;1;1;0;1;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;3;0;1;0;0;0;1;0;1;1;0;3;0;0;0;0;0;0;0;0;0;1;0;1
;;21;de Beer, L.;60;2;1;0;2;0;4;3;1;2;2;0;1;0;0;1;0;1;1;0;0;3;2;0;0;0;0;0;1;3;3;0;0;1;1;1;0;0;1;1;1;0;2;2;4;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;1;1;0;3;0
