Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuwe Kerk;Nieuwe Kerk (2);Rietveld Theater;Open Delft;Stadskantoor gemeente Delft;Museum Prinsenhof Delft;Hoogheemraadschap Delfland;Locatie Crommelinplein 1;Wijkcentrum De Parel;Locatie Het Kristal (stemtent);Stanislaskapel Delft;Gymzaal Van Alkemadestraat;Gymzaal Van Tienhovestraat;Hofkerk;Virgiel;Locatie Schrobbelaarstraat (stemtent);Prins Mauritsschool;Wijkcentrum Delft Noord;Betlehemkerk;Gymzaal Maria Duystlaan;Buccaneer Delft;Buurthuis Onder de Schie;Lijm en Cultuur;TU Aula;The Student Hotel;Vrijetijdscentrum De Wipmolen;Locatie Werkse!;Wijkwerk Wippolder;Buurthuis De Wending;Buurthuis Het Voorhof;Jongerencentrum The Culture;Marcuskerk;Abtswoude bloeit;Wijkcentrum De Vleugel;Vierhovenkerk;Locatie Fuutlaan 166;Locatie Tanthof West (stemtent);Wijkcentrum Het Buitenhuis;Wijkcentrum De Hofstee;Gebouw Het Westlandhof;Locatie Tanthof Oost (stemtent);Verpleeghuis De Bieslandhof;Woonzorgcentrum Delfshove;Woonzorgcentrum Stefanna;Wooncentrum Die Buytenweye;GGZ Delfland gebouw De Draeck;Open Delft 14 maart;Stadskantoor gemeente Delft 14 maart;Wijkcentrum De Parel 14 maart;Locatie Het Kristal (stemtent)  14 maart;Wijkcentrum Delft Noord 14 maart;Buccaneer Delft 14 maart;Lijm en Cultuur 14 maart;Jongerencentrum The Culture 14 maart;Wijkcentrum De Hofstee 14 maart;PRO Grotius College 14 maart;Open Delft 15 maart;Stadskantoor gemeente Delft 15 maart;Wijkcentrum De Parel 15 maart;Locatie Het Kristal (stemtent) 15 maart;Wijkcentrum Delft Noord 15 maart;Buccaneer Delft 15 maart;Lijm en Cultuur 15 maart;Jongerencentrum The Culture 15 maart;Wijkcentrum De Hofstee 15 maart;PRO Grotius College 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
Postcode;;;;;2611 GW;2611 GW;2611 LH;2611 WG;2611 BV;2611 HR;2611 AL;2627 BM;2614 HE;2614 SH;2613 GK;2614 EP;2613 XC;2613 WP;2611 BC;2613 MH;2628 GJ;2612 CB;2612 GK;2612 SR;2611 PA;2628 AJ;2628 AT;2628 CC;2611 DW;2628 JR;2624 AV;2628 JN;2613 RW;2624 XL;2625 CZ;2624 TH;2624 LJ;2624 LD;2625 XN;2623 MS;;2625 RE;2622 DW;2614 HX;2623 NV;2612 VC;2624 DS;2624 LW;2625 TD;2612 GA;2611 WG;2611 BV;2614 HE;;2612 CB;2611 PA;2628 AT;2625 CZ;2622 DW;2624 AX;2611 WG;2611 BV;2614 HE;;2612 CB;2611 PA;2628 AT;2625 CZ;2622 DW;2624 AX
;;44;Dorst, H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Graafeijland, W.H.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;de Brabander, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;van Tricht, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;48;Wolvers, J.H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;49;Heederik, L.H.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;Sloover, J.P.;18;0;1;1;0;1;0;1;4;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;VVD;;;3555;117;114;32;83;137;73;62;58;63;165;82;33;40;53;39;29;50;34;64;72;88;98;28;110;18;23;11;27;39;26;60;104;64;55;35;70;143;108;85;105;54;1;3;0;3;1;26;74;23;39;2;39;28;36;56;12;48;96;22;63;14;63;20;51;66;18
;;1;van Rijn, D.;1744;55;44;18;44;61;30;26;20;28;71;39;16;26;25;21;12;22;18;31;40;38;62;13;48;3;13;6;13;17;14;34;69;24;28;13;37;83;47;43;52;25;1;2;0;3;1;10;39;14;15;1;25;16;19;28;5;25;46;12;35;7;27;14;26;34;10
;;2;Voogt, M.J.A.;653;18;32;7;11;21;14;6;6;12;52;18;5;4;8;3;5;10;6;9;9;21;17;5;15;3;2;4;7;10;2;15;5;9;10;6;13;18;32;12;26;12;0;0;0;0;0;4;12;3;12;0;7;3;10;12;2;8;15;7;15;1;12;1;12;13;4
;;3;van den Berg, T.V.;291;13;7;3;14;8;10;8;3;0;18;5;3;3;5;0;5;8;0;7;5;9;7;4;13;2;1;0;2;4;1;3;3;6;5;4;9;9;6;9;7;2;0;0;0;0;0;5;4;1;4;0;2;3;3;6;3;6;4;0;4;0;4;1;2;5;3
;;4;Labots, W.;44;4;0;0;0;1;2;0;2;1;2;0;1;0;0;1;0;0;0;4;0;1;0;0;4;0;2;0;1;2;1;1;2;1;2;1;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;5;van Wees, L.L.G.M.;92;4;2;1;2;2;3;2;1;5;4;5;1;1;5;1;0;2;1;0;2;0;0;0;3;1;0;0;0;0;0;0;1;0;2;1;0;0;3;4;3;2;0;0;0;0;0;1;4;2;3;0;0;1;2;1;1;0;7;1;0;0;5;0;0;0;0
;;6;Krishnasing, A.S.;90;2;3;0;2;7;0;1;2;0;1;1;0;2;2;0;0;1;1;0;4;1;0;0;1;0;0;0;0;0;0;1;1;2;0;1;3;11;7;4;0;5;0;0;0;0;0;1;1;1;2;0;0;0;1;1;1;0;3;0;2;0;1;0;3;7;0
;;7;Jansma, S.;42;1;1;0;1;4;1;2;0;0;0;1;1;0;1;0;0;1;0;0;0;3;1;0;0;0;0;0;0;1;0;1;3;1;2;0;1;1;0;2;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;3;0;0;1;0;1;0;1;0
;;8;Dekker, R.;117;5;2;0;1;5;2;3;15;3;3;2;1;0;1;0;0;0;0;5;5;2;2;3;10;2;0;0;1;2;1;1;5;4;1;1;0;0;5;1;2;1;0;0;0;0;0;2;0;1;1;0;3;0;0;4;0;1;5;0;0;0;1;1;0;1;0
;;9;Hoek, B.J.;34;2;2;0;1;4;0;0;1;2;0;0;0;0;0;3;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;4;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0
;;10;Singadji, M.;11;1;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;11;van Warmerdam, O.J.H.;12;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
;;12;de Haan, E.E.S.;24;0;1;0;1;0;1;1;0;0;2;0;0;1;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;1;1;3;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;13;Gieselaar, T.P.;8;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van der Linden, W.;8;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Vlasveld, J.B.C.;36;1;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;13;0;1;0;3;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;Lek, R.H.;12;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;17;Jonquière-Kamps, A.;58;3;2;0;0;1;5;3;2;1;0;1;0;1;0;2;1;0;0;4;1;3;2;0;0;0;0;0;0;0;2;0;3;1;1;0;2;1;0;0;1;1;0;0;0;0;0;0;2;0;0;1;1;1;0;1;0;1;0;0;0;1;3;1;2;0;0
;;18;Kroes, C.C.;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Achterberg, R.A.;6;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;van Oevelen, P.J.A.;7;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;de Bruijn, P.C.M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;22;Heijnen, F.M.C.;20;0;2;0;1;1;0;1;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0
;;23;Charlier, J.L.D.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;den Os-Borsboom, J.C.M.;13;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Dupuis, R.H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;26;de Groot, M.G.C.;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van der Hoek, L.J.;7;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;28;Harinck, R.;19;0;0;2;0;1;2;1;2;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0
;;29;Jansen, M.T.;14;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
;;30;Overes, F.T.;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Middelkamp Hup, A.M.;16;1;3;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
;;32;Ruegg, C.G.J.;14;1;1;0;1;2;1;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;33;Nieuwerf, L.;31;0;0;0;0;4;0;1;0;1;3;3;3;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0
;;34;Welle Donker, M.H.;9;0;0;0;1;2;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;35;Vuijk, R.;14;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0
;;36;Waterman, R.E.;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;37;Weijers, H.J.;12;2;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
;;38;Smals, B.M.G.;20;1;0;0;1;1;0;0;0;3;0;0;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;39;van der Woude, H.H.;20;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;3;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
;;40;Harpe, L.B.;27;0;3;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;1;0;1;1;0;3;0;0
6;CDA;;;2160;41;35;12;40;46;22;22;25;54;86;42;24;29;55;9;22;35;13;42;37;26;42;8;43;9;26;22;20;23;29;68;69;43;54;57;46;67;70;82;80;31;7;5;3;10;1;21;41;26;24;7;17;10;22;38;12;26;48;30;35;19;25;16;37;51;23
;;1;Visser, F.S.;1105;15;13;8;17;26;10;6;10;31;43;27;13;10;36;2;9;23;6;23;21;21;26;3;14;3;10;14;8;17;10;36;35;30;20;27;23;26;38;42;39;20;6;2;2;8;1;11;20;12;12;3;10;4;16;25;6;7;15;26;18;11;10;8;20;32;9
;;2;Valk, G.J.E.;99;2;1;1;6;2;1;1;1;3;0;4;4;3;0;0;0;2;0;2;2;0;5;0;4;0;0;0;0;0;0;2;4;5;0;3;3;2;3;2;3;5;0;1;0;0;0;3;3;0;1;0;0;2;0;0;0;1;2;0;2;2;0;2;2;1;1
;;3;Jüdell - Jansen, J.A.Z.Z.;229;4;5;1;8;3;2;3;7;3;17;4;0;4;3;2;1;2;2;7;2;1;4;2;4;1;7;1;2;2;3;3;6;2;6;2;8;5;3;8;8;2;0;0;0;0;0;2;1;3;7;0;3;1;0;5;3;6;7;1;5;1;5;3;4;8;4
;;4;Sarkisian, D.;34;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;1;4;0;0;0;0;0;0;1;2;1;0;0;0;1;3;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0
;;5;Neubauer, M.J.M.;78;1;7;1;2;2;1;1;2;3;5;1;1;1;3;0;1;2;0;1;0;1;0;0;1;1;0;0;1;0;0;0;2;0;7;1;0;2;4;3;2;2;0;0;0;1;0;3;1;1;0;0;1;0;0;0;0;1;5;0;1;0;0;1;0;1;0
;;6;Özkuzugüdenli, Y.;127;3;0;0;1;1;0;1;3;5;8;0;0;2;2;0;7;0;0;0;1;0;0;0;0;0;5;0;5;2;10;9;3;0;14;9;3;3;2;7;5;1;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;5;0;0;1;0;0;0;1;4
;;7;van Duijkeren, A.S.;26;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;2;4;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Hensen, A.S.D.;54;6;0;0;0;2;1;1;1;0;0;2;1;0;2;0;2;1;1;0;0;0;0;0;4;0;0;0;1;0;2;1;2;1;2;2;2;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;1;0;2;0;1;0;1
;;9;de Boer - van Doorninck, M.E.;29;1;1;0;0;1;2;2;0;1;1;1;0;0;0;0;0;0;0;0;2;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;3;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0
;;10;Rou, J.G.;7;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Savić - van Dam, A.;49;1;2;0;0;1;0;1;0;2;1;0;0;0;0;0;0;3;0;5;4;0;0;0;5;0;0;0;0;0;0;2;2;0;1;2;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;1;1;2;0;0;1;5;0;1;0;0
;;12;Koeleman, L.J.C.;22;1;0;0;1;0;0;1;0;1;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
;;13;Cornelissen, J.M.;7;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Nijman, E.G.;23;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;6;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;2;0
;;15;van de Kamp, E.W.;32;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;2;3;2;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;2;0;2;0;0;0;0;3;1
;;16;Keij, G.N.;10;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;17;van Schaik, N.C.A.;16;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0
;;18;Neyssel, S.E.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;19;Aalbers - Offermans, M.J.;16;0;0;1;1;2;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;20;van Wijk, C.J.;8;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;de Jong, M.D.T.M.;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;22;van Heyningen, K.N.;9;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;23;van Adrichem, M.P.H.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
;;24;Rob, J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van Wingerde, H.M.E.;37;1;1;0;0;0;1;0;0;0;1;1;0;0;3;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;2;1;2;3;0;0;1;0;0;0;0;0;5;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;26;Postma, W.L.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;27;van Dis, D.G.C.;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Verhoeven, C.J.M.;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;29;Hawezy, H.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Wind, G.;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;van Tongeren, A.J.F.;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
;;32;Koop, M.E.H.;27;1;0;0;0;1;0;1;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1;1;0
;;33;van Woudenberg, R.A.;58;2;0;0;1;0;0;2;0;0;0;1;0;2;1;0;0;0;1;2;0;0;1;0;0;0;3;0;0;1;0;0;2;1;0;1;2;4;2;0;9;1;0;0;0;0;0;0;1;2;2;0;0;0;0;0;0;3;1;1;4;0;1;0;4;0;0
7;SP (Socialistische Partij);;;2484;56;44;15;66;65;36;20;35;59;56;35;31;35;45;2;26;73;44;38;82;44;34;8;37;8;33;34;31;64;20;94;41;34;37;51;69;93;96;92;43;29;3;3;3;4;6;18;44;27;5;20;32;8;41;61;17;36;63;24;12;24;24;13;37;91;13
